perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
5700,524288000,9961120,514326880,5686,69926912,3794672,66132240,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,866,920,54,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3794672,0,3794672,0,69926912,69926912,69926912,69926912,69926912,69926912,3473408,0,3473408,0,3473408,3473408,3473408,3473408,3473408,3473408
7745,524288000,10205408,514082592,7743,69926912,7851128,62075784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7983872E7,7851128.0,0.0,7851128.0,6809.0,7716,7729,13,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,4056456,0,7851128,3794672,69926912,69926912,69926912,69926912,69926912,69926912,-701120,0,2772288,3473408,3473408,3473408,3473408,3473408,3473408,3473408
12894,524288000,10236968,514051032,12892,69926912,9030088,60896824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5967744E7,9030088.0,0.0,9030088.0,11944.0,12857,12864,7,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1178960,0,9030088,7851128,69926912,69926912,69926912,69926912,69926912,69926912,-1573248,0,1199040,2772288,3473408,3473408,3473408,3473408,3473408,3473408
18710,524288000,10266928,514021072,18707,69926912,9409768,60517144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.3951616E7,9409768.0,0.0,9409768.0,17727.0,18638,18647,9,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,379680,0,9409768,9030088,69926912,69926912,69926912,69926912,69926912,69926912,-468928,0,730112,1199040,3473408,3473408,3473408,3473408,3473408,3473408
24069,524288000,10286104,514001896,24057,69926912,9409768,60517144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.11935488E8,9779728.0,0.0,9779728.0,23148.0,24058,24068,10,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,369960,0,9779728,9409768,69926912,69926912,69926912,69926912,69926912,69926912,-162032,0,568080,730112,3473408,3473408,3473408,3473408,3473408,3473408
28744,524288000,10296992,513991008,28743,69926912,10162504,59764408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.3991936E8,1.0162504E7,0.0,1.0162504E7,27746.0,28645,28666,21,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,382776,0,10162504,9779728,69926912,69926912,69926912,69926912,69926912,69926912,-54288,0,513792,568080,3473408,3473408,3473408,3473408,3473408,3473408
33626,524288000,10316640,513971360,33621,69926912,10550600,59376312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.67903232E8,1.05506E7,0.0,1.05506E7,32699.0,33602,33619,17,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,388096,0,10550600,10162504,69926912,69926912,69926912,69926912,69926912,69926912,166464,0,680256,513792,3473408,3473408,3473408,3473408,3473408,3473408
38327,524288000,10323760,513964240,38326,69926912,10973928,58952984,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.95887104E8,1.0973928E7,0.0,1.0973928E7,37354.0,38268,38274,6,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,423328,0,10973928,10550600,69926912,69926912,69926912,69926912,69926912,69926912,-197568,0,482688,680256,3473408,3473408,3473408,3473408,3473408,3473408
42784,524288000,10325952,513962048,42781,69926912,11414192,58512720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.23870976E8,1.1414192E7,0.0,1.1414192E7,41830.0,42699,42750,51,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,440264,0,11414192,10973928,69926912,69926912,69926912,69926912,69926912,69926912,59328,0,542016,482688,3473408,3473408,3473408,3473408,3473408,3473408
47050,524288000,10327312,513960688,47049,69926912,11822904,58104008,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.51854848E8,1.1822904E7,0.0,1.1822904E7,46121.0,47009,47041,32,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,408712,0,11822904,11414192,69926912,69926912,69926912,69926912,69926912,69926912,53104,0,595120,542016,3473408,3473408,3473408,3473408,3473408,3473408
