perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
5765,524288000,18223464,506064536,5749,559284224,1684200,557600024,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,4544,4589,45,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,1684200,0,1684200,0,559284224,559284224,559284224,559284224,559284224,559284224,27918336,0,27918336,0,27918336,27918336,27918336,27918336,27918336,27918336
9530,524288000,18829384,505458616,9527,559284224,37993032,521291192,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.23739904E8,3.7993032E7,0.0,3.7993032E7,4924.0,9363,9513,150,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,36308832,0,37993032,1684200,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
14273,524288000,18887368,505400632,14271,559284224,37993032,521291192,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.47479808E8,6.0656656E7,2320.0,6.0654336E7,9780.0,14274,14369,95,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,22661304,0,60656656,37995352,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
19292,524288000,18956648,505331352,19289,559284224,94340192,464944032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.71219712E8,9.4340192E7,2320.0,9.4337872E7,14699.0,19040,19288,248,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,33683536,0,94340192,60656656,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
24297,524288000,19021600,505266400,24295,559284224,94340192,464944032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.94959616E8,1.27399472E8,2320.0,1.27397152E8,19974.0,24305,24563,258,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,33059280,0,127399472,94340192,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
33117,524288000,19080456,505207544,33115,559284224,156032472,403251752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.11869952E9,1.56032472E8,2320.0,1.56030152E8,28525.0,32858,33114,256,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,28633000,0,156032472,127399472,559284224,559284224,559284224,559284224,559284224,559284224,-8,0,27918328,27918336,27918336,27918336,27918336,27918336,27918336,27918336
47962,524288000,19123688,505164312,47961,559284224,174815408,384468816,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.342439424E9,1.74815408E8,2320.0,1.74813088E8,43258.0,47526,47847,321,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,18782936,0,174815408,156032472,559284224,559284224,559284224,559284224,559284224,559284224,8,0,27918336,27918328,27918336,27918336,27918336,27918336,27918336,27918336
59222,524288000,19212680,505075320,59221,559284224,194816440,364467784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.566179328E9,1.9481644E8,2320.0,1.9481412E8,54630.0,58918,59219,301,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,20001032,0,194816440,174815408,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
72123,524288000,19251136,505036864,72111,559284224,222987304,336296920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.789919232E9,2.22987304E8,2320.0,2.22984984E8,67521.0,71786,72110,324,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,28170864,0,222987304,194816440,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
84885,524288000,19262192,505025808,84883,559284224,249235560,310048664,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.013659136E9,2.4923556E8,2320.0,2.4923324E8,80284.0,84583,84873,290,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,26248256,0,249235560,222987304,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
99742,524288000,19273384,505014616,99740,559284224,281259600,278024624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.23739904E9,2.812596E8,2320.0,2.8125728E8,95150.0,98566,99739,1173,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,32024040,0,281259600,249235560,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
108538,524288000,19277648,505010352,108537,559284224,176303000,382981224,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,11,2.23739904E9,2.812596E8,2320.0,2.8125728E8,95150.0,98566,99739,1173,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,32024040,0,281259600,249235560,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
119764,524288000,19281400,505006600,119763,559284224,198615544,360668680,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,12,2.461138944E9,3.03572144E8,2320.0,3.03569824E8,115170.0,119521,119759,238,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,22312544,0,198615544,176303000,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
136277,524288000,19288280,504999720,136273,559284224,229863176,329421048,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,13,2.684878848E9,3.34819776E8,2320.0,3.34817456E8,131682.0,135985,136271,286,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,31247632,0,229863176,198615544,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
152425,524288000,19302584,504985416,152423,559284224,260232112,299052112,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,14,2.908618752E9,3.65188712E8,2320.0,3.65186392E8,147831.0,151534,152420,886,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,30368936,0,260232112,229863176,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
165217,524288000,19321328,504966672,165211,559284224,279629384,279654840,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,15,3.132280312E9,3.84585984E8,2320.0,3.84583664E8,160616.0,164876,165205,329,-223661560,0,0,223661560,223739904,223739904,223739904,223739904,223739904,223739904,19397272,0,279629384,260232112,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
185178,524288000,19327640,504960360,185176,559284224,279629384,279654840,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,16,3.356020216E9,4.05432808E8,2320.0,4.05430488E8,181459.0,185207,186048,841,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,20846824,0,300476208,279629384,559284224,559284224,559284224,559284224,559284224,559284224,-8,0,27918328,27918336,27918336,27918336,27918336,27918336,27918336,27918336
203009,524288000,19347224,504940776,203008,559284224,322586992,236697232,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,17,3.57976012E9,4.27543592E8,2320.0,4.27541272E8,198414.0,202749,203003,254,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,22110784,0,322586992,300476208,559284224,559284224,559284224,559284224,559284224,559284224,8,0,27918336,27918328,27918336,27918336,27918336,27918336,27918336,27918336
216017,524288000,19366128,504921872,216016,559284224,354527504,204756720,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,18,3.803500024E9,4.59484104E8,2320.0,4.59481784E8,211421.0,215686,216010,324,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,31940512,0,354527504,322586992,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
231112,524288000,19372144,504915856,231111,559284224,380735216,178549008,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,19,4.027239928E9,4.85691816E8,2320.0,4.85689496E8,226520.0,230758,231109,351,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,26207712,0,380735216,354527504,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
243789,524288000,19379976,504908024,243788,559284224,411725840,147558384,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,20,4.250979832E9,5.1668244E8,2320.0,5.1668012E8,239197.0,243007,243786,779,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,30990624,0,411725840,380735216,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
263395,524288000,19397536,504890464,263393,559284224,441643112,117641112,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,21,4.474719736E9,5.46599712E8,2320.0,5.46597392E8,258803.0,262596,263392,796,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,29917272,0,441643112,411725840,559284224,559284224,559284224,559284224,559284224,559284224,-8,0,27918328,27918336,27918336,27918336,27918336,27918336,27918336,27918336
274506,524288000,19414744,504873256,274505,559284224,441643112,117641112,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,22,4.69845964E9,5.63841872E8,2320.0,5.63839552E8,270352.0,274506,274941,435,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,17242160,0,458885272,441643112,559284224,559284224,559284224,559284224,559284224,559284224,8,0,27918336,27918328,27918336,27918336,27918336,27918336,27918336,27918336
294683,524288000,19428616,504859384,294681,559284224,479922336,79361888,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,23,4.922199544E9,5.84878936E8,2320.0,5.84876616E8,290090.0,293734,294679,945,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,21037064,0,479922336,458885272,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
306152,524288000,19453480,504834520,306150,559284224,503905376,55378848,1,11.0,99785,108437,8652,92173200,0,96335224,4162024,223739904,223739904,223739904,223739904,223739904,223739904,-104956600,0,176303000,281259600,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,24,5.145939448E9,6.08861976E8,2320.0,6.08859656E8,301560.0,305806,306149,343,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,23983040,0,503905376,479922336,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
314445,524288000,19455888,504832112,314444,559284224,199210784,360073440,2,13.0,306331,314402,8071,71745776,0,76983776,5238000,223739904,223739904,223739904,223739904,223739904,223739904,-304694592,0,199210784,503905376,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,24,5.145939448E9,6.08861976E8,2320.0,6.08859656E8,301560.0,305806,306149,343,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,23983040,0,503905376,479922336,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
322502,524288000,19462136,504825864,322501,559284224,199210784,360073440,2,13.0,306331,314402,8071,71745776,0,76983776,5238000,223739904,223739904,223739904,223739904,223739904,223739904,-304694592,0,199210784,503905376,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,25,5.369679352E9,6.3792796E8,2320.0,6.3792564E8,318266.0,322502,322855,353,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,29065984,0,228276768,199210784,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
341768,524288000,19468016,504819984,341766,559284224,255829488,303454736,2,13.0,306331,314402,8071,71745776,0,76983776,5238000,223739904,223739904,223739904,223739904,223739904,223739904,-304694592,0,199210784,503905376,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336,26,5.593419256E9,6.6548068E8,2320.0,6.6547836E8,337176.0,341430,341765,335,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,27552720,0,255829488,228276768,559284224,559284224,559284224,559284224,559284224,559284224,0,0,27918336,27918336,27918336,27918336,27918336,27918336,27918336,27918336
