perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
149563,524288000,21538576,502749424,149559,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,149574,154804,5230,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,13249880,0,13249880,0,55902208,55902208,55902208,55902208,55902208,55902208
204704,524288000,21917080,502370920,204701,1118502912,11792352,1106710560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,1.1792352E7,0.0,1.1792352E7,49767.0,204148,204571,423,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,11792352,0,11792352,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,13571472,0,26821352,13249880,55902208,55902208,55902208,55902208,55902208,55902208
224662,524288000,22108640,502179360,224660,1118502912,11792352,1106710560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,3.20348E7,0.0,3.20348E7,77066.0,226037,231870,5833,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,20242448,0,32034800,11792352,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-249648,0,26571704,26821352,55902208,55902208,55902208,55902208,55902208,55902208
297194,524288000,24753152,499534848,297192,1118502912,51345480,1067157432,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,5.134548E7,0.0,5.134548E7,142273.0,296625,297077,452,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,19310680,0,51345480,32034800,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-4120248,0,22451456,26571704,55902208,55902208,55902208,55902208,55902208,55902208
339255,524288000,24884576,499403424,339252,1118502912,55249096,1063253816,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,5.5249096E7,0.0,5.5249096E7,184446.0,339128,339250,122,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3903616,0,55249096,51345480,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-11727216,0,10724240,22451456,55902208,55902208,55902208,55902208,55902208,55902208
388831,524288000,24914536,499373464,388830,1118502912,55784472,1062718440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,5.5784472E7,0.0,5.5784472E7,234024.0,388670,388828,158,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,535376,0,55784472,55249096,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,12599240,0,23323480,10724240,55902208,55902208,55902208,55902208,55902208,55902208
410106,524288000,24929800,499358200,410093,1118502912,55784472,1062718440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,7.3178224E7,0.0,7.3178224E7,255762.0,410131,410566,435,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,17393752,0,73178224,55784472,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,15684696,0,39008176,23323480,55902208,55902208,55902208,55902208,55902208,55902208
422155,524288000,24932520,499355480,422151,1118502912,82696488,1035806424,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,8.2696488E7,0.0,8.2696488E7,267345.0,421997,422149,152,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,9518264,0,82696488,73178224,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-19910688,0,19097488,39008176,55902208,55902208,55902208,55902208,55902208,55902208
452127,524288000,24948152,499339848,452125,1118502912,82858160,1035644752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,8.285816E7,0.0,8.285816E7,297320.0,452020,452124,104,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,161672,0,82858160,82696488,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-7635688,0,11461800,19097488,55902208,55902208,55902208,55902208,55902208,55902208
469020,524288000,24955224,499332776,469019,1118502912,83781776,1034721136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,8.3781776E7,0.0,8.3781776E7,314214.0,468904,469018,114,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,923616,0,83781776,82858160,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-4496488,0,6965312,11461800,55902208,55902208,55902208,55902208,55902208,55902208
