perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
5921,524288000,16404712,507883288,5872,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,5879,5920,41,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,20177560,0,20177560,0,55902208,55902208,55902208,55902208,55902208,55902208
8104,524288000,16731808,507556192,8101,1118502912,3812824,1114690088,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,3812824.0,0.0,3812824.0,2141.0,8004,8061,57,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3812824,0,3812824,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,18814680,0,38992240,20177560,55902208,55902208,55902208,55902208,55902208,55902208
9613,524288000,16821440,507466560,9611,1118502912,3935400,1114567512,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,3935400.0,0.0,3935400.0,3657.0,9556,9577,21,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,122576,0,3935400,3812824,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-17562136,0,21430104,38992240,55902208,55902208,55902208,55902208,55902208,55902208
10997,524288000,16883448,507404552,10993,1118502912,3950424,1114552488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,3950424.0,0.0,3950424.0,5065.0,10957,10985,28,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,15024,0,3950424,3935400,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,2944120,0,24374224,21430104,55902208,55902208,55902208,55902208,55902208,55902208
12473,524288000,16955096,507332904,12469,1118502912,3957856,1114545056,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,3957856.0,0.0,3957856.0,6523.0,12421,12443,22,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,7432,0,3957856,3950424,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-6944536,0,17429688,24374224,55902208,55902208,55902208,55902208,55902208,55902208
14252,524288000,16988400,507299600,14249,1118502912,3976448,1114526464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,3976448.0,0.0,3976448.0,8327.0,14208,14247,39,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,18592,0,3976448,3957856,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,6344504,0,23774192,17429688,55902208,55902208,55902208,55902208,55902208,55902208
15716,524288000,17000072,507287928,15714,1118502912,3980400,1114522512,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,3980400.0,0.0,3980400.0,9757.0,15642,15677,35,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3952,0,3980400,3976448,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-5777872,0,17996320,23774192,55902208,55902208,55902208,55902208,55902208,55902208
17035,524288000,17014328,507273672,17033,1118502912,3983104,1114519808,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,3983104.0,0.0,3983104.0,11047.0,16934,16967,33,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,2704,0,3983104,3980400,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,4620080,0,22616400,17996320,55902208,55902208,55902208,55902208,55902208,55902208
18237,524288000,17045688,507242312,18234,1118502912,3984744,1114518168,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,3984744.0,0.0,3984744.0,12294.0,18190,18214,24,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,1640,0,3984744,3983104,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-13970352,0,8646048,22616400,55902208,55902208,55902208,55902208,55902208,55902208
19445,524288000,17059072,507228928,19443,1118502912,3986888,1114516024,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,3986888.0,0.0,3986888.0,13505.0,19385,19425,40,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,2144,0,3986888,3984744,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,11784032,0,20430080,8646048,55902208,55902208,55902208,55902208,55902208,55902208
