perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
60280,524288000,11054680,513233320,60274,1118502912,46871312,1071631600,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,57582,60272,2690,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,46871312,0,46871312,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,55902208,0,55902208,0,55902208,55902208,55902208,55902208,55902208,55902208
91085,524288000,11236848,513051152,85167,1118502912,164566352,953936560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,1.64566352E8,0.0,1.64566352E8,30809.0,85356,91081,5725,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,117695040,0,164566352,46871312,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
118732,524288000,11261840,513026160,118729,1118502912,285560408,832942504,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,2.85560408E8,0.0,2.85560408E8,58454.0,100357,118726,18369,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,120994056,0,285560408,164566352,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
153061,524288000,11282296,513005704,153057,1118502912,407039680,711463232,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,4.0703968E8,0.0,4.0703968E8,92736.0,135759,153008,17249,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,121479272,0,407039680,285560408,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
178747,524288000,11286672,513001328,178744,1118502912,528554216,589948696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,5.28554216E8,0.0,5.28554216E8,118471.0,169489,178743,9254,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,121514536,0,528554216,407039680,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
205282,524288000,11332312,512955688,197915,1118502912,528554216,589948696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,6.49308688E8,0.0,6.49308688E8,144980.0,200628,205252,4624,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,120754472,0,649308688,528554216,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
236394,524288000,11342040,512945960,236393,1118502912,642896888,475606024,1,6.0,205343,236327,30984,130642840,0,140691688,10048848,447414272,447414272,447414272,447414272,447414272,447414272,-6411800,0,642896888,649308688,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208,6,2.23707136E9,6.49308688E8,0.0,6.49308688E8,144980.0,200628,205252,4624,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,120754472,0,649308688,528554216,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
262454,524288000,11491792,512796208,262452,1118502912,713215624,405287288,1,6.0,205343,236327,30984,130642840,0,140691688,10048848,447414272,447414272,447414272,447414272,447414272,447414272,-6411800,0,642896888,649308688,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208,7,2.684485632E9,7.19627424E8,0.0,7.19627424E8,202179.0,259371,262451,3080,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,70318736,0,713215624,642896888,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
291659,524288000,11508544,512779456,291656,1118502912,765132808,353370104,1,6.0,205343,236327,30984,130642840,0,140691688,10048848,447414272,447414272,447414272,447414272,447414272,447414272,-6411800,0,642896888,649308688,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208,8,3.131899904E9,7.71544608E8,0.0,7.71544608E8,231379.0,284837,291651,6814,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,51917184,0,765132808,713215624,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208
316153,524288000,11513560,512774440,316150,1118502912,774672432,343830480,1,6.0,205343,236327,30984,130642840,0,140691688,10048848,447414272,447414272,447414272,447414272,447414272,447414272,-6411800,0,642896888,649308688,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,55902208,55902208,55902208,55902208,55902208,55902208,55902208,55902208,9,3.579314176E9,7.81084232E8,0.0,7.81084232E8,255358.0,311320,315630,4310,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,9539624,0,774672432,765132808,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-20594200,0,35308008,55902208,55902208,55902208,55902208,55902208,55902208,55902208
