perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6445,524288000,10997072,513290928,6423,139853824,85715384,54138440,1,NA,5346,6310,964,34150288,0,35262920,1112632,55967744,55967744,55967744,55967744,55967744,55967744,12987696,0,85715384,72727688,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,5814,5920,106,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,13606552,0,86334240,72727688,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
6825,524288000,11148544,513139456,6820,139853824,100427264,39426560,1,NA,5346,6310,964,34150288,0,35262920,1112632,55967744,55967744,55967744,55967744,55967744,55967744,12987696,0,85715384,72727688,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816,7,5.5967744E7,1.00427264E8,0.0,1.00427264E8,835.0,6694,6755,61,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,14711880,0,100427264,85715384,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
7462,524288000,11169800,513118200,7452,139853824,116111408,23742416,1,NA,5346,6310,964,34150288,0,35262920,1112632,55967744,55967744,55967744,55967744,55967744,55967744,12987696,0,85715384,72727688,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816,8,1.11935488E8,1.16111408E8,0.0,1.16111408E8,1531.0,7372,7451,79,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,15684144,0,116111408,100427264,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
8180,524288000,11216624,513071376,8176,139853824,115373328,24480496,2,3.0,6460,8156,1696,-5659672,0,43514336,49174008,55967744,55967744,55967744,55967744,55967744,55967744,29657944,0,115373328,85715384,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816,9,1.67903232E8,1.3062652E8,0.0,1.3062652E8,2450.0,8228,8370,142,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,14515112,0,129888440,115373328,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
9314,524288000,11221376,513066624,9309,139853824,129888440,9965384,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
12330,524288000,11225120,513062880,12326,139853824,138352416,1501408,5,1.0,10979,12325,1346,-33622272,0,22345472,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-1500072,0,138352416,139852488,139853824,139853824,139853824,139853824,139853824,139853824,-6946816,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
16152,524288000,11232376,513055624,16147,139853824,138598440,1255384,6,0.0,13796,16037,2241,-24614960,0,31352784,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-1108528,0,138598440,139706968,139853824,139853824,139853824,139853824,139853824,139853824,-6946816,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
18141,524288000,11233792,513054208,18138,139853824,138519096,1334728,7,0.0,16538,18137,1599,-15888920,0,40078824,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-1305952,0,138519096,139825048,139853824,139853824,139853824,139853824,139853824,139853824,-6946808,0,0,6946808,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
21950,524288000,11236480,513051520,21948,139853824,138743328,1110496,8,0.0,19391,21837,2446,-10855384,0,45112360,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-1110472,0,138743328,139853800,139853824,139853824,139853824,139853824,139853824,139853824,-6946816,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
23293,524288000,11237400,513050600,23290,139853824,138928488,925336,9,0.0,22268,23289,1021,-6931520,0,49036224,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-925336,0,138928488,139853824,139853824,139853824,139853824,139853824,139853824,139853824,-6946816,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
27444,524288000,11239312,513048688,27440,139853824,139087648,766176,10,0.0,24119,27429,3310,-3422520,0,52545224,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-765856,0,139087648,139853504,139853824,139853824,139853824,139853824,139853824,139853824,-6946816,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
32192,524288000,11204840,513083160,32182,139853824,138963424,890400,11,0.0,28522,31697,3175,-642520,0,55325224,55967744,55967744,55967744,55967744,55967744,55967744,55967744,-729376,0,138963424,139692800,139853824,139853824,139853824,139853824,139853824,139853824,-6946808,0,0,6946808,6946816,6946816,6946816,6946816,6946816,6946816,10,2.23870976E8,1.3062652E8,0.0,1.3062652E8,3399.0,9319,9319,0,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,129888440,129888440,139853824,139853824,139853824,139853824,139853824,139853824,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6946816,6946816
