perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
21837,524288000,22774208,501513792,21835,559284224,0,559284224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,21733,21832,99,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,0,0,0,0,559284224,559284224,559284224,559284224,559284224,559284224,7105824,0,7105824,0,27918336,27918336,27918336,27918336,27918336,27918336
25896,524288000,24130848,500157152,25894,559284224,6482336,552801888,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.23739904E8,6482336.0,0.0,6482336.0,4061.0,25678,25893,215,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,6482336,0,6482336,0,559284224,559284224,559284224,559284224,559284224,559284224,-621712,0,6484112,7105824,27918336,27918336,27918336,27918336,27918336,27918336
31146,524288000,24757392,499530608,31144,559284224,7149720,552134504,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.47479808E8,7149720.0,0.0,7149720.0,9311.0,31047,31143,96,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,667384,0,7149720,6482336,559284224,559284224,559284224,559284224,559284224,559284224,4224504,0,10708616,6484112,27918336,27918336,27918336,27918336,27918336,27918336
36549,524288000,24941448,499346552,36547,559284224,15334344,543949880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.71219712E8,1.5334344E7,0.0,1.5334344E7,14713.0,36393,36545,152,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,8184624,0,15334344,7149720,559284224,559284224,559284224,559284224,559284224,559284224,2855040,0,13563656,10708616,27918336,27918336,27918336,27918336,27918336,27918336
39920,524288000,25071328,499216672,39910,559284224,26149744,533134480,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.94959616E8,2.6149744E7,0.0,2.6149744E7,18077.0,39828,39909,81,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,10815400,0,26149744,15334344,559284224,559284224,559284224,559284224,559284224,559284224,-8379376,0,5184280,13563656,27918336,27918336,27918336,27918336,27918336,27918336
40297,524288000,25083776,499204224,40295,559284224,26157904,533126320,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.11869952E9,2.6157904E7,0.0,2.6157904E7,18462.0,40238,40294,56,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,8160,0,26157904,26149744,559284224,559284224,559284224,559284224,559284224,559284224,-4924192,0,260088,5184280,27918336,27918336,27918336,27918336,27918336,27918336
40640,524288000,25084832,499203168,40639,559284224,26157904,533126320,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.342439424E9,2.6157904E7,0.0,2.6157904E7,18791.0,40605,40623,18,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,0,0,26157904,26157904,559284224,559284224,559284224,559284224,559284224,559284224,8,0,260096,260088,27918336,27918336,27918336,27918336,27918336,27918336
40887,524288000,25099008,499188992,40885,559284224,26160568,533123656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.566179328E9,2.6160568E7,0.0,2.6160568E7,19052.0,40853,40884,31,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2664,0,26160568,26157904,559284224,559284224,559284224,559284224,559284224,559284224,-243552,0,16544,260096,27918336,27918336,27918336,27918336,27918336,27918336
42092,524288000,25125656,499162344,42091,559284224,26160568,533123656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.789919232E9,2.6160568E7,0.0,2.6160568E7,20221.0,42005,42053,48,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,0,0,26160568,26160568,559284224,559284224,559284224,559284224,559284224,559284224,4136,0,20680,16544,27918336,27918336,27918336,27918336,27918336,27918336
42657,524288000,25141024,499146976,42655,559284224,26167448,533116776,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.013659136E9,2.6167448E7,0.0,2.6167448E7,20822.0,42629,42654,25,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,6880,0,26167448,26160568,559284224,559284224,559284224,559284224,559284224,559284224,-10568,0,10112,20680,27918336,27918336,27918336,27918336,27918336,27918336
