perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6363,524288000,9504728,514783272,6342,69926912,6032440,63894472,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,5264,5298,34,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,4807112,0,6032440,1225328,69926912,69926912,69926912,69926912,69926912,69926912,288,0,3473400,3473112,3473408,3473408,3473408,3473408,3473408,3473408
7414,524288000,9685848,514602152,7410,69926912,10005232,59921680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7983872E7,1.0005232E7,0.0,1.0005232E7,2110.0,7375,7408,33,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3972792,0,10005232,6032440,69926912,69926912,69926912,69926912,69926912,69926912,8,0,3473408,3473400,3473408,3473408,3473408,3473408,3473408,3473408
10308,524288000,9783496,514504504,10302,69926912,13854424,56072488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5967744E7,1.3854424E7,0.0,1.3854424E7,5000.0,10248,10298,50,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3849192,0,13854424,10005232,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
13778,524288000,9800584,514487416,13776,69926912,17617752,52309160,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.3951616E7,1.7617752E7,0.0,1.7617752E7,8468.0,13738,13766,28,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3763328,0,17617752,13854424,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
16968,524288000,9809416,514478584,16957,69926912,21010656,48916256,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.11935488E8,2.1010656E7,0.0,2.1010656E7,11635.0,16905,16933,28,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3392904,0,21010656,17617752,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
20913,524288000,9828856,514459144,20911,69926912,24523232,45403680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3991936E8,2.4523232E7,0.0,2.4523232E7,15611.0,20866,20909,43,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3512576,0,24523232,21010656,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
25366,524288000,9843520,514444480,25363,69926912,24523232,45403680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.67903232E8,2.8167792E7,0.0,2.8167792E7,20112.0,25370,25410,40,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3644560,0,28167792,24523232,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
29447,524288000,9855432,514432568,29445,69926912,31715256,38211656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.95887104E8,3.1715256E7,0.0,3.1715256E7,24006.0,29236,29304,68,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3547464,0,31715256,28167792,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
34254,524288000,9866704,514421296,34247,69926912,31715256,38211656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.23870976E8,3.502608E7,0.0,3.502608E7,29034.0,34291,34332,41,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3310824,0,35026080,31715256,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
34707,524288000,9866704,514421296,34705,69926912,32402424,37524488,1,9.0,34333,34649,316,1793224,0,1892320,99096,27983872,27983872,27983872,27983872,27983872,27983872,-2623656,0,32402424,35026080,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,10,2.23870976E8,3.502608E7,0.0,3.502608E7,29034.0,34291,34332,41,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3310824,0,35026080,31715256,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
