perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
143299,524288000,29252696,495035304,130018,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,131486,143191,11705,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,13090296,0,13090296,0,55902208,55902208,55902208,55902208,55902208,55902208
146895,524288000,29551504,494736496,146893,1118502912,14866592,1103636320,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,1.4866592E7,0.0,1.4866592E7,3700.0,146344,146891,547,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,14866592,0,14866592,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-2007784,0,11082512,13090296,55902208,55902208,55902208,55902208,55902208,55902208
236876,524288000,36965200,487322800,236869,1118502912,15012752,1103490160,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,1.5012752E7,0.0,1.5012752E7,93677.0,236706,236868,162,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,146160,0,15012752,14866592,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-3519696,0,7562816,11082512,55902208,55902208,55902208,55902208,55902208,55902208
285688,524288000,58865152,465422848,285686,1118502912,19535288,1098967624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,1.9535288E7,0.0,1.9535288E7,142488.0,284715,285679,964,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,4522536,0,19535288,15012752,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,6244440,0,13807256,7562816,55902208,55902208,55902208,55902208,55902208,55902208
319952,524288000,62221888,462066112,319938,1118502912,30564912,1087938000,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,3.0564912E7,0.0,3.0564912E7,176736.0,318110,319927,1817,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,11029624,0,30564912,19535288,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,6882960,0,20690216,13807256,55902208,55902208,55902208,55902208,55902208,55902208
333684,524288000,62277384,462010616,333678,1118502912,44497576,1074005336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,4.4497576E7,0.0,4.4497576E7,190482.0,333447,333673,226,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,13932664,0,44497576,30564912,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-8053416,0,12636800,20690216,55902208,55902208,55902208,55902208,55902208,55902208
340252,524288000,62280336,462007664,340250,1118502912,47832776,1070670136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,4.7832776E7,0.0,4.7832776E7,197013.0,340051,340204,153,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3335200,0,47832776,44497576,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-6152896,0,6483904,12636800,55902208,55902208,55902208,55902208,55902208,55902208
345575,524288000,62281304,462006696,345573,1118502912,50956320,1067546592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,5.095632E7,0.0,5.095632E7,202365.0,345451,345556,105,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3123544,0,50956320,47832776,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-950960,0,5532944,6483904,55902208,55902208,55902208,55902208,55902208,55902208
351165,524288000,62286536,462001464,351163,1118502912,54350032,1064152880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,5.4350032E7,0.0,5.4350032E7,207969.0,350943,351160,217,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3393712,0,54350032,50956320,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,26872,0,5559816,5532944,55902208,55902208,55902208,55902208,55902208,55902208
357004,524288000,62286536,462001464,357003,1118502912,57407088,1061095824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,5.7407088E7,0.0,5.7407088E7,213809.0,356794,357000,206,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3057056,0,57407088,54350032,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-541288,0,5018528,5559816,55902208,55902208,55902208,55902208,55902208,55902208
