perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
20136,524288000,19964856,504323144,20133,279642112,0,279642112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,20025,20131,106,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,0,0,0,0,279642112,279642112,279642112,279642112,279642112,279642112,5500600,0,5500600,0,13959168,13959168,13959168,13959168,13959168,13959168
34353,524288000,27747200,496540800,34351,279642112,0,279642112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.11869952E8,4801816.0,0.0,4801816.0,14400.0,34355,34531,176,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,4801816,0,4801816,0,279642112,279642112,279642112,279642112,279642112,279642112,2112136,0,7612736,5500600,13959168,13959168,13959168,13959168,13959168,13959168
112403,524288000,27872176,496415824,112402,279642112,10088848,269553264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23739904E8,1.0088848E7,0.0,1.0088848E7,92269.0,112271,112400,129,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,5287032,0,10088848,4801816,279642112,279642112,279642112,279642112,279642112,279642112,-1324448,0,6288288,7612736,13959168,13959168,13959168,13959168,13959168,13959168
197081,524288000,28143064,496144936,197080,279642112,10088848,269553264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.35609856E8,1.012496E7,0.0,1.012496E7,176986.0,197081,197117,36,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,36112,0,10124960,10088848,279642112,279642112,279642112,279642112,279642112,279642112,-4409448,0,1878840,6288288,13959168,13959168,13959168,13959168,13959168,13959168
284856,524288000,28151768,496136232,284855,279642112,11257568,268384544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.47479808E8,1.1257568E7,0.0,1.1257568E7,264622.0,284678,284753,75,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,1132608,0,11257568,10124960,279642112,279642112,279642112,279642112,279642112,279642112,-1712200,0,166640,1878840,13959168,13959168,13959168,13959168,13959168,13959168
374033,524288000,28152888,496135112,374032,279642112,11257568,268384544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.5934976E8,1.1258384E7,0.0,1.1258384E7,353938.0,374033,374069,36,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,816,0,11258384,11257568,279642112,279642112,279642112,279642112,279642112,279642112,140160,0,306800,166640,13959168,13959168,13959168,13959168,13959168,13959168
464585,524288000,28153072,496134928,464584,279642112,11258384,268383728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.71219712E8,1.144124E7,0.0,1.144124E7,444482.0,464586,464613,27,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,182856,0,11441240,11258384,279642112,279642112,279642112,279642112,279642112,279642112,-234080,0,72720,306800,13959168,13959168,13959168,13959168,13959168,13959168
555043,524288000,28153544,496134456,555040,279642112,11441240,268200872,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.83089664E8,1.1441328E7,0.0,1.1441328E7,534948.0,555047,555079,32,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,88,0,11441328,11441240,279642112,279642112,279642112,279642112,279642112,279642112,-52992,0,19728,72720,13959168,13959168,13959168,13959168,13959168,13959168
644677,524288000,28153544,496134456,644676,279642112,11441328,268200784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.94959616E8,1.1441328E7,0.0,1.1441328E7,624594.0,644677,644725,48,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,0,0,11441328,11441328,279642112,279642112,279642112,279642112,279642112,279642112,-10656,0,9072,19728,13959168,13959168,13959168,13959168,13959168,13959168
719586,524288000,28512904,495775096,719585,279642112,11441992,268200120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.006829568E9,1.1441992E7,0.0,1.1441992E7,699417.0,719507,719548,41,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,664,0,11441992,11441328,279642112,279642112,279642112,279642112,279642112,279642112,2214928,0,2224000,9072,13959168,13959168,13959168,13959168,13959168,13959168
