perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7085,524288000,12343608,511944392,7014,559284224,0,559284224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,5820,5870,50,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,0,0,0,0,559284224,559284224,559284224,559284224,559284224,559284224,4568112,0,4568112,0,27918336,27918336,27918336,27918336,27918336,27918336
7842,524288000,12534312,511753688,7835,559284224,0,559284224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.23739904E8,3115872.0,0.0,3115872.0,2093.0,7884,7963,79,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,3115872,0,3115872,0,559284224,559284224,559284224,559284224,559284224,559284224,-1350368,0,3217744,4568112,27918336,27918336,27918336,27918336,27918336,27918336
9728,524288000,12630552,511657448,9724,559284224,3514336,555769888,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.47479808E8,3514336.0,0.0,3514336.0,3743.0,9584,9613,29,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,398464,0,3514336,3115872,559284224,559284224,559284224,559284224,559284224,559284224,219184,0,3436928,3217744,27918336,27918336,27918336,27918336,27918336,27918336
10924,524288000,12684832,511603168,10921,559284224,3528992,555755232,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.71219712E8,3528992.0,0.0,3528992.0,5034.0,10892,10904,12,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,14656,0,3528992,3514336,559284224,559284224,559284224,559284224,559284224,559284224,-556368,0,2880560,3436928,27918336,27918336,27918336,27918336,27918336,27918336
12091,524288000,12756096,511531904,12089,559284224,3537888,555746336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.94959616E8,3537888.0,0.0,3537888.0,6217.0,12058,12087,29,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,8896,0,3537888,3528992,559284224,559284224,559284224,559284224,559284224,559284224,-541368,0,2339192,2880560,27918336,27918336,27918336,27918336,27918336,27918336
13330,524288000,12771536,511516464,13328,559284224,3537888,555746336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.11869952E9,3547544.0,0.0,3547544.0,7505.0,13348,13375,27,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,9656,0,3547544,3537888,559284224,559284224,559284224,559284224,559284224,559284224,320744,0,2659936,2339192,27918336,27918336,27918336,27918336,27918336,27918336
14688,524288000,12782696,511505304,14686,559284224,3547544,555736680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.342439424E9,3558808.0,0.0,3558808.0,8892.0,14732,14762,30,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,11264,0,3558808,3547544,559284224,559284224,559284224,559284224,559284224,559284224,-509952,0,2149984,2659936,27918336,27918336,27918336,27918336,27918336,27918336
16095,524288000,12791456,511496544,16093,559284224,3561600,555722624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.566179328E9,3561600.0,0.0,3561600.0,10212.0,16043,16082,39,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2792,0,3561600,3558808,559284224,559284224,559284224,559284224,559284224,559284224,904776,0,3054760,2149984,27918336,27918336,27918336,27918336,27918336,27918336
17398,524288000,12897256,511390744,17395,559284224,3563736,555720488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.789919232E9,3563736.0,0.0,3563736.0,11482.0,17319,17352,33,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2136,0,3563736,3561600,559284224,559284224,559284224,559284224,559284224,559284224,-637240,0,2417520,3054760,27918336,27918336,27918336,27918336,27918336,27918336
18675,524288000,12907168,511380832,18672,559284224,3563736,555720488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.013659136E9,3565576.0,0.0,3565576.0,12859.0,18690,18729,39,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,1840,0,3565576,3563736,559284224,559284224,559284224,559284224,559284224,559284224,43304,0,2460824,2417520,27918336,27918336,27918336,27918336,27918336,27918336
