perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
5800,524288000,9951640,514336360,5774,69926912,3007624,66919288,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1019,1036,17,4316664,0,4316664,0,4325376,4325376,4325376,4325376,4325376,4325376,3007624,0,3007624,0,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
10122,524288000,10218664,514069336,10119,69926912,3007624,66919288,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6279936E7,3491032.0,0.0,3491032.0,9100.0,10123,10136,13,-392,0,4316272,4316664,4325376,4325376,4325376,4325376,4325376,4325376,483408,0,3491032,3007624,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
17694,524288000,10250664,514037336,17691,69926912,3491032,66435880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2559872E7,3491032.0,0.0,3491032.0,16654.0,17654,17690,36,312,0,4316584,4316272,4325376,4325376,4325376,4325376,4325376,4325376,0,0,3491032,3491032,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
24990,524288000,10281232,514006768,24987,69926912,3545544,66381368,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.8839808E7,3545544.0,0.0,3545544.0,23950.0,24953,24986,33,-16320,0,4300264,4316584,4325376,4325376,4325376,4325376,4325376,4325376,54512,0,3545544,3491032,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
31465,524288000,10302120,513985880,31463,69926912,3545544,66381368,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.05119744E8,3545544.0,0.0,3545544.0,30391.0,31414,31427,13,16400,0,4316664,4300264,4325376,4325376,4325376,4325376,4325376,4325376,0,0,3545544,3545544,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,-655360,0,26279936,25624576,26279936,26279936,26279936,26279936,26279936
36926,524288000,10309192,513978808,36924,69926912,3592088,66334824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.3074432E8,3592088.0,0.0,3592088.0,35783.0,36766,36819,53,0,0,4316664,4316664,4325376,4325376,4325376,4325376,4325376,4325376,46544,0,3592088,3545544,69926912,69926912,69926912,69926912,69926912,69926912,-25624576,-5111808,0,25624576,20512768,25624576,26279936,26279936,23396352,26279936
41086,524288000,10319208,513968792,41084,69926912,3592088,66334824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.51257088E8,7776688.0,0.0,7776688.0,40099.0,41088,41135,47,-4087288,-4063232,229376,4316664,262144,4325376,4325376,4325376,262144,4325376,4184600,0,7776688,3592088,69926912,69926912,69926912,69926912,69926912,69926912,-20512768,-393216,0,20512768,20119552,20512768,26279936,26279936,26738688,23396352
45473,524288000,10326080,513961920,45471,69926912,7784880,62142032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7137664E8,7784880.0,0.0,7784880.0,44381.0,45412,45417,5,98304,7667712,327680,229376,7929856,262144,4325376,4325376,7929856,262144,8192,0,7784880,7776688,69926912,69926912,69926912,69926912,69926912,69926912,-20119552,-1703936,0,20119552,18415616,20119552,26279936,26279936,18743296,26738688
49796,524288000,10327304,513960696,49794,69926912,7801264,62125648,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.89792256E8,7801264.0,0.0,7801264.0,48681.0,49708,49717,9,294912,-7274496,622592,327680,655360,7929856,4325376,4325376,655360,7929856,16384,0,7801264,7784880,69926912,69926912,69926912,69926912,69926912,69926912,-18415616,0,0,18415616,18415616,18415616,26279936,26279936,25886720,18743296
53710,524288000,10351232,513936768,53708,69926912,8104368,61822544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.08207872E8,8104368.0,0.0,8104368.0,52646.0,53676,53682,6,-98304,7733248,524288,622592,8388608,655360,4325376,4325376,8388608,655360,303104,0,8104368,7801264,69926912,69926912,69926912,69926912,69926912,69926912,-18415616,-262144,0,18415616,18153472,18415616,26279936,26279936,18153472,25886720
