perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
141224,524288000,21527832,502760168,141222,1118502912,73744,1118429168,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,133464,140348,6884,12919904,0,12919904,0,69861376,69861376,69861376,69861376,69861376,69861376,73744,0,73744,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
223183,524288000,21902344,502385656,223177,1118502912,90128,1118412784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.19495936E8,90128.0,0.0,90128.0,82827.0,222911,223175,264,18788984,0,31708888,12919904,69861376,69861376,69861376,69861376,69861376,69861376,16384,0,90128,73744,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
254661,524288000,22976664,501311336,254446,1118502912,90128,1118412784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.38991872E8,98320.0,0.0,98320.0,114296.0,254469,254644,175,-18937720,0,12771168,31708888,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,98320,90128,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
326246,524288000,24513864,499774136,326217,1118502912,106512,1118396400,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.258487808E9,106512.0,0.0,106512.0,185829.0,325972,326177,205,7186864,0,19958032,12771168,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,106512,98320,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
373029,524288000,24839992,499448008,373028,1118502912,114704,1118388208,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.677983744E9,114704.0,0.0,114704.0,232677.0,372931,373025,94,-2615424,0,17342608,19958032,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,114704,106512,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,459603968,419495936
406124,524288000,24885656,499402344,406121,1118502912,114704,1118388208,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.09747968E9,122896.0,0.0,122896.0,266030.0,406153,406378,225,-758072,-40108032,16584536,17342608,29753344,69861376,69861376,69861376,29753344,69861376,8192,0,122896,114704,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,81330176,0,419495936,500826112,419495936,419495936,419495936,500826112,459603968
431048,524288000,24907720,499380280,431046,1118502912,8035808,1110467104,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.598305792E9,8035808.0,0.0,8035808.0,290696.0,430837,431044,207,5209608,-1114112,21794144,16584536,28639232,29753344,69861376,69861376,28639232,29753344,7912912,0,8035808,122896,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-500826112,0,0,500826112,500826112,500826112,419495936,419495936,501743616,500826112
445627,524288000,24911224,499376776,445625,1118502912,12905424,1105597488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.099131904E9,1.2905424E7,0.0,1.2905424E7,305275.0,445456,445623,167,-19172704,196608,2621440,21794144,28835840,28639232,69861376,69861376,28835840,28639232,4869616,0,12905424,8035808,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-500826112,-3342336,0,500826112,497483776,500826112,419495936,419495936,499515392,501743616
467238,524288000,24929792,499358208,467237,1118502912,12979152,1105523760,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.59661568E9,1.2979152E7,0.0,1.2979152E7,326883.0,467205,467231,26,2813976,-23396352,5435416,2621440,5439488,28835840,69861376,69861376,5439488,28835840,73728,0,12979152,12905424,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-497483776,0,0,497483776,497483776,497483776,419495936,419495936,522256384,499515392
483406,524288000,24936896,499351104,483405,1118502912,13110224,1105392688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.094099456E9,1.3110224E7,0.0,1.3110224E7,342953.0,483253,483301,48,-2359848,26083328,3075568,5435416,31522816,5439488,69861376,69861376,31522816,5439488,131072,0,13110224,12979152,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-497483776,-2490368,0,497483776,494993408,497483776,419495936,419495936,495583232,522256384
558342,524288000,26529112,497758888,558341,1118502912,13110224,1105392688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.589092864E9,1.329864E7,0.0,1.329864E7,418124.0,558356,558472,116,14983984,589824,18059552,3075568,32112640,31522816,69861376,69861376,32112640,31522816,188416,0,13298640,13110224,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-494993408,0,0,494993408,494993408,494993408,419495936,419495936,495452160,495583232
597902,524288000,26785800,497502200,597897,1118502912,23084648,1095418264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.084086272E9,2.3084648E7,0.0,2.3084648E7,457548.0,597574,597896,322,-13755496,-458752,4304056,18059552,31653888,32112640,69861376,69861376,31653888,32112640,9786008,0,23084648,13298640,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-494993408,655360,0,494993408,495648768,494993408,419495936,419495936,495779840,495452160
628486,524288000,26854272,497433728,628484,1118502912,25886552,1092616360,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.57973504E9,2.5886552E7,0.0,2.5886552E7,488129.0,628352,628477,125,2118472,131072,6422528,4304056,31784960,31653888,69861376,69861376,31784960,31653888,2801904,0,25886552,23084648,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-495648768,0,0,495648768,495648768,495648768,419495936,419495936,496173056,495779840
673689,524288000,26923488,497364512,673686,1118502912,27654624,1090848288,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6.075383808E9,2.7654624E7,0.0,2.7654624E7,533294.0,673618,673642,24,-2610664,-524288,3811864,6422528,31260672,31784960,69861376,69861376,31260672,31784960,1768072,0,27654624,25886552,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-495648768,1310720,0,495648768,496959488,495648768,419495936,419495936,496959488,496173056
712919,524288000,26945904,497342096,712918,1118502912,30080944,1088421968,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6.572343296E9,3.0080944E7,0.0,3.0080944E7,572569.0,712788,712917,129,6117536,-262144,9929400,3811864,30998528,31260672,69861376,69861376,30998528,31260672,2426320,0,30080944,27654624,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-496959488,0,0,496959488,496959488,496959488,419495936,419495936,498728960,496959488
739293,524288000,26966440,497321560,739283,1118502912,32270112,1086232800,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7.069302784E9,3.2270112E7,0.0,3.2270112E7,598934.0,739218,739282,64,-118472,-1507328,9810928,9929400,29491200,30998528,69861376,69861376,29491200,30998528,2189168,0,32270112,30080944,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-496959488,4653056,0,496959488,501612544,496959488,419495936,419495936,501612544,498728960
780125,524288000,26978064,497309936,780118,1118502912,38612960,1079889952,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.570915328E9,3.861296E7,0.0,3.861296E7,639761.0,779840,780109,269,18284352,-1376256,28095280,9810928,28114944,29491200,69861376,69861376,28114944,29491200,6342848,0,38612960,32270112,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-501612544,0,0,501612544,501612544,501612544,419495936,419495936,501612544,501612544
813615,524288000,27045208,497242792,813614,1118502912,51700232,1066802680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.072527872E9,5.1700232E7,0.0,5.1700232E7,673265.0,813420,813613,193,-16931184,1376256,11164096,28095280,29491200,28114944,69861376,69861376,29491200,28114944,13087272,0,51700232,38612960,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-501612544,-8978432,0,501612544,492634112,501612544,419495936,419495936,496435200,501612544
855211,524288000,27632688,496655312,855205,1118502912,61686072,1056816840,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8.565161984E9,6.1686072E7,0.0,6.1686072E7,714853.0,855043,855201,158,14051744,-4259840,25215840,11164096,25231360,29491200,69861376,69861376,25231360,29491200,9985840,0,61686072,51700232,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-492634112,0,0,492634112,492634112,492634112,419495936,419495936,498401280,496435200
877890,524288000,27674480,496613520,877726,1118502912,64972640,1053530272,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9.057796096E9,6.497264E7,0.0,6.497264E7,737535.0,877731,877883,152,6952472,10354688,32168312,25215840,35586048,25231360,69861376,69861376,35586048,25231360,3286568,0,64972640,61686072,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-492634112,-13238272,0,492634112,479395840,492634112,419495936,419495936,483721216,498401280
899793,524288000,27700656,496587344,899792,1118502912,70692760,1047810152,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9.537191936E9,7.069276E7,0.0,7.069276E7,759443.0,899577,899791,214,7712632,4325376,39880944,32168312,39911424,35586048,69861376,69861376,39911424,35586048,5720120,0,70692760,64972640,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-479395840,-12779520,0,479395840,466616320,479395840,419495936,419495936,479395840,483721216
926663,524288000,27708520,496579480,926662,1118502912,70692760,1047810152,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.0003808256E10,1.30991664E8,0.0,1.30991664E8,786847.0,926669,927195,526,856,0,39881800,39880944,39911424,39911424,69861376,69861376,39911424,39911424,60298904,0,130991664,70692760,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-466616320,-57999360,0,466616320,408616960,466616320,419495936,419495936,444006400,479395840
955256,524288000,27714552,496573448,955255,1118502912,162137840,956365072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0412360896E10,1.6213784E8,0.0,1.6213784E8,814906.0,954752,955254,502,2518792,2490368,42400592,39881800,42401792,39911424,69861376,69861376,42401792,39911424,31146176,0,162137840,130991664,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-408552640,0,0,408552640,408616960,408616960,419495936,419495936,440795136,444006400
971116,524288000,27728712,496559288,971115,1118502912,162137840,956365072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.0820977856E10,1.99350584E8,0.0,1.99350584E8,831350.0,971123,971698,575,-38726528,33619968,3674064,42400592,76021760,42401792,69861376,69861376,76021760,42401792,37212744,0,199350584,162137840,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-408616960,-1048576,0,408616960,407568384,408616960,419495936,419495936,407568384,440795136
