perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
6067,524288000,16400120,507887880,6063,1118502912,8192,1118494720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,6000,6027,27,15147688,0,15147688,0,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,8192,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
8368,524288000,16724656,507563344,8364,1118502912,132584,1118370328,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.19495936E8,132584.0,0.0,132584.0,2303.0,8307,8330,23,1533360,0,16681048,15147688,69861376,69861376,69861376,69861376,69861376,69861376,124392,0,132584,8192,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
10135,524288000,16798768,507489232,10133,1118502912,140776,1118362136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.38991872E8,140776.0,0.0,140776.0,4040.0,10048,10067,19,5341136,0,22022184,16681048,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,140776,132584,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
11598,524288000,16843944,507444056,11595,1118502912,148968,1118353944,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.258487808E9,148968.0,0.0,148968.0,5536.0,11555,11563,8,-17629184,0,4393000,22022184,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,148968,140776,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
13491,524288000,16935696,507352304,13489,1118502912,157160,1118345752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.677983744E9,157160.0,0.0,157160.0,7424.0,13428,13451,23,5341184,0,9734184,4393000,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,157160,148968,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,464453632,419495936
15227,524288000,16964760,507323240,15225,1118502912,157160,1118345752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.09747968E9,157160.0,0.0,157160.0,9186.0,15179,15213,34,5505024,-44957696,15239208,9734184,24903680,69861376,69861376,69861376,24903680,69861376,0,0,157160,157160,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,90767360,0,419495936,510263296,419495936,419495936,419495936,510263296,464453632
17019,524288000,17000824,507287176,17017,1118502912,3537640,1114965272,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.607742976E9,3537640.0,0.0,3537640.0,10982.0,16959,17009,50,-4032552,-851968,11206656,15239208,24051712,24903680,69861376,69861376,24051712,24903680,3380480,0,3537640,157160,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-510263296,0,0,510263296,510263296,510263296,419495936,419495936,511967232,510263296
19143,524288000,17011200,507276800,19142,1118502912,3562216,1114940696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.118006272E9,3562216.0,0.0,3562216.0,13031.0,19048,19058,10,-491520,-851968,10715136,11206656,23199744,24051712,69861376,69861376,23199744,24051712,24576,0,3562216,3537640,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-510263296,3145728,0,510263296,513409024,510263296,419495936,419495936,513409024,511967232
21527,524288000,17042536,507245464,21525,1118502912,3586792,1114916120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.631415296E9,3586792.0,0.0,3586792.0,15490.0,21495,21517,22,65536,-589824,10780672,10715136,22609920,23199744,69861376,69861376,22609920,23199744,24576,0,3586792,3562216,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-513409024,0,0,513409024,513409024,513409024,419495936,419495936,514654208,513409024
23284,524288000,17064816,507223184,23282,1118502912,3603176,1114899736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.14482432E9,3603176.0,0.0,3603176.0,17197.0,23205,23224,19,-98304,-655360,10682368,10780672,21954560,22609920,69861376,69861376,21954560,22609920,16384,0,3603176,3586792,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-513409024,2424832,0,513409024,515833856,513409024,419495936,419495936,515833856,514654208
