perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
6556,524288000,10990632,513297368,6544,279642112,32747480,246894632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,6039,6183,144,16352,0,17418072,17401720,17432576,17432576,17432576,17432576,17432576,17432576,25854000,0,32747480,6893480,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
7831,524288000,11174008,513113992,7696,279642112,32747480,246894632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.04923136E8,5.7880552E7,0.0,5.7880552E7,1644.0,7698,7827,129,-16368,0,17401704,17418072,17432576,17432576,17432576,17432576,17432576,17432576,25133072,0,57880552,32747480,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
9532,524288000,11215456,513072544,9528,279642112,82456552,197185560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.09846272E8,8.2456552E7,0.0,8.2456552E7,3343.0,9365,9526,161,16432,0,17418136,17401704,17432576,17432576,17432576,17432576,17432576,17432576,24576000,0,82456552,57880552,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
12624,524288000,11232888,513055112,12611,279642112,107073528,172568584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.14769408E8,1.07073528E8,0.0,1.07073528E8,6426.0,12450,12609,159,-48,0,17418088,17418136,17432576,17432576,17432576,17432576,17432576,17432576,24616976,0,107073528,82456552,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
15344,524288000,11237080,513050920,15100,279642112,107073528,172568584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.19692544E8,1.3286196E8,0.0,1.3286196E8,9160.0,15103,15343,240,-16,0,17418072,17418088,17432576,17432576,17432576,17432576,17432576,17432576,25788432,0,132861960,107073528,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,-58327040,0,104923136,46596096,104923136,104923136,104923136,75759616,104923136
16838,524288000,11240320,513047680,16828,279642112,135687624,143954488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.6628864E8,1.35687624E8,0.0,1.35687624E8,10644.0,16657,16827,170,7551240,29163520,24969312,17418072,46596096,17432576,17432576,17432576,46596096,17432576,2825664,0,135687624,132861960,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,75759616
18200,524288000,11247144,513040856,18197,279642112,135687624,143954488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.12884736E8,1.37506248E8,0.0,1.37506248E8,12210.0,18207,18393,186,9928704,0,34898016,24969312,46596096,46596096,17432576,17432576,46596096,46596096,1818624,0,137506248,135687624,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
20159,524288000,11254464,513033536,20151,279642112,149925352,129716760,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.59480832E8,1.49925352E8,0.0,1.49925352E8,13967.0,19963,20150,187,-1638448,0,33259568,34898016,46596096,46596096,17432576,17432576,46596096,46596096,12419104,0,149925352,137506248,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
21779,524288000,11261000,513027000,21776,279642112,171904536,107737576,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6.06076928E8,1.71904536E8,0.0,1.71904536E8,15592.0,21527,21775,248,-11173920,0,22085648,33259568,46596096,46596096,17432576,17432576,46596096,46596096,21979184,0,171904536,149925352,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
23027,524288000,11261528,513026472,23024,279642112,193670680,85971432,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6.52673024E8,1.9367068E8,0.0,1.9367068E8,16840.0,22851,23023,172,-10354688,0,11730960,22085648,46596096,46596096,17432576,17432576,46596096,46596096,21766144,0,193670680,171904536,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
25079,524288000,11279144,513008856,25069,279642112,204926488,74715624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.9926912E8,2.04926488E8,0.0,2.04926488E8,18885.0,24934,25068,134,-950288,0,10780672,11730960,46596096,46596096,17432576,17432576,46596096,46596096,11255808,0,204926488,193670680,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
27049,524288000,11290016,512997984,27040,279642112,215592472,64049640,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7.45865216E8,2.15592472E8,0.0,2.15592472E8,20856.0,26893,27039,146,622592,0,11403264,10780672,46596096,46596096,17432576,17432576,46596096,46596096,10665984,0,215592472,204926488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
