perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
20328,524288000,22522392,501765608,20325,559284224,8192,559276032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,20269,20321,52,7352184,0,7352184,0,34930688,34930688,34930688,34930688,34930688,34930688,8192,0,8192,0,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,0,0,209715200,209715200,209715200,209715200,209715200,209715200,209715200
23904,524288000,24076360,500211640,23901,559284224,16384,559267840,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.097152E8,16384.0,0.0,16384.0,3541.0,23811,23862,51,-90616,0,7261568,7352184,34930688,34930688,34930688,34930688,34930688,34930688,8192,0,16384,8192,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,0,0,209715200,209715200,209715200,209715200,209715200,209715200,209715200
30070,524288000,24743168,499544832,30058,559284224,32768,559251456,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.194304E8,32768.0,0.0,32768.0,9730.0,29980,30051,71,4726648,0,11988216,7261568,34930688,34930688,34930688,34930688,34930688,34930688,16384,0,32768,16384,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,0,0,209715200,209715200,209715200,209715200,209715200,209715200,209715200
34157,524288000,24770584,499517416,34155,559284224,40960,559243264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.291456E8,40960.0,0.0,40960.0,13833.0,34048,34154,106,10594424,0,22582640,11988216,34930688,34930688,34930688,34930688,34930688,34930688,8192,0,40960,32768,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,0,0,209715200,209715200,209715200,209715200,209715200,209715200,209715200
38125,524288000,25060296,499227704,38123,559284224,49152,559235072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.388608E8,49152.0,0.0,49152.0,17801.0,38017,38122,105,1554808,0,24137448,22582640,34930688,34930688,34930688,34930688,34930688,34930688,8192,0,49152,40960,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,0,0,209715200,209715200,209715200,209715200,209715200,216203264,209715200
38513,524288000,25071688,499216312,38503,559284224,57344,559226880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.048576E9,57344.0,0.0,57344.0,18181.0,38450,38502,52,-32736,-6488064,24104712,24137448,28442624,34930688,34930688,34930688,28442624,34930688,8192,0,57344,49152,559284224,559284224,559284224,559284224,559284224,559284224,-209715200,6684672,0,209715200,216399872,209715200,209715200,209715200,219545600,216203264
38956,524288000,25072408,499215592,38954,559284224,6476536,552807688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.264975872E9,6476536.0,0.0,6476536.0,18621.0,38874,38942,68,-7596168,3145728,16508544,24104712,31588352,28442624,34930688,34930688,31588352,28442624,6419192,0,6476536,57344,559284224,559284224,559284224,559284224,559284224,559284224,-216399872,0,0,216399872,216399872,216399872,209715200,209715200,218431488,219545600
39315,524288000,25073464,499214536,39313,559284224,22501752,536782472,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.481375744E9,2.2501752E7,0.0,2.2501752E7,18992.0,39242,39313,71,-15951488,-2031616,557056,16508544,29556736,31588352,34930688,34930688,29556736,31588352,16025216,0,22501752,6476536,559284224,559284224,559284224,559284224,559284224,559284224,-216399872,1048576,0,216399872,217448448,216399872,209715200,209715200,218955776,218431488
39646,524288000,25084864,499203136,39645,559284224,22944120,536340104,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.698824192E9,2.294412E7,0.0,2.294412E7,19323.0,39640,39644,4,-524288,-29491200,32768,557056,65536,29556736,34930688,34930688,65536,29556736,442368,0,22944120,22501752,559284224,559284224,559284224,559284224,559284224,559284224,-217448448,0,0,217448448,217448448,217448448,209715200,209715200,247660544,218955776
41045,524288000,25126360,499161640,41044,559284224,22952312,536331912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.91627264E9,2.2952312E7,0.0,2.2952312E7,20631.0,40947,40952,5,0,31784960,32768,32768,31850496,65536,34930688,34930688,31850496,65536,8192,0,22952312,22944120,559284224,559284224,559284224,559284224,559284224,559284224,-217448448,-2097152,0,217448448,215351296,217448448,209715200,209715200,215613440,247660544
