perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
6706,524288000,9577048,514710952,6691,279642112,8192,279633920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,6633,6666,33,12355624,0,12355624,0,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,8192,0,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
12036,524288000,9800744,514487256,12018,279642112,1373848,278268264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.04923136E8,1373848.0,0.0,1373848.0,5337.0,11961,12003,42,5052080,0,17407704,12355624,17432576,17432576,17432576,17432576,17432576,17432576,1365656,0,1373848,8192,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
18991,524288000,9831272,514456728,18989,279642112,4819280,274822832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.09846272E8,4819280.0,0.0,4819280.0,12320.0,18950,18986,36,0,0,17407704,17407704,17432576,17432576,17432576,17432576,17432576,17432576,3445432,0,4819280,1373848,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
27606,524288000,9856056,514431944,27603,279642112,7340520,272301592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.14769408E8,7340520.0,0.0,7340520.0,20922.0,27512,27588,76,7944,0,17415648,17407704,17432576,17432576,17432576,17432576,17432576,17432576,2521240,0,7340520,4819280,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
40659,524288000,9888992,514399008,40657,279642112,8549320,271092792,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.19692544E8,8549320.0,0.0,8549320.0,33990.0,40579,40656,77,5472,0,17421120,17415648,17432576,17432576,17432576,17432576,17432576,17432576,1208800,0,8549320,7340520,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,-2621440,0,104923136,102301696,104923136,104923136,104923136,104923136,104923136
60282,524288000,9954600,514333400,60277,279642112,12218968,267423144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.2199424E8,1.2218968E7,0.0,1.2218968E7,53589.0,60110,60255,145,544,0,17421664,17421120,17432576,17432576,17432576,17432576,17432576,17432576,3669648,0,12218968,8549320,279642112,279642112,279642112,279642112,279642112,279642112,-102301696,-11403264,0,102301696,90898432,102301696,104923136,104923136,97910784,104923136
77161,524288000,9972424,514315576,77143,279642112,15872040,263770072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.12892672E8,1.587204E7,0.0,1.587204E7,70476.0,77001,77142,141,-114688,7012352,17306976,17421664,24444928,17432576,17432576,17432576,24444928,17432576,3653072,0,15872040,12218968,279642112,279642112,279642112,279642112,279642112,279642112,-90898432,0,0,90898432,90898432,90898432,104923136,104923136,91422720,97910784
92478,524288000,9974216,514313784,92474,279642112,16758272,262883840,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.03791104E8,1.6758272E7,0.0,1.6758272E7,85757.0,92379,92423,44,-996824,-524288,16310152,17306976,23920640,24444928,17432576,17432576,23920640,24444928,886232,0,16758272,15872040,279642112,279642112,279642112,279642112,279642112,279642112,-90898432,1310720,0,90898432,92209152,90898432,104923136,104923136,92209152,91422720
109570,524288000,9976184,514311816,109569,279642112,19165888,260476224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.96000256E8,1.9165888E7,0.0,1.9165888E7,102899.0,109485,109565,80,-2553976,-262144,13756176,16310152,23658496,23920640,17432576,17432576,23658496,23920640,2407616,0,19165888,16758272,279642112,279642112,279642112,279642112,279642112,279642112,-92209152,0,0,92209152,92209152,92209152,104923136,104923136,92274688,92209152
126078,524288000,9977384,514310616,125999,279642112,19174080,260468032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.88209408E8,1.917408E7,0.0,1.917408E7,119398.0,126016,126064,48,-32768,196608,13723408,13756176,23855104,23658496,17432576,17432576,23855104,23658496,8192,0,19174080,19165888,279642112,279642112,279642112,279642112,279642112,279642112,-92209152,-262144,0,92209152,91947008,92209152,104923136,104923136,92012544,92274688
