perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
7546,524288000,8932208,515355792,7474,559284224,1400976,557883248,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,7386,7411,25,-999472,-983040,1458224,2457696,1507328,2490368,34930688,34930688,1507328,2490368,1228944,0,1400976,172032,559284224,559284224,559284224,559284224,559284224,559284224,-274333696,0,0,274333696,274333696,274333696,209715200,209715200,275251200,274464768
7876,524288000,9082656,515205344,7869,559284224,1400976,557883248,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.74333696E8,1450128.0,0.0,1450128.0,558.0,7942,7969,27,16368,1310720,1474592,1458224,2818048,1507328,34930688,34930688,2818048,1507328,49152,0,1450128,1400976,559284224,559284224,559284224,559284224,559284224,559284224,-274333696,-524288,0,274333696,273809408,274333696,209715200,209715200,273874944,275251200
8193,524288000,9086648,515201352,8186,559284224,1450128,557834096,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.48143104E8,1704176.0,0.0,1704176.0,805.0,8211,8216,5,-212880,-1507328,1261712,1474592,1310720,2818048,34930688,34930688,1310720,2818048,254048,0,1704176,1450128,559284224,559284224,559284224,559284224,559284224,559284224,-273809408,0,0,273809408,273809408,273809408,209715200,209715200,275316736,273874944
8793,524288000,9101032,515186968,8789,559284224,2294112,556990112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.21559296E8,2949824.0,589936.0,2359888.0,1444.0,8850,8855,5,-426080,-2359296,524320,950400,589824,2949120,34930688,34930688,589824,2949120,655712,0,2949824,2294112,559284224,559284224,559284224,559284224,559284224,559284224,-273416192,0,0,273416192,273416192,273416192,209715200,209715200,275775488,273547264
9054,524288000,9106784,515181216,9050,559284224,3359664,555924560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.094975488E9,3359664.0,589936.0,2769728.0,1625.0,9026,9036,10,32832,2621440,557152,524320,3211264,589824,34930688,34930688,3211264,589824,409840,0,3359664,2949824,559284224,559284224,559284224,559284224,559284224,559284224,-273416192,-393216,0,273416192,273022976,273416192,209715200,209715200,273088512,275775488
9270,524288000,9112368,515175632,9266,559284224,3724400,555559824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.367966944E9,4199824.0,954672.0,3245152.0,1901.0,9308,9312,4,-163856,0,557088,720944,3276800,3276800,34930688,34930688,3276800,3276800,475424,0,4199824,3724400,559284224,559284224,559284224,559284224,559284224,559284224,-272991456,0,0,272991456,273022976,273022976,209715200,209715200,273022976,273022976
9466,524288000,9120128,515167872,9462,559284224,4617888,554666336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.64098992E9,4617888.0,954672.0,3663216.0,2015.0,9422,9426,4,-65536,0,491552,557088,3276800,3276800,34930688,34930688,3276800,3276800,418064,0,4617888,4199824,559284224,559284224,559284224,559284224,559284224,559284224,-273022976,0,0,273022976,273022976,273022976,209715200,209715200,273022976,273022976
9636,524288000,9142848,515145152,9630,559284224,4970352,554313872,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.914078432E9,5515488.0,1307136.0,4208352.0,2265.0,9673,9676,3,-229440,-65536,409616,639056,3211264,3276800,34930688,34930688,3211264,3276800,545136,0,5515488,4970352,559284224,559284224,559284224,559284224,559284224,559284224,-273088512,0,0,273088512,273088512,273088512,209715200,209715200,273154048,273088512
9815,524288000,9144256,515143744,9812,559284224,5810560,553473664,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.187166944E9,5810560.0,1307136.0,4503424.0,2389.0,9797,9800,3,98304,0,507920,409616,3211264,3211264,34930688,34930688,3211264,3211264,295072,0,5810560,5515488,559284224,559284224,559284224,559284224,559284224,559284224,-273088512,131072,0,273088512,273219584,273088512,209715200,209715200,273219584,273154048
10039,524288000,9147232,515140768,10031,559284224,6232704,553051520,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.460386528E9,6769648.0,1729280.0,5040368.0,2695.0,10102,10106,4,-229392,-131072,426032,655424,3014656,3145728,34930688,34930688,3014656,3145728,536944,0,6769648,6232704,559284224,559284224,559284224,559284224,559284224,559284224,-273219584,393216,0,273219584,273612800,273219584,209715200,209715200,273612800,273416192
10287,524288000,9148480,515139520,10284,559284224,7072944,552211280,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.733968608E9,7072944.0,1729280.0,5343664.0,2863.0,10270,10274,4,344064,-65536,770096,426032,2949120,3014656,34930688,34930688,2949120,3014656,303296,0,7072944,6769648,559284224,559284224,559284224,559284224,559284224,559284224,-273582080,0,0,273582080,273612800,273612800,209715200,209715200,273809408,273612800
10446,524288000,9150448,515137552,10441,559284224,7667280,551616944,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.007581408E9,7667280.0,1729280.0,5938000.0,3023.0,10430,10434,4,-344064,-131072,426032,770096,2818048,2949120,34930688,34930688,2818048,2949120,594336,0,7667280,7072944,559284224,559284224,559284224,559284224,559284224,559284224,-273612800,458752,0,273612800,274071552,273612800,209715200,209715200,274071552,273809408
10647,524288000,9150880,515137120,10642,559284224,7982848,551301376,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.28165296E9,7982848.0,1729280.0,6253568.0,3194.0,10591,10605,14,229408,-131072,655440,426032,2686976,2818048,34930688,34930688,2686976,2818048,315568,0,7982848,7667280,559284224,559284224,559284224,559284224,559284224,559284224,-274071552,0,0,274071552,274071552,274071552,209715200,209715200,274268160,274071552
10861,524288000,9154080,515133920,10856,559284224,8503376,550780848,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.555724512E9,8503376.0,1729280.0,6774096.0,3408.0,10814,10819,5,-114736,-65536,540704,655440,2621440,2686976,34930688,34930688,2621440,2686976,520528,0,8503376,7982848,559284224,559284224,559284224,559284224,559284224,559284224,-274071552,393216,0,274071552,274464768,274071552,209715200,209715200,274464768,274268160
