perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
9418,524288000,11236560,513051440,9302,279642112,16384,279625728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,9658,9689,31,196608,0,7635120,7438512,17432576,17432576,17432576,17432576,17432576,17432576,0,0,16384,16384,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
10330,524288000,11392624,512895376,10322,279642112,16384,279625728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,10424,10495,71,-169200,0,7465920,7635120,17432576,17432576,17432576,17432576,17432576,17432576,0,0,16384,16384,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
11094,524288000,11406976,512881024,11067,279642112,16384,279625728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.04923136E8,24576.0,0.0,24576.0,785.0,11202,11280,78,49168,0,7515088,7465920,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,24576,16384,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,114688000,104923136
11942,524288000,11448656,512839344,11935,279642112,24576,279617536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.09846272E8,24576.0,0.0,24576.0,1434.0,11879,11929,50,-41112,-9764864,7473976,7515088,7667712,17432576,17432576,17432576,7667712,17432576,0,0,24576,24576,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,19529728,0,104923136,124452864,104923136,104923136,104923136,124452864,114688000
12927,524288000,11477048,512810952,12924,279642112,4941808,274700304,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.34299136E8,4941808.0,0.0,4941808.0,2428.0,12891,12923,32,-4767936,-4915200,2706040,7473976,2752512,7667712,17432576,17432576,2752512,7667712,4917232,0,4941808,24576,279642112,279642112,279642112,279642112,279642112,279642112,-124452864,0,0,124452864,124452864,124452864,104923136,104923136,128385024,124452864
14279,524288000,11487904,512800096,14274,279642112,5105648,274536464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.58752E8,5105648.0,0.0,5105648.0,3759.0,14227,14254,27,-284192,5898240,2421848,2706040,8650752,2752512,17432576,17432576,8650752,2752512,163840,0,5105648,4941808,279642112,279642112,279642112,279642112,279642112,279642112,-124452864,-3276800,0,124452864,121176064,124452864,104923136,104923136,121831424,128385024
15523,524288000,11494032,512793968,15519,279642112,5122032,274520080,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.79928064E8,5122032.0,0.0,5122032.0,5016.0,15468,15511,43,191248,-6029312,2613096,2421848,2621440,8650752,17432576,17432576,2621440,8650752,16384,0,5122032,5105648,279642112,279642112,279642112,279642112,279642112,279642112,-121176064,0,0,121176064,121176064,121176064,104923136,104923136,127533056,121831424
16762,524288000,11498496,512789504,16744,279642112,5795056,273847056,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7.01104128E8,5795056.0,0.0,5795056.0,6234.0,16656,16729,73,-786432,7012352,1826664,2613096,9633792,2621440,17432576,17432576,9633792,2621440,673024,0,5795056,5122032,279642112,279642112,279642112,279642112,279642112,279642112,-121176064,-1310720,0,121176064,119865344,121176064,104923136,104923136,120193024,127533056
17756,524288000,11500416,512787584,17752,279642112,6285176,273356936,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.20969472E8,6285176.0,0.0,6285176.0,7240.0,17662,17735,73,477816,-7274496,2304480,1826664,2359296,9633792,17432576,17432576,2359296,9633792,490120,0,6285176,5795056,279642112,279642112,279642112,279642112,279642112,279642112,-119865344,0,0,119865344,119865344,119865344,104923136,104923136,127336448,120193024
18758,524288000,11502016,512785984,18754,279642112,6408056,273234056,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9.40834816E8,6408056.0,0.0,6408056.0,8204.0,18656,18699,43,98304,7733248,2402784,2304480,10092544,2359296,17432576,17432576,10092544,2359296,122880,0,6408056,6285176,279642112,279642112,279642112,279642112,279642112,279642112,-119865344,-196608,0,119865344,119668736,119865344,104923136,104923136,119668736,127336448
