perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
132590,524288000,27606880,496681120,132495,1118502912,8192,1118494720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,131939,132357,418,12272192,0,12272192,0,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,8192,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
150961,524288000,29579072,494708928,150958,1118502912,16384,1118486528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.19495936E8,16384.0,0.0,16384.0,18479.0,150631,150836,205,-303352,0,11968840,12272192,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,16384,8192,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
221036,524288000,36228232,488059768,221035,1118502912,16384,1118486528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.38991872E8,24576.0,0.0,24576.0,89010.0,221039,221367,328,5791568,0,17760408,11968840,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,24576,16384,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
278073,524288000,54812824,469475176,278072,1118502912,98320,1118404592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.258487808E9,98320.0,0.0,98320.0,145702.0,276630,278059,1429,10094680,0,27855088,17760408,69861376,69861376,69861376,69861376,69861376,69861376,73744,0,98320,24576,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
314696,524288000,62121072,462166928,314695,1118502912,98320,1118404592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.677983744E9,106512.0,0.0,106512.0,182872.0,314710,315229,519,13539536,0,41394624,27855088,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,106512,98320,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,447021056,419495936
332865,524288000,62225640,462062360,332863,1118502912,106512,1118396400,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.09747968E9,1253400.0,0.0,1253400.0,200908.0,332874,333265,391,937240,-27525120,42331864,41394624,42336256,69861376,69861376,69861376,42336256,69861376,1146888,0,1253400,106512,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,37486592,0,419495936,456982528,419495936,419495936,419495936,465764352,447021056
348156,524288000,62231928,462056072,348154,1118502912,12169208,1106333704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.554462208E9,1.2169208E7,0.0,1.2169208E7,215761.0,344416,348118,3702,-7421248,-7405568,34910616,42331864,34930688,42336256,69861376,69861376,34930688,42336256,10915808,0,12169208,1253400,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-456982528,0,0,456982528,456982528,456982528,419495936,419495936,472121344,465764352
363384,524288000,62233696,462054304,363375,1118502912,25977456,1092525456,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.011444736E9,2.5977456E7,0.0,2.5977456E7,230996.0,356808,363353,6545,-10499952,17235968,24410664,34910616,52166656,34930688,69861376,69861376,52166656,34930688,13808248,0,25977456,12169208,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-456982528,393216,0,456982528,457375744,456982528,419495936,419495936,457375744,472121344
369736,524288000,62234472,462053528,369735,1118502912,43629528,1074873384,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.46882048E9,4.3629528E7,0.0,4.3629528E7,237375.0,369502,369732,230,-14350856,-2490368,10059808,24410664,49676288,52166656,69861376,69861376,49676288,52166656,17652072,0,43629528,25977456,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-457375744,0,0,457375744,457375744,457375744,419495936,419495936,459341824,457375744
376107,524288000,62239736,462048264,376101,1118502912,50363384,1068139528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.926196224E9,5.0363384E7,0.0,5.0363384E7,243742.0,375923,376099,176,-3538976,524288,6520832,10059808,50200576,49676288,69861376,69861376,50200576,49676288,6733856,0,50363384,43629528,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-457375744,393216,0,457375744,457768960,457375744,419495936,419495936,458293248,459341824
