perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
18712,524288000,9396720,514891280,18707,69926912,8192,69918720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,18609,18651,42,1995768,0,1995768,0,4325376,4325376,4325376,4325376,4325376,4325376,8192,0,8192,0,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
24287,524288000,12748104,511539896,24282,69926912,16384,69910528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.6279936E7,16384.0,0.0,16384.0,5524.0,24074,24175,101,1091288,0,3087056,1995768,4325376,4325376,4325376,4325376,4325376,4325376,8192,0,16384,8192,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
30646,524288000,17389824,506898176,30628,69926912,24576,69902336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2559872E7,24576.0,0.0,24576.0,11975.0,30531,30626,95,992656,0,4079712,3087056,4325376,4325376,4325376,4325376,4325376,4325376,8192,0,24576,16384,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
34919,524288000,19294520,504993480,34917,69926912,24576,69902336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.8839808E7,570096.0,0.0,570096.0,16378.0,34936,35029,93,241336,0,4321048,4079712,4325376,4325376,4325376,4325376,4325376,4325376,545520,0,570096,24576,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
37290,524288000,21310744,502977256,37289,69926912,902856,69024056,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.05119744E8,902856.0,0.0,902856.0,18623.0,37224,37274,50,-23232,0,4297816,4321048,4325376,4325376,4325376,4325376,4325376,4325376,332760,0,902856,570096,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,0,0,26279936,26279936,26279936,26279936,26279936,26279936,26279936
42270,524288000,22699048,501588952,42266,69926912,2198848,67728064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.3139968E8,2198848.0,0.0,2198848.0,23510.0,42083,42161,78,22760,0,4320576,4297816,4325376,4325376,4325376,4325376,4325376,4325376,1295992,0,2198848,902856,69926912,69926912,69926912,69926912,69926912,69926912,-26279936,-4849664,0,26279936,21430272,26279936,26279936,26279936,23855104,26279936
45753,524288000,23420552,500867448,45751,69926912,2198848,67728064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.52829952E8,4173824.0,0.0,4173824.0,27152.0,45753,45803,50,-437272,2424832,3883304,4320576,6750208,4325376,4325376,4325376,6750208,4325376,1974976,0,4173824,2198848,69926912,69926912,69926912,69926912,69926912,69926912,-21430272,0,0,21430272,21430272,21430272,26279936,26279936,21757952,23855104
48888,524288000,25024792,499263208,48879,69926912,5022840,64904072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.74260224E8,5022840.0,0.0,5022840.0,30206.0,48829,48857,28,-72216,-327680,3811088,3883304,6422528,6750208,4325376,4325376,6422528,6750208,849016,0,5022840,4173824,69926912,69926912,69926912,69926912,69926912,69926912,-21430272,917504,0,21430272,22347776,21430272,26279936,26279936,22347776,21757952
51684,524288000,27574424,496713576,51680,69926912,6471608,63455304,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.96608E8,6471608.0,0.0,6471608.0,33020.0,51585,51671,86,-299144,-262144,3511944,3811088,6160384,6422528,4325376,4325376,6160384,6422528,1448768,0,6471608,5022840,69926912,69926912,69926912,69926912,69926912,69926912,-22347776,0,0,22347776,22347776,22347776,26279936,26279936,22740992,22347776
69042,524288000,27635432,496652568,69040,69926912,8698280,61228632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.18955776E8,8698280.0,0.0,8698280.0,50284.0,68905,68935,30,-1838416,-131072,1673528,3511944,6029312,6160384,4325376,4325376,6029312,6160384,2226672,0,8698280,6471608,69926912,69926912,69926912,69926912,69926912,69926912,-22347776,131072,0,22347776,22478848,22347776,26279936,26279936,22675456,22740992
