perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
7073,524288000,12271608,512016392,7037,279642112,8192,279633920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,5167,5246,79,4457152,0,4457152,0,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,8192,0,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
7693,524288000,12439504,511848496,7686,279642112,16384,279625728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.04923136E8,16384.0,0.0,16384.0,2379.0,7578,7625,47,98192,0,4555344,4457152,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,16384,8192,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
9849,524288000,12535256,511752744,9844,279642112,24576,279617536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.09846272E8,24576.0,0.0,24576.0,4445.0,9615,9691,76,393200,0,4948544,4555344,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,24576,16384,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
11328,524288000,12579040,511708960,11321,279642112,32768,279609344,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.14769408E8,32768.0,0.0,32768.0,6056.0,11268,11302,34,-311360,0,4637184,4948544,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,32768,24576,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
13086,524288000,12617720,511670280,13082,279642112,40960,279601152,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.19692544E8,40960.0,0.0,40960.0,7700.0,12900,12946,46,360624,0,4997808,4637184,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,40960,32768,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,117243904,104923136
14302,524288000,12638560,511649440,14296,279642112,49152,279592960,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.2461568E8,49152.0,0.0,49152.0,9043.0,14223,14289,66,32752,-12320768,5030560,4997808,5111808,17432576,17432576,17432576,5111808,17432576,8192,0,49152,40960,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,24379392,0,104923136,129302528,104923136,104923136,104923136,129433600,117243904
15839,524288000,12662344,511625656,15835,279642112,3195920,276446192,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.53918208E8,3195920.0,0.0,3195920.0,10587.0,15787,15833,46,-3178576,-3211264,1851984,5030560,1900544,5111808,17432576,17432576,1900544,5111808,3146768,0,3195920,49152,279642112,279642112,279642112,279642112,279642112,279642112,-129302528,0,0,129302528,129302528,129302528,104923136,104923136,132055040,129433600
17265,524288000,12692976,511595024,17260,279642112,3228688,276413424,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.83220736E8,3228688.0,0.0,3228688.0,11955.0,17195,17201,6,32848,3932160,1884832,1851984,5832704,1900544,17432576,17432576,5832704,1900544,32768,0,3228688,3195920,279642112,279642112,279642112,279642112,279642112,279642112,-129302528,-1835008,0,129302528,127467520,129302528,104923136,104923136,127795200,132055040
18696,524288000,12740600,511547400,18692,279642112,3245072,276397040,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.10688256E8,3245072.0,0.0,3245072.0,13324.0,18566,18570,4,-589968,-4521984,1294864,1884832,1310720,5832704,17432576,17432576,1310720,5832704,16384,0,3245072,3228688,279642112,279642112,279642112,279642112,279642112,279642112,-127467520,0,0,127467520,127467520,127467520,104923136,104923136,132055040,127795200
19860,524288000,12759168,511528832,19856,279642112,3261456,276380656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.038155776E9,3261456.0,0.0,3261456.0,14550.0,19790,19796,6,508032,5111808,1802896,1294864,6422528,1310720,17432576,17432576,6422528,1310720,16384,0,3261456,3245072,279642112,279642112,279642112,279642112,279642112,279642112,-127467520,-655360,0,127467520,126812160,127467520,104923136,104923136,126877696,132055040
