perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
6494,524288000,12304224,511983776,6444,279642112,2734432,276907680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,5909,5938,29,2734432,0,2734432,0,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-2651096,0,1778128,4429224,13959168,13959168,13959168,13959168,13959168,13959168
7669,524288000,12505608,511782392,7658,279642112,2830192,276811920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.11869952E8,2830192.0,0.0,2830192.0,1517.0,7432,7455,23,95760,0,2830192,2734432,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,128552,0,1906680,1778128,13959168,13959168,13959168,13959168,13959168,13959168
8780,524288000,12580488,511707512,8774,279642112,3139360,276502752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.23739904E8,3139360.0,0.0,3139360.0,2715.0,8637,8653,16,309168,0,3139360,2830192,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-33616,0,1873064,1906680,13959168,13959168,13959168,13959168,13959168,13959168
9666,524288000,12615328,511672672,9663,279642112,3152448,276489664,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.35608136E8,3152448.0,0.0,3152448.0,3659.0,9589,9597,8,13088,0,3152448,3139360,279642112,279642112,279642112,279642112,279642112,279642112,-111868232,0,0,111868232,111869952,111869952,111869952,111869952,111869952,111869952,-470096,0,1402968,1873064,13959168,13959168,13959168,13959168,13959168,13959168
10545,524288000,12649816,511638184,10519,279642112,3156672,276485440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.47478088E8,3156672.0,0.0,3156672.0,4442.0,10377,10380,3,4224,0,3156672,3152448,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,334752,0,1737720,1402968,13959168,13959168,13959168,13959168,13959168,13959168
11049,524288000,12670296,511617704,11038,279642112,3162944,276479168,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.5934804E8,3162944.0,0.0,3162944.0,5083.0,11014,11021,7,6272,0,3162944,3156672,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,66680,0,1804400,1737720,13959168,13959168,13959168,13959168,13959168,13959168
11858,524288000,12683744,511604256,11855,279642112,3170128,276471984,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.71217992E8,3170128.0,0.0,3170128.0,5827.0,11761,11765,4,7184,0,3170128,3162944,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-437192,0,1367208,1804400,13959168,13959168,13959168,13959168,13959168,13959168
12443,524288000,12746272,511541728,12440,279642112,3170128,276471984,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.83087944E8,3172600.0,0.0,3172600.0,6539.0,12473,12477,4,2472,0,3172600,3170128,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,197496,0,1564704,1367208,13959168,13959168,13959168,13959168,13959168,13959168
13514,524288000,12752904,511535096,13510,279642112,3175368,276466744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.94957896E8,3175368.0,0.0,3175368.0,7524.0,13459,13462,3,2768,0,3175368,3172600,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,267920,0,1832624,1564704,13959168,13959168,13959168,13959168,13959168,13959168
14520,524288000,12762312,511525688,14515,279642112,3175368,276466744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.006827848E9,3186256.0,0.0,3186256.0,8595.0,14529,14533,4,10888,0,3186256,3175368,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-30808,0,1801816,1832624,13959168,13959168,13959168,13959168,13959168,13959168
