perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6642,209715200,11407248,198307952,6622,69926912,15727784,54199128,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,6254,6385,131,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,10783488,0,15727784,4944296,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
7906,209715200,11700192,198015008,7903,69926912,26956120,42970792,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.7983872E7,2.695612E7,0.0,2.695612E7,1514.0,7790,7899,109,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,11228336,0,26956120,15727784,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
9111,209715200,11800208,197914992,9109,69926912,26956120,42970792,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.5967744E7,3.3339848E7,0.0,3.3339848E7,2811.0,9135,9196,61,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6383728,0,33339848,26956120,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
11144,209715200,11980392,197734808,11128,69926912,42226944,27699968,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.3951616E7,4.2226944E7,0.0,4.2226944E7,4742.0,11024,11127,103,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,8887096,0,42226944,33339848,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
15378,209715200,12311568,197403632,15375,69926912,48544992,21381920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.11935488E8,4.8544992E7,0.0,4.8544992E7,8960.0,15262,15345,83,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6318048,0,48544992,42226944,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
16774,209715200,12377624,197337576,16771,69926912,44860880,25066032,1,5.0,11129,16738,5609,4769904,0,5360208,590304,27983872,27983872,27983872,27983872,27983872,27983872,2633936,0,44860880,42226944,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,9,1.11935488E8,4.8544992E7,0.0,4.8544992E7,8960.0,15262,15345,83,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6318048,0,48544992,42226944,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
22037,209715200,12524120,197191080,22035,69926912,47316688,22610224,1,5.0,11129,16738,5609,4769904,0,5360208,590304,27983872,27983872,27983872,27983872,27983872,27983872,2633936,0,44860880,42226944,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,10,1.3991936E8,5.10008E7,0.0,5.10008E7,15649.0,21989,22034,45,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2455808,0,47316688,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408
23280,209715200,12551560,197163640,23278,69926912,45371808,24555104,2,1.0,17606,23245,5639,-2503432,0,6859976,9363408,27983872,27983872,27983872,27983872,27983872,27983872,510928,0,45371808,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408,10,1.3991936E8,5.10008E7,0.0,5.10008E7,15649.0,21989,22034,45,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2455808,0,47316688,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408
26266,209715200,12631368,197083832,26263,69926912,46668952,23257960,2,1.0,17606,23245,5639,-2503432,0,6859976,9363408,27983872,27983872,27983872,27983872,27983872,27983872,510928,0,45371808,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408,11,1.67903232E8,5.2297944E7,0.0,5.2297944E7,19774.0,26112,26159,47,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1297144,0,46668952,45371808,69926912,69926912,69926912,69926912,69926912,69926912,-397632,0,2674496,3072128,3473408,3473408,3473408,3473408,3473408,3473408
29351,209715200,12659360,197055840,29350,69926912,49232096,20694816,2,1.0,17606,23245,5639,-2503432,0,6859976,9363408,27983872,27983872,27983872,27983872,27983872,27983872,510928,0,45371808,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408,12,1.95887104E8,5.4861088E7,0.0,5.4861088E7,22964.0,29323,29349,26,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2563144,0,49232096,46668952,69926912,69926912,69926912,69926912,69926912,69926912,798912,0,3473408,2674496,3473408,3473408,3473408,3473408,3473408,3473408
