perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7714,209715200,8956544,200758656,7641,69926912,47427952,22498960,1,NA,2936,6507,3571,-6671320,0,561832,7233152,27983872,27983872,27983872,27983872,27983872,27983872,9500584,0,47427952,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1680680,0,1640360,3321040,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,6345,6483,138,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1680680,0,1640360,3321040,3473408,3473408,3473408,3473408,3473408,3473408
10177,209715200,9178536,200536664,10173,69926912,47424000,22502912,2,1.0,6801,10077,3276,16693040,0,21079448,4386408,27983872,27983872,27983872,27983872,27983872,27983872,-3952,0,47424000,47427952,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1640360,1640360,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,6345,6483,138,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1680680,0,1640360,3321040,3473408,3473408,3473408,3473408,3473408,3473408
10863,209715200,9184280,200530920,10860,69926912,47423952,22502960,3,0.0,10726,10828,102,140016,0,27739224,27599208,27983872,27983872,27983872,27983872,27983872,27983872,-48,0,47423952,47424000,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1640360,1640360,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,6345,6483,138,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1680680,0,1640360,3321040,3473408,3473408,3473408,3473408,3473408,3473408
11160,209715200,9181800,200533400,11158,69926912,49121408,20805504,4,0.0,10934,11156,222,-27879248,0,0,27879248,27983872,27983872,27983872,27983872,27983872,27983872,1697456,0,49121408,47423952,69926912,69926912,69926912,69926912,69926912,69926912,-1640360,0,0,1640360,3473408,3473408,3473408,3473408,3473408,3473408,4,NA,NA,NA,NA,NA,10934,10934,0,0,0,27879248,27879248,27983872,27983872,27983872,27983872,27983872,27983872,0,0,47423952,47423952,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1640360,1640360,3473408,3473408,3473408,3473408,3473408,3473408
11357,209715200,9185400,200529800,11355,69926912,49121408,20805504,5,1.0,11169,11234,65,392616,0,1059944,667328,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49121408,49121408,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,4,NA,NA,NA,NA,NA,10934,10934,0,0,0,27879248,27879248,27983872,27983872,27983872,27983872,27983872,27983872,0,0,47423952,47423952,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1640360,1640360,3473408,3473408,3473408,3473408,3473408,3473408
15895,209715200,9204968,200510232,15871,69926912,49121408,20805504,5,1.0,11169,11234,65,392616,0,1059944,667328,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49121408,49121408,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,5,NA,NA,NA,NA,NA,15829,15869,40,-27938696,0,0,27938696,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49121408,49121408,69926912,69926912,69926912,69926912,69926912,69926912,1012992,0,1151016,138024,3473408,3473408,3473408,3473408,3473408,3473408
17424,209715200,9212512,200502688,17422,69926912,47878400,22048512,6,1.0,12298,17398,5100,3329208,0,11669544,8340336,27983872,27983872,27983872,27983872,27983872,27983872,-1243008,0,47878400,49121408,69926912,69926912,69926912,69926912,69926912,69926912,1151016,0,1151016,0,3473408,3473408,3473408,3473408,3473408,3473408,5,NA,NA,NA,NA,NA,15829,15869,40,-27938696,0,0,27938696,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49121408,49121408,69926912,69926912,69926912,69926912,69926912,69926912,1012992,0,1151016,138024,3473408,3473408,3473408,3473408,3473408,3473408
20070,209715200,9218456,200496744,20069,69926912,47878400,22048512,6,1.0,12298,17398,5100,3329208,0,11669544,8340336,27983872,27983872,27983872,27983872,27983872,27983872,-1243008,0,47878400,49121408,69926912,69926912,69926912,69926912,69926912,69926912,1151016,0,1151016,0,3473408,3473408,3473408,3473408,3473408,3473408,6,2.78666E7,4.800964E7,0.0,4.800964E7,4215.0,20079,20084,5,-27866600,0,0,27866600,27983872,27983872,27983872,27983872,27983872,27983872,131240,0,48009640,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408
22405,209715200,9226456,200488744,22402,69926912,47893416,22033496,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,6,2.78666E7,4.800964E7,0.0,4.800964E7,4215.0,20079,20084,5,-27866600,0,0,27866600,27983872,27983872,27983872,27983872,27983872,27983872,131240,0,48009640,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408
24288,209715200,9235128,200480072,24286,69926912,47894912,22032000,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,7,5.5770616E7,4.8011136E7,0.0,4.8011136E7,8360.0,24225,24229,4,-27904016,0,0,27904016,27983872,27983872,27983872,27983872,27983872,27983872,1496,0,47894912,47893416,69926912,69926912,69926912,69926912,69926912,69926912,-299464,0,1231608,1531072,3473408,3473408,3473408,3473408,3473408,3473408
27527,209715200,9245816,200469384,27525,69926912,47894912,22032000,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,8,8.3754488E7,4.8128032E7,0.0,4.8128032E7,11693.0,27557,27562,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,116896,0,48011808,47894912,69926912,69926912,69926912,69926912,69926912,69926912,239808,0,1471416,1231608,3473408,3473408,3473408,3473408,3473408,3473408
31536,209715200,9249504,200465696,31534,69926912,48011808,21915104,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,9,1.11530312E8,4.8128032E7,0.0,4.8128032E7,15660.0,31517,31529,12,-27775824,0,0,27775824,27983872,27983872,27983872,27983872,27983872,27983872,0,0,48011808,48011808,69926912,69926912,69926912,69926912,69926912,69926912,-169784,0,1301632,1471416,3473408,3473408,3473408,3473408,3473408,3473408
34702,209715200,9261880,200453320,34700,69926912,48072304,21854608,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,10,1.39412432E8,4.8188528E7,0.0,4.8188528E7,18784.0,34641,34653,12,-27882120,0,0,27882120,27983872,27983872,27983872,27983872,27983872,27983872,60496,0,48072304,48011808,69926912,69926912,69926912,69926912,69926912,69926912,2048,0,1303680,1301632,3473408,3473408,3473408,3473408,3473408,3473408
38872,209715200,9268360,200446840,38870,69926912,48130816,21796096,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,11,1.67302032E8,4.824704E7,0.0,4.824704E7,22991.0,38857,38860,3,-27889600,0,0,27889600,27983872,27983872,27983872,27983872,27983872,27983872,58512,0,48130816,48072304,69926912,69926912,69926912,69926912,69926912,69926912,-155184,0,1148496,1303680,3473408,3473408,3473408,3473408,3473408,3473408
43683,209715200,9271424,200443776,43682,69926912,48162984,21763928,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,12,1.95216784E8,4.8279208E7,0.0,4.8279208E7,27752.0,43594,43621,27,-27914752,0,0,27914752,27983872,27983872,27983872,27983872,27983872,27983872,32168,0,48162984,48130816,69926912,69926912,69926912,69926912,69926912,69926912,-16504,0,1131992,1148496,3473408,3473408,3473408,3473408,3473408,3473408
48338,209715200,9273080,200442120,48336,69926912,48252504,21674408,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,13,2.23127032E8,4.8368728E7,0.0,4.8368728E7,32431.0,48296,48300,4,-27910248,0,0,27910248,27983872,27983872,27983872,27983872,27983872,27983872,89520,0,48252504,48162984,69926912,69926912,69926912,69926912,69926912,69926912,218584,0,1350576,1131992,3473408,3473408,3473408,3473408,3473408,3473408
53141,209715200,9274160,200441040,53090,69926912,48252504,21674408,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,14,2.51110904E8,4.8400776E7,0.0,4.8400776E7,37271.0,53129,53140,11,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,32048,0,48284552,48252504,69926912,69926912,69926912,69926912,69926912,69926912,167784,0,1518360,1350576,3473408,3473408,3473408,3473408,3473408,3473408
