perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
18824,209715200,9048808,200666392,18777,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,18788,18822,34,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,48988960,0,48988960,0,55902208,55902208,55902208,55902208,55902208,55902208
86179,209715200,9384504,200330696,86178,1118502912,48034144,1070468768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4729328E8,4.8034144E7,0.0,4.8034144E7,67354.0,85935,86176,241,-447293280,0,0,447293280,447414272,447414272,447414272,447414272,447414272,447414272,48034144,0,48034144,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-45849240,0,3139720,48988960,55902208,55902208,55902208,55902208,55902208,55902208
151725,209715200,9390048,200325152,151717,1118502912,48147464,1070355448,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94707552E8,4.8147464E7,0.0,4.8147464E7,132889.0,151651,151711,60,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,113320,0,48147464,48034144,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1273968,0,1865752,3139720,55902208,55902208,55902208,55902208,55902208,55902208
220119,209715200,9402160,200313040,220116,1118502912,48155168,1070347744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342121824E9,4.8155168E7,0.0,4.8155168E7,201241.0,220031,220063,32,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,7704,0,48155168,48147464,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-608024,0,1257728,1865752,55902208,55902208,55902208,55902208,55902208,55902208
288548,209715200,9404688,200310512,288545,1118502912,48180912,1070322000,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.78938148E9,4.8180912E7,0.0,4.8180912E7,269709.0,288499,288531,32,-447259656,0,0,447259656,447414272,447414272,447414272,447414272,447414272,447414272,25744,0,48180912,48155168,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-41952,0,1215776,1257728,55902208,55902208,55902208,55902208,55902208,55902208
355660,209715200,9408256,200306944,355659,1118502912,48183008,1070319904,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.236714528E9,4.8183008E7,0.0,4.8183008E7,336827.0,355615,355649,34,-447333048,0,0,447333048,447414272,447414272,447414272,447414272,447414272,447414272,2096,0,48183008,48180912,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,12168,0,1227944,1215776,55902208,55902208,55902208,55902208,55902208,55902208
421943,209715200,9410776,200304424,421941,1118502912,48183008,1070319904,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.6841288E9,4.8188384E7,0.0,4.8188384E7,403189.0,421961,422011,50,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,5376,0,48188384,48183008,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,175824,0,1403768,1227944,55902208,55902208,55902208,55902208,55902208,55902208
491552,209715200,9412240,200302960,491551,1118502912,48190328,1070312584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131543072E9,4.8190328E7,0.0,4.8190328E7,472728.0,491519,491550,31,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,1944,0,48190328,48188384,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-650416,0,1029376,1679792,55902208,55902208,55902208,55902208,55902208,55902208
491658,209715200,9412240,200302960,491657,1118502912,49211128,1069291784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.133770664E9,4.9211128E7,0.0,4.9211128E7,472777.0,491556,491599,43,-2227592,0,0,2227592,447414272,447414272,447414272,447414272,447414272,447414272,1020800,0,49211128,48190328,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-891352,0,138024,1029376,55902208,55902208,55902208,55902208,55902208,55902208
554553,209715200,9412640,200302560,554553,1118502912,50310000,1068192912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.135781872E9,5.031E7,138024.0,5.0171976E7,535613.0,554403,554435,32,-2011208,0,0,2011208,447414272,447414272,447414272,447414272,447414272,447414272,960848,0,50310000,49349152,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1164584,0,215688,1380272,55902208,55902208,55902208,55902208,55902208,55902208
616498,209715200,9412640,200302560,616497,1118502912,50310144,1068192768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.583064928E9,5.0310144E7,138024.0,5.017212E7,597645.0,616435,616467,32,-447283056,0,0,447283056,447414272,447414272,447414272,447414272,447414272,447414272,144,0,50310144,50310000,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,1228616,0,1444304,215688,55902208,55902208,55902208,55902208,55902208,55902208
