perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7144,209715200,9205136,200510064,7128,559284224,5280696,554003528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,5852,5880,28,-223543184,0,0,223543184,223739904,223739904,223739904,223739904,223739904,223739904,732832,0,5280696,4547864,559284224,559284224,559284224,559284224,559284224,559284224,1050960,0,11939200,10888240,27918336,27918336,27918336,27918336,27918336,27918336
10654,209715200,9459520,200255680,10650,559284224,5280696,554003528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,10636,10648,12,-223191120,0,0,223191120,223739904,223739904,223739904,223739904,223739904,223739904,0,0,5280696,5280696,559284224,559284224,559284224,559284224,559284224,559284224,-545752,0,11393448,11939200,27918336,27918336,27918336,27918336,27918336,27918336
13633,209715200,9471128,200244072,13625,559284224,7905816,551378408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.23221104E8,7905816.0,0.0,7905816.0,2963.0,13580,13611,31,-223221104,0,0,223221104,223739904,223739904,223739904,223739904,223739904,223739904,2625120,0,7905816,5280696,559284224,559284224,559284224,559284224,559284224,559284224,624496,0,12017944,11393448,27918336,27918336,27918336,27918336,27918336,27918336
16427,209715200,9479360,200235840,16425,559284224,9403080,549881144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.46269216E8,9403080.0,0.0,9403080.0,5748.0,16373,16396,23,-223048112,0,0,223048112,223739904,223739904,223739904,223739904,223739904,223739904,1497264,0,9403080,7905816,559284224,559284224,559284224,559284224,559284224,559284224,-1703800,0,10314144,12017944,27918336,27918336,27918336,27918336,27918336,27918336
18268,209715200,9492184,200223016,18261,559284224,10893720,548390504,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.69881616E8,1.089372E7,0.0,1.089372E7,7591.0,18228,18239,11,-223612400,0,0,223612400,223739904,223739904,223739904,223739904,223739904,223739904,1490640,0,10893720,9403080,559284224,559284224,559284224,559284224,559284224,559284224,-16512,0,10297632,10314144,27918336,27918336,27918336,27918336,27918336,27918336
22683,209715200,9500552,200214648,22681,559284224,11685312,547598912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.93376528E8,1.1685312E7,0.0,1.1685312E7,12024.0,22632,22672,40,-223494912,0,0,223494912,223739904,223739904,223739904,223739904,223739904,223739904,791592,0,11685312,10893720,559284224,559284224,559284224,559284224,559284224,559284224,663008,0,10960640,10297632,27918336,27918336,27918336,27918336,27918336,27918336
27377,209715200,9516968,200198232,27353,559284224,11685312,547598912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.116419744E9,1.1685312E7,0.0,1.1685312E7,16704.0,27328,27352,24,-223043216,0,0,223043216,223739904,223739904,223739904,223739904,223739904,223739904,0,0,11685312,11685312,559284224,559284224,559284224,559284224,559284224,559284224,-1405592,0,9555048,10960640,27918336,27918336,27918336,27918336,27918336,27918336
30237,209715200,9527296,200187904,30235,559284224,12473560,546810664,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.339972112E9,1.247356E7,0.0,1.247356E7,19540.0,30174,30188,14,-223552368,0,0,223552368,223739904,223739904,223739904,223739904,223739904,223739904,788248,0,12473560,11685312,559284224,559284224,559284224,559284224,559284224,559284224,-61128,0,9493920,9555048,27918336,27918336,27918336,27918336,27918336,27918336
34842,209715200,9540936,200174264,34837,559284224,13203736,546080488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.563295072E9,1.3203736E7,0.0,1.3203736E7,24180.0,34810,34828,18,-223322960,0,0,223322960,223739904,223739904,223739904,223739904,223739904,223739904,730176,0,13203736,12473560,559284224,559284224,559284224,559284224,559284224,559284224,2221256,0,11715176,9493920,27918336,27918336,27918336,27918336,27918336,27918336
39681,209715200,9548632,200166568,39626,559284224,13203736,546080488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.78654992E9,1.3963504E7,0.0,1.3963504E7,29019.0,39652,39667,15,-223254848,0,0,223254848,223739904,223739904,223739904,223739904,223739904,223739904,759768,0,13963504,13203736,559284224,559284224,559284224,559284224,559284224,559284224,-1452288,0,10262888,11715176,27918336,27918336,27918336,27918336,27918336,27918336
45410,209715200,9552776,200162424,45409,559284224,14727648,544556576,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.010278824E9,1.4727648E7,0.0,1.4727648E7,34743.0,45354,45391,37,-223728904,0,0,223728904,223739904,223739904,223739904,223739904,223739904,223739904,764144,0,14727648,13963504,559284224,559284224,559284224,559284224,559284224,559284224,-6952,0,10255936,10262888,27918336,27918336,27918336,27918336,27918336,27918336
