perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
8207,209715200,16550472,193164728,8202,279642112,4717344,274924768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,8004,8200,196,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,4717344,0,4717344,0,279642112,279642112,279642112,279642112,279642112,279642112,13959160,0,13959160,0,13959168,13959168,13959168,13959168,13959168,13959168
17485,209715200,16951664,192763536,17482,279642112,19779544,259862568,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.11869952E8,1.9779544E7,0.0,1.9779544E7,9281.0,17321,17481,160,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,15062200,0,19779544,4717344,279642112,279642112,279642112,279642112,279642112,279642112,8,0,13959168,13959160,13959168,13959168,13959168,13959168,13959168,13959168
23129,209715200,16970408,192744792,23126,279642112,24833648,254808464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23739904E8,2.4833648E7,0.0,2.4833648E7,14925.0,23044,23125,81,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,5054104,0,24833648,19779544,279642112,279642112,279642112,279642112,279642112,279642112,-1899168,0,12060000,13959168,13959168,13959168,13959168,13959168,13959168,13959168
27813,209715200,16991296,192723904,27809,279642112,31483504,248158608,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.35609856E8,3.1483504E7,0.0,3.1483504E7,19608.0,27700,27808,108,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,6649856,0,31483504,24833648,279642112,279642112,279642112,279642112,279642112,279642112,-616568,0,11443432,12060000,13959168,13959168,13959168,13959168,13959168,13959168
33272,209715200,17007248,192707952,33269,279642112,38319984,241322128,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.47479808E8,3.8319984E7,0.0,3.8319984E7,25068.0,33148,33268,120,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,6836480,0,38319984,31483504,279642112,279642112,279642112,279642112,279642112,279642112,-1200552,0,10242880,11443432,13959168,13959168,13959168,13959168,13959168,13959168
38757,209715200,17020752,192694448,38754,279642112,45702400,233939712,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.5934976E8,4.57024E7,0.0,4.57024E7,30553.0,38605,38753,148,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,7382416,0,45702400,38319984,279642112,279642112,279642112,279642112,279642112,279642112,2709920,0,12952800,10242880,13959168,13959168,13959168,13959168,13959168,13959168
44679,209715200,17027344,192687856,44677,279642112,52861192,226780920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.71219712E8,5.2861192E7,0.0,5.2861192E7,36476.0,44473,44676,203,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,7158792,0,52861192,45702400,279642112,279642112,279642112,279642112,279642112,279642112,-897152,0,12055648,12952800,13959168,13959168,13959168,13959168,13959168,13959168
52193,209715200,17031720,192683480,52190,279642112,59724256,219917856,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.83089664E8,5.9724256E7,0.0,5.9724256E7,43989.0,52104,52189,85,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,6863064,0,59724256,52861192,279642112,279642112,279642112,279642112,279642112,279642112,511328,0,12566976,12055648,13959168,13959168,13959168,13959168,13959168,13959168
58605,209715200,17095272,192619928,58601,279642112,66964704,212677408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.94959616E8,6.6964704E7,0.0,6.6964704E7,50397.0,58461,58597,136,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,7240448,0,66964704,59724256,279642112,279642112,279642112,279642112,279642112,279642112,410880,0,12977856,12566976,13959168,13959168,13959168,13959168,13959168,13959168
65135,209715200,17107448,192607752,65133,279642112,74132600,205509512,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.006829568E9,7.41326E7,0.0,7.41326E7,56932.0,65040,65132,92,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,7167896,0,74132600,66964704,279642112,279642112,279642112,279642112,279642112,279642112,-10656,0,12967200,12977856,13959168,13959168,13959168,13959168,13959168,13959168
