perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6424,209715200,9183992,200531208,6403,69926912,4302960,65623952,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,6355,6359,4,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,108864,0,4302960,4194096,69926912,69926912,69926912,69926912,69926912,69926912,568760,0,1073448,504688,3473408,3473408,3473408,3473408,3473408,3473408
6992,209715200,9343768,200371432,6988,69926912,5180008,64746904,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.7983872E7,5180008.0,0.0,5180008.0,524.0,6878,6883,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,877048,0,5180008,4302960,69926912,69926912,69926912,69926912,69926912,69926912,-697968,0,375480,1073448,3473408,3473408,3473408,3473408,3473408,3473408
7490,209715200,9365888,200349312,7485,69926912,5294720,64632192,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.5964656E7,5294720.0,0.0,5294720.0,1068.0,7421,7427,6,-27980784,0,0,27980784,27983872,27983872,27983872,27983872,27983872,27983872,114712,0,5294720,5180008,69926912,69926912,69926912,69926912,69926912,69926912,280432,0,655912,375480,3473408,3473408,3473408,3473408,3473408,3473408
7981,209715200,9395120,200320080,7974,69926912,5686592,64240320,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8.39464E7,5686592.0,0.0,5686592.0,1540.0,7893,7899,6,-27981744,0,0,27981744,27983872,27983872,27983872,27983872,27983872,27983872,391872,0,5686592,5294720,69926912,69926912,69926912,69926912,69926912,69926912,-352328,0,303584,655912,3473408,3473408,3473408,3473408,3473408,3473408
8595,209715200,9402296,200312904,8591,69926912,5889416,64037496,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.11930272E8,5889416.0,0.0,5889416.0,2157.0,8511,8516,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,202824,0,5889416,5686592,69926912,69926912,69926912,69926912,69926912,69926912,-285000,0,18584,303584,3473408,3473408,3473408,3473408,3473408,3473408
9130,209715200,9409888,200305312,9125,69926912,5890808,64036104,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.39911E8,5890808.0,0.0,5890808.0,2664.0,9018,9023,5,-27980728,0,0,27980728,27983872,27983872,27983872,27983872,27983872,27983872,1392,0,5890808,5889416,69926912,69926912,69926912,69926912,69926912,69926912,180272,0,198856,18584,3473408,3473408,3473408,3473408,3473408,3473408
9596,209715200,9412248,200302952,9591,69926912,5893544,64033368,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.67892112E8,5893544.0,0.0,5893544.0,3230.0,9585,9589,4,-27981112,0,0,27981112,27983872,27983872,27983872,27983872,27983872,27983872,2736,0,5893544,5890808,69926912,69926912,69926912,69926912,69926912,69926912,6568,0,205424,198856,3473408,3473408,3473408,3473408,3473408,3473408
10249,209715200,9417520,200297680,10246,69926912,5894680,64032232,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.95875984E8,5894680.0,0.0,5894680.0,3813.0,10167,10172,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1136,0,5894680,5893544,69926912,69926912,69926912,69926912,69926912,69926912,222512,0,427936,205424,3473408,3473408,3473408,3473408,3473408,3473408
10637,209715200,9419864,200295336,10634,69926912,6121736,63805176,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.2385968E8,6121736.0,0.0,6121736.0,4230.0,10585,10589,4,-27983696,0,0,27983696,27983872,27983872,27983872,27983872,27983872,27983872,227056,0,6121736,5894680,69926912,69926912,69926912,69926912,69926912,69926912,26824,0,454760,427936,3473408,3473408,3473408,3473408,3473408,3473408
11283,209715200,9421496,200293704,11278,69926912,6569256,63357656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.51841664E8,6569256.0,0.0,6569256.0,4854.0,11201,11213,12,-27981984,0,0,27981984,27983872,27983872,27983872,27983872,27983872,27983872,447520,0,6569256,6121736,69926912,69926912,69926912,69926912,69926912,69926912,-215624,0,239136,454760,3473408,3473408,3473408,3473408,3473408,3473408
