perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
42798,209715200,9072936,200642264,42792,1118502912,134224080,984278832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,31261,42783,11522,-445164424,0,0,445164424,447414272,447414272,447414272,447414272,447414272,447414272,134224080,0,134224080,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,36830272,0,36830272,0,55902208,55902208,55902208,55902208,55902208,55902208
86687,209715200,9360336,200354864,86676,1118502912,137639264,980863648,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,1.37639264E8,0.0,1.37639264E8,43889.0,86606,86672,66,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3415184,0,137639264,134224080,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-34975352,0,1854920,36830272,55902208,55902208,55902208,55902208,55902208,55902208
116760,209715200,9372040,200343160,116755,1118502912,339073112,779429800,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.63238808E8,3.39073112E8,0.0,3.39073112E8,73964.0,116256,116747,491,-415824536,0,0,415824536,447414272,447414272,447414272,447414272,447414272,447414272,201433848,0,339073112,137639264,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,32595464,0,34450384,1854920,55902208,55902208,55902208,55902208,55902208,55902208
165869,209715200,9378040,200337160,165867,1118502912,372634280,745868632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.29787712E9,3.7263428E8,0.0,3.7263428E8,123084.0,165574,165867,293,-434638312,0,0,434638312,447414272,447414272,447414272,447414272,447414272,447414272,33561168,0,372634280,339073112,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-681664,0,33768720,34450384,55902208,55902208,55902208,55902208,55902208,55902208
214568,209715200,9381424,200333776,214567,1118502912,406191320,712311592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.734681312E9,4.0619132E8,0.0,4.0619132E8,171784.0,214458,214567,109,-436804192,0,0,436804192,447414272,447414272,447414272,447414272,447414272,447414272,33557040,0,406191320,372634280,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-22408,0,33746312,33768720,55902208,55902208,55902208,55902208,55902208,55902208
269888,209715200,9386200,200329000,269887,1118502912,406209600,712293312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.181496544E9,4.062096E8,0.0,4.062096E8,227104.0,269825,269887,62,-446815232,0,0,446815232,447414272,447414272,447414272,447414272,447414272,447414272,18280,0,406209600,406191320,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-41216,0,33705096,33746312,55902208,55902208,55902208,55902208,55902208,55902208
324327,209715200,9390768,200324432,324323,1118502912,439765728,678737184,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.624743968E9,4.39765728E8,0.0,4.39765728E8,281524.0,324129,324307,178,-443247424,0,0,443247424,447414272,447414272,447414272,447414272,447414272,447414272,33556128,0,439765728,406209600,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-15832,0,33689264,33705096,55902208,55902208,55902208,55902208,55902208,55902208
376352,209715200,9390768,200324432,376340,1118502912,439770208,678732704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.060766104E9,4.39770208E8,0.0,4.39770208E8,333557.0,376288,376340,52,-436022136,0,0,436022136,447414272,447414272,447414272,447414272,447414272,447414272,4480,0,439770208,439765728,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-7648,0,33681616,33689264,55902208,55902208,55902208,55902208,55902208,55902208
421939,209715200,9391584,200323616,421931,1118502912,473325704,645177208,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.488874496E9,4.73325704E8,0.0,4.73325704E8,379148.0,421761,421931,170,-428108392,0,0,428108392,447414272,447414272,447414272,447414272,447414272,447414272,33555496,0,473325704,439770208,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,33681616,33681616,55902208,55902208,55902208,55902208,55902208,55902208
472420,209715200,9392136,200323064,472419,1118502912,506881168,611621744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.924318E9,5.06881168E8,0.0,5.06881168E8,429628.0,472267,472411,144,-435443504,0,0,435443504,447414272,447414272,447414272,447414272,447414272,447414272,33555464,0,506881168,473325704,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-2048,0,33679568,33681616,55902208,55902208,55902208,55902208,55902208,55902208
