perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7014,209715200,8929072,200786128,6992,139853824,135933216,3920608,10,NA,6887,6916,29,0,0,35425504,35425504,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135933216,135933216,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,6235,6235,0,0,0,35135440,35135440,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135935408,135935408,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
8019,209715200,9112624,200602576,8000,139853824,135933216,3920608,11,1.0,7955,8024,69,0,0,36953320,36953320,55967744,55967744,55967744,55967744,55967744,55967744,-784,0,135932432,135933216,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,6235,6235,0,0,0,35135440,35135440,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135935408,135935408,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
8419,209715200,9129736,200585464,8415,139853824,135932432,3921392,12,0.0,8262,8285,23,0,0,37336056,37336056,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135932432,135932432,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,6235,6235,0,0,0,35135440,35135440,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135935408,135935408,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
9642,209715200,9153936,200561264,9639,139853824,135932432,3921392,13,0.0,9439,9521,82,0,0,39599432,39599432,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135932432,135932432,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,6235,6235,0,0,0,35135440,35135440,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135935408,135935408,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
10573,209715200,9177608,200537592,10571,139853824,135932432,3921392,14,0.0,10559,10600,41,0,0,41315272,41315272,55967744,55967744,55967744,55967744,55967744,55967744,-33567624,0,102364808,135932432,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,6,NA,NA,NA,NA,NA,6235,6235,0,0,0,35135440,35135440,55967744,55967744,55967744,55967744,55967744,55967744,0,0,135935408,135935408,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
10970,209715200,9179272,200535928,10967,139853824,102373496,37480328,14,0.0,10559,10600,41,0,0,41315272,41315272,55967744,55967744,55967744,55967744,55967744,55967744,-33567624,0,102364808,135932432,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,7,6561120.0,1.02373496E8,0.0,1.02373496E8,4720.0,10928,10955,27,-41696560,0,0,41696560,55967744,55967744,55967744,55967744,55967744,55967744,8688,0,102373496,102364808,139853824,139853824,139853824,139853824,139853824,139853824,536112,0,536112,0,6946816,6946816,6946816,6946816,6946816,6946816
11856,209715200,9181208,200533992,11853,139853824,136462352,3391472,15,1.0,11747,11773,26,127504,0,33681952,33554448,55967744,55967744,55967744,55967744,55967744,55967744,-17768,0,136462352,136480120,139853824,139853824,139853824,139853824,139853824,139853824,0,0,86208,86208,6946816,6946816,6946816,6946816,6946816,6946816,8,4.1310824E7,1.3648012E8,0.0,1.3648012E8,5489.0,11635,11724,89,-34749704,0,0,34749704,55967744,55967744,55967744,55967744,55967744,55967744,34106624,0,136480120,102373496,139853824,139853824,139853824,139853824,139853824,139853824,-449904,0,86208,536112,6946816,6946816,6946816,6946816,6946816,6946816
11987,209715200,9078816,200636384,11984,139853824,136462352,3391472,18,1.0,12214,12266,52,690360,0,34336336,33645976,55967744,55967744,55967744,55967744,55967744,55967744,-11920,0,136128040,136139960,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,9,7.520568E7,1.36814432E8,334312.0,1.3648012E8,5772.0,12007,12007,0,0,0,33894856,33894856,55967744,55967744,55967744,55967744,55967744,55967744,0,0,136462352,136462352,139853824,139853824,139853824,139853824,139853824,139853824,0,0,86208,86208,6946816,6946816,6946816,6946816,6946816,6946816
13461,209715200,9156672,200558528,13459,139853824,102534776,37319048,19,1.0,13303,13342,39,171728,0,36058720,35886992,55967744,55967744,55967744,55967744,55967744,55967744,-33593264,0,102534776,136128040,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,9,7.520568E7,1.36814432E8,334312.0,1.3648012E8,5772.0,12007,12007,0,0,0,33894856,33894856,55967744,55967744,55967744,55967744,55967744,55967744,0,0,136462352,136462352,139853824,139853824,139853824,139853824,139853824,139853824,0,0,86208,86208,6946816,6946816,6946816,6946816,6946816,6946816
19027,209715200,17708352,192006848,19026,139853824,102534776,37319048,19,1.0,13303,13342,39,171728,0,36058720,35886992,55967744,55967744,55967744,55967744,55967744,55967744,-33593264,0,102534776,136128040,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,10,9.7278568E7,1.36814432E8,334312.0,1.3648012E8,12856.0,19033,19091,58,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,0,0,102534776,102534776,139853824,139853824,139853824,139853824,139853824,139853824,-2455808,0,2588648,5044456,6946816,6946816,6946816,6946816,6946816,6946816
