perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
8156,209715200,9416064,200299136,8059,559284224,79962368,479321856,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,5541,5886,345,-223511392,0,0,223511392,223739904,223739904,223739904,223739904,223739904,223739904,79962368,0,79962368,0,559284224,559284224,559284224,559284224,559284224,559284224,19426016,0,19426016,0,27918336,27918336,27918336,27918336,27918336,27918336
11572,209715200,9593760,200121440,11563,559284224,179655840,379628384,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.23739904E8,1.7965584E8,0.0,1.7965584E8,5666.0,10506,11552,1046,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,99693472,0,179655840,79962368,559284224,559284224,559284224,559284224,559284224,559284224,-16638000,0,2788016,19426016,27918336,27918336,27918336,27918336,27918336,27918336
13090,209715200,9614776,200100424,13087,559284224,179655840,379628384,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.47479808E8,1.80025264E8,0.0,1.80025264E8,7640.0,13104,13526,422,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,369424,0,180025264,179655840,559284224,559284224,559284224,559284224,559284224,559284224,-2474944,0,313072,2788016,27918336,27918336,27918336,27918336,27918336,27918336
15443,209715200,9631992,200083208,15441,559284224,180029456,379254768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.71219712E8,1.80029456E8,0.0,1.80029456E8,9554.0,14986,15440,454,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,4192,0,180029456,180025264,559284224,559284224,559284224,559284224,559284224,559284224,19904,0,332976,313072,27918336,27918336,27918336,27918336,27918336,27918336
17770,209715200,9658400,200056800,17767,559284224,180037456,379246768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.94959616E8,1.80037456E8,0.0,1.80037456E8,11880.0,17258,17766,508,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,8000,0,180037456,180029456,559284224,559284224,559284224,559284224,559284224,559284224,-189416,0,143560,332976,27918336,27918336,27918336,27918336,27918336,27918336
20350,209715200,9663024,200052176,20348,559284224,180058080,379226144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.11869952E9,1.8005808E8,0.0,1.8005808E8,14461.0,19877,20347,470,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,20624,0,180058080,180037456,559284224,559284224,559284224,559284224,559284224,559284224,-44872,0,98688,143560,27918336,27918336,27918336,27918336,27918336,27918336
22313,209715200,9665528,200049672,22311,559284224,180095152,379189072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.342439424E9,1.80095152E8,0.0,1.80095152E8,16420.0,21880,22306,426,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,37072,0,180095152,180058080,559284224,559284224,559284224,559284224,559284224,559284224,95760,0,194448,98688,27918336,27918336,27918336,27918336,27918336,27918336
24384,209715200,9666920,200048280,24378,559284224,180114368,379169856,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.566179328E9,1.80114368E8,0.0,1.80114368E8,18491.0,23748,24377,629,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,19216,0,180114368,180095152,559284224,559284224,559284224,559284224,559284224,559284224,56208,0,250656,194448,27918336,27918336,27918336,27918336,27918336,27918336
26045,209715200,9669640,200045560,26043,559284224,180114456,379169768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.789919232E9,1.80114456E8,0.0,1.80114456E8,20156.0,25487,26042,555,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,88,0,180114456,180114368,559284224,559284224,559284224,559284224,559284224,559284224,-44704,0,205952,250656,27918336,27918336,27918336,27918336,27918336,27918336
28181,209715200,9670984,200044216,28159,559284224,180133000,379151224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.013659136E9,1.80133E8,0.0,1.80133E8,22272.0,27626,28158,532,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,18544,0,180133000,180114456,559284224,559284224,559284224,559284224,559284224,559284224,-20688,0,185264,205952,27918336,27918336,27918336,27918336,27918336,27918336
