perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
14962,209715200,9065592,200649608,14958,69926912,0,69926912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,14962,14989,27,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,0,0,69926912,69926912,69926912,69926912,69926912,69926912,3179680,0,3179680,0,3473408,3473408,3473408,3473408,3473408,3473408
37248,209715200,9300360,200414840,37247,69926912,3462600,66464312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7983872E7,3462600.0,0.0,3462600.0,22154.0,37045,37143,98,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3462600,0,3462600,0,69926912,69926912,69926912,69926912,69926912,69926912,-960112,0,2219568,3179680,3473408,3473408,3473408,3473408,3473408,3473408
59110,209715200,9372888,200342312,59078,69926912,3462600,66464312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5967744E7,3559976.0,0.0,3559976.0,44118.0,59078,59107,29,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,97376,0,3559976,3462600,69926912,69926912,69926912,69926912,69926912,69926912,-1906080,0,313488,2219568,3473408,3473408,3473408,3473408,3473408,3473408
82499,209715200,9393856,200321344,82498,69926912,3596648,66330264,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.3951616E7,3596648.0,0.0,3596648.0,67405.0,82387,82394,7,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,36672,0,3596648,3559976,69926912,69926912,69926912,69926912,69926912,69926912,-283392,0,30096,313488,3473408,3473408,3473408,3473408,3473408,3473408
104982,209715200,9393888,200321312,104961,69926912,3599776,66327136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.11935488E8,3599776.0,0.0,3599776.0,89970.0,104916,104959,43,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3128,0,3599776,3596648,69926912,69926912,69926912,69926912,69926912,69926912,5208,0,35304,30096,3473408,3473408,3473408,3473408,3473408,3473408
128382,209715200,9396352,200318848,128380,69926912,3621888,66305024,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.3991936E8,3621888.0,0.0,3621888.0,113288.0,128222,128277,55,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,22112,0,3621888,3599776,69926912,69926912,69926912,69926912,69926912,69926912,-13416,0,21888,35304,3473408,3473408,3473408,3473408,3473408,3473408
150049,209715200,9399744,200315456,149995,69926912,3621888,66305024,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.67903232E8,3623128.0,0.0,3623128.0,135058.0,149996,150047,51,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1240,0,3623128,3621888,69926912,69926912,69926912,69926912,69926912,69926912,25704,0,47592,21888,3473408,3473408,3473408,3473408,3473408,3473408
172159,209715200,9400432,200314768,172157,69926912,3623128,66303784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.95887104E8,3637096.0,0.0,3637096.0,157176.0,172161,172165,4,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,13968,0,3637096,3623128,69926912,69926912,69926912,69926912,69926912,69926912,-1320,0,46272,47592,3473408,3473408,3473408,3473408,3473408,3473408
193670,209715200,9401816,200313384,193669,69926912,3637096,66289816,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.23870976E8,3647968.0,0.0,3647968.0,178686.0,193671,193675,4,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,10872,0,3647968,3637096,69926912,69926912,69926912,69926912,69926912,69926912,-11200,0,35072,46272,3473408,3473408,3473408,3473408,3473408,3473408
215541,209715200,9403768,200311432,215540,69926912,3647968,66278944,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.51854848E8,3650632.0,0.0,3650632.0,200575.0,215542,215564,22,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2664,0,3650632,3647968,69926912,69926912,69926912,69926912,69926912,69926912,-3888,0,31184,35072,3473408,3473408,3473408,3473408,3473408,3473408
