perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
10339,209715200,11582512,198132688,10198,559284224,13886128,545398096,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,9935,9966,31,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,675808,0,13886128,13210320,559284224,559284224,559284224,559284224,559284224,559284224,-5891760,0,2663752,8555512,27918336,27918336,27918336,27918336,27918336,27918336
10888,209715200,11733504,197981696,10871,559284224,14452840,544831384,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.23739904E8,1.445284E7,0.0,1.445284E7,812.0,10738,10778,40,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,566712,0,14452840,13886128,559284224,559284224,559284224,559284224,559284224,559284224,335208,0,2998960,2663752,27918336,27918336,27918336,27918336,27918336,27918336
11612,209715200,11742072,197973128,11560,559284224,17063056,542221168,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.47479808E8,1.7063056E7,0.0,1.7063056E7,1591.0,11478,11557,79,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2610216,0,17063056,14452840,559284224,559284224,559284224,559284224,559284224,559284224,179680,0,3178640,2998960,27918336,27918336,27918336,27918336,27918336,27918336
12320,209715200,11762536,197952664,12316,559284224,19061856,540222368,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.71219712E8,1.9061856E7,0.0,1.9061856E7,2324.0,12232,12290,58,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,1998800,0,19061856,17063056,559284224,559284224,559284224,559284224,559284224,559284224,-221680,0,2956960,3178640,27918336,27918336,27918336,27918336,27918336,27918336
12889,209715200,11799528,197915672,12886,559284224,19061856,540222368,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.94959616E8,2.107648E7,0.0,2.107648E7,3032.0,12947,12998,51,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2014624,0,21076480,19061856,559284224,559284224,559284224,559284224,559284224,559284224,-647200,0,2309760,2956960,27918336,27918336,27918336,27918336,27918336,27918336
13918,209715200,11810304,197904896,13914,559284224,21770112,537514112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.11869952E9,2.1770112E7,0.0,2.1770112E7,3931.0,13846,13897,51,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,693632,0,21770112,21076480,559284224,559284224,559284224,559284224,559284224,559284224,-1094720,0,1215040,2309760,27918336,27918336,27918336,27918336,27918336,27918336
14716,209715200,11818312,197896888,14689,559284224,22497048,536787176,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.342439424E9,2.2497048E7,0.0,2.2497048E7,4704.0,14626,14670,44,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,726936,0,22497048,21770112,559284224,559284224,559284224,559284224,559284224,559284224,2021344,0,3236384,1215040,27918336,27918336,27918336,27918336,27918336,27918336
15588,209715200,11824488,197890712,15583,559284224,22497048,536787176,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.566179328E9,2.5213216E7,0.0,2.5213216E7,5690.0,15614,15656,42,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2716168,0,25213216,22497048,559284224,559284224,559284224,559284224,559284224,559284224,619168,0,3855552,3236384,27918336,27918336,27918336,27918336,27918336,27918336
16433,209715200,11829328,197885872,16429,559284224,27641400,531642824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.789919232E9,2.76414E7,0.0,2.76414E7,6462.0,16372,16428,56,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,2428184,0,27641400,25213216,559284224,559284224,559284224,559284224,559284224,559284224,-1109120,0,2746432,3855552,27918336,27918336,27918336,27918336,27918336,27918336
17259,209715200,11832144,197883056,17248,559284224,28644440,530639784,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.013659136E9,2.864444E7,0.0,2.864444E7,7280.0,17206,17246,40,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,1003040,0,28644440,27641400,559284224,559284224,559284224,559284224,559284224,559284224,-571248,0,2175184,2746432,27918336,27918336,27918336,27918336,27918336,27918336
