perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
145257,209715200,16432248,193282952,145253,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,145174,145252,78,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,9174112,0,9174112,0,55902208,55902208,55902208,55902208,55902208,55902208
213271,209715200,16798296,192916904,213270,1118502912,6655376,1111847536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,6655376.0,0.0,6655376.0,67988.0,213074,213240,166,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,6655376,0,6655376,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,2121672,0,11295784,9174112,55902208,55902208,55902208,55902208,55902208,55902208
220482,209715200,16974136,192741064,220475,1118502912,8946848,1109556064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,8946848.0,0.0,8946848.0,75223.0,220413,220475,62,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,2291472,0,8946848,6655376,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-3369304,0,7926480,11295784,55902208,55902208,55902208,55902208,55902208,55902208
225419,209715200,17026448,192688752,225415,1118502912,9166056,1109336856,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,9166056.0,0.0,9166056.0,80162.0,225334,225414,80,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,219208,0,9166056,8946848,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1341280,0,6585200,7926480,55902208,55902208,55902208,55902208,55902208,55902208
229508,209715200,17053680,192661520,229507,1118502912,9292448,1109210464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,9292448.0,0.0,9292448.0,84254.0,229440,229506,66,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,126392,0,9292448,9166056,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,589264,0,7174464,6585200,55902208,55902208,55902208,55902208,55902208,55902208
233075,209715200,17079600,192635600,233074,1118502912,9294440,1109208472,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,9294440.0,0.0,9294440.0,87802.0,233016,233054,38,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,1992,0,9294440,9292448,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,1496976,0,8671440,7174464,55902208,55902208,55902208,55902208,55902208,55902208
236641,209715200,17104480,192610720,236639,1118502912,9389832,1109113080,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,9389832.0,0.0,9389832.0,91384.0,236574,236636,62,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,95392,0,9389832,9294440,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,524016,0,9195456,8671440,55902208,55902208,55902208,55902208,55902208,55902208
241079,209715200,17114936,192600264,241078,1118502912,9421456,1109081456,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,9421456.0,0.0,9421456.0,95819.0,241042,241071,29,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,31624,0,9421456,9389832,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-3760824,0,5434632,9195456,55902208,55902208,55902208,55902208,55902208,55902208
244367,209715200,17119256,192595944,244366,1118502912,9487200,1109015712,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,9487200.0,0.0,9487200.0,99109.0,244314,244361,47,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,65744,0,9487200,9421456,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,660968,0,6095600,5434632,55902208,55902208,55902208,55902208,55902208,55902208
247202,209715200,17120752,192594448,247202,1118502912,9545744,1108957168,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,9545744.0,0.0,9545744.0,101934.0,247142,247186,44,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,58544,0,9545744,9487200,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,76368,0,6171968,6095600,55902208,55902208,55902208,55902208,55902208,55902208
