perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7141,209715200,9375480,200339720,7093,69926912,3213424,66713488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,6187,6206,19,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,308008,0,3213424,2905416,69926912,69926912,69926912,69926912,69926912,69926912,-1150616,0,994240,2144856,3473408,3473408,3473408,3473408,3473408,3473408
8104,209715200,11346128,198369072,8091,69926912,3579504,66347408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.787272E7,3579504.0,0.0,3579504.0,1852.0,8023,8058,35,-27872720,0,0,27872720,27983872,27983872,27983872,27983872,27983872,27983872,366080,0,3579504,3213424,69926912,69926912,69926912,69926912,69926912,69926912,2424096,0,3418336,994240,3473408,3473408,3473408,3473408,3473408,3473408
11189,209715200,11624128,198091072,11186,69926912,14467792,55459120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.5856592E7,1.4467792E7,0.0,1.4467792E7,4978.0,10995,11184,189,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,10888288,0,14467792,3579504,69926912,69926912,69926912,69926912,69926912,69926912,55072,0,3473408,3418336,3473408,3473408,3473408,3473408,3473408,3473408
12381,209715200,11752632,197962568,12375,69926912,14467792,55459120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.2634224E7,2.2908224E7,0.0,2.2908224E7,6365.0,12433,12571,138,-26777632,0,0,26777632,27983872,27983872,27983872,27983872,27983872,27983872,8440432,0,22908224,14467792,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
15711,209715200,11816984,197898216,15707,69926912,22908224,47018688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.10618096E8,3.1848168E7,0.0,3.1848168E7,9694.0,15715,15900,185,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,8939944,0,31848168,22908224,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
18742,209715200,11947176,197768024,18624,69926912,31848168,38078744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.38601968E8,3.8736688E7,0.0,3.8736688E7,12507.0,18626,18713,87,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6888520,0,38736688,31848168,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
19243,209715200,11963872,197751328,19240,69926912,35503824,34423088,1,6.0,18713,19248,535,1483952,0,1997344,513392,27983872,27983872,27983872,27983872,27983872,27983872,-3232864,0,35503824,38736688,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,8,1.38601968E8,3.8736688E7,0.0,3.8736688E7,12507.0,18626,18713,87,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6888520,0,38736688,31848168,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
21699,209715200,12018880,197696320,21696,69926912,35503824,34423088,1,6.0,18713,19248,535,1483952,0,1997344,513392,27983872,27983872,27983872,27983872,27983872,27983872,-3232864,0,35503824,38736688,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,9,1.6658584E8,4.5902184E7,0.0,4.5902184E7,15688.0,21759,21894,135,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,7165496,0,42669320,35503824,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
29475,209715200,12482272,197232928,29473,69926912,42669320,27257592,1,6.0,18713,19248,535,1483952,0,1997344,513392,27983872,27983872,27983872,27983872,27983872,27983872,-3232864,0,35503824,38736688,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,10,1.94569712E8,4.9697216E7,0.0,4.9697216E7,23377.0,29495,29583,88,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3795032,0,46464352,42669320,69926912,69926912,69926912,69926912,69926912,69926912,-186824,0,3286584,3473408,3473408,3473408,3473408,3473408,3473408,3473408
35353,209715200,12599360,197115840,35351,69926912,46464352,23462560,1,6.0,18713,19248,535,1483952,0,1997344,513392,27983872,27983872,27983872,27983872,27983872,27983872,-3232864,0,35503824,38736688,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,11,2.22553584E8,5.1019912E7,0.0,5.1019912E7,29199.0,35355,35405,50,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1322696,0,47787048,46464352,69926912,69926912,69926912,69926912,69926912,69926912,-895392,0,2391192,3286584,3473408,3473408,3473408,3473408,3473408,3473408
