perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
8716,209715200,8956304,200758896,8674,69926912,47424000,22502912,2,NA,8367,8447,80,0,0,1549776,1549776,27983872,27983872,27983872,27983872,27983872,27983872,-1032,0,47424000,47425032,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1587912,1587912,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,8007,8057,50,-27935000,0,0,27935000,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1556296,0,1587912,3144208,3473408,3473408,3473408,3473408,3473408,3473408
12723,209715200,9180648,200534552,12717,69926912,47423976,22502936,3,1.0,8844,12717,3873,17120672,0,20995240,3874568,27983872,27983872,27983872,27983872,27983872,27983872,-24,0,47423976,47424000,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1587912,1587912,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,8007,8057,50,-27935000,0,0,27935000,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1556296,0,1587912,3144208,3473408,3473408,3473408,3473408,3473408,3473408
12990,209715200,9182416,200532784,12985,69926912,47423976,22502936,4,0.0,12753,12829,76,100848,0,21096088,20995240,27983872,27983872,27983872,27983872,27983872,27983872,0,0,47423976,47423976,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1587912,1587912,3473408,3473408,3473408,3473408,3473408,3473408,3,NA,NA,NA,NA,NA,8007,8057,50,-27935000,0,0,27935000,27983872,27983872,27983872,27983872,27983872,27983872,9503088,0,47430456,37927368,69926912,69926912,69926912,69926912,69926912,69926912,-1556296,0,1587912,3144208,3473408,3473408,3473408,3473408,3473408,3473408
13908,209715200,9188664,200526536,13901,69926912,49124552,20802360,5,0.0,13767,13895,128,-27936400,0,0,27936400,27983872,27983872,27983872,27983872,27983872,27983872,1700576,0,49124552,47423976,69926912,69926912,69926912,69926912,69926912,69926912,-1587912,0,0,1587912,3473408,3473408,3473408,3473408,3473408,3473408,4,NA,NA,NA,NA,NA,13767,13767,0,0,0,27936400,27936400,27983872,27983872,27983872,27983872,27983872,27983872,0,0,47423976,47423976,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1587912,1587912,3473408,3473408,3473408,3473408,3473408,3473408
14171,209715200,9189656,200525544,14166,69926912,49124552,20802360,6,1.0,13927,14009,82,96816,0,525160,428344,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49124552,49124552,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,4,NA,NA,NA,NA,NA,13767,13767,0,0,0,27936400,27936400,27983872,27983872,27983872,27983872,27983872,27983872,0,0,47423976,47423976,69926912,69926912,69926912,69926912,69926912,69926912,0,0,1587912,1587912,3473408,3473408,3473408,3473408,3473408,3473408
19011,209715200,9204088,200511112,19007,69926912,49124552,20802360,6,1.0,13927,14009,82,96816,0,525160,428344,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49124552,49124552,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,5,NA,NA,NA,NA,NA,18942,18946,4,-27881120,0,0,27881120,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49124552,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408
20176,209715200,9211832,200503368,20173,69926912,47881584,22045328,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,5,NA,NA,NA,NA,NA,18942,18946,4,-27881120,0,0,27881120,27983872,27983872,27983872,27983872,27983872,27983872,0,0,49124552,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408
24466,209715200,9219664,200495536,24463,69926912,48009328,21917584,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,6,2.7850072E7,4.8009328E7,0.0,4.8009328E7,5471.0,24413,24417,4,-27850072,0,0,27850072,27983872,27983872,27983872,27983872,27983872,27983872,127744,0,48009328,47881584,69926912,69926912,69926912,69926912,69926912,69926912,-624688,0,844144,1468832,3473408,3473408,3473408,3473408,3473408,3473408
28180,209715200,9237576,200477624,28178,69926912,48010824,21916088,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,7,5.5727256E7,4.8010824E7,0.0,4.8010824E7,9221.0,28149,28167,18,-27877184,0,0,27877184,27983872,27983872,27983872,27983872,27983872,27983872,1496,0,48010824,48009328,69926912,69926912,69926912,69926912,69926912,69926912,387584,0,1231728,844144,3473408,3473408,3473408,3473408,3473408,3473408
32897,209715200,9247104,200468096,32895,69926912,48127720,21799192,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,8,8.3655304E7,4.812772E7,0.0,4.812772E7,13886.0,32825,32832,7,-27928048,0,0,27928048,27983872,27983872,27983872,27983872,27983872,27983872,116896,0,48127720,48010824,69926912,69926912,69926912,69926912,69926912,69926912,-115800,0,1115928,1231728,3473408,3473408,3473408,3473408,3473408,3473408
