perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
38159,209715200,9088864,200626336,38156,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,38203,38318,115,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,49115360,0,49115360,0,55902208,55902208,55902208,55902208,55902208,55902208
124936,209715200,9382888,200332312,124934,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47358688E8,4.8025848E7,0.0,4.8025848E7,86780.0,124958,125098,140,-447358688,0,0,447358688,447414272,447414272,447414272,447414272,447414272,447414272,48025848,0,48025848,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-46230552,0,2884808,49115360,55902208,55902208,55902208,55902208,55902208,55902208
217111,209715200,9395952,200319248,217110,1118502912,48136376,1070366536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.9477296E8,4.8136376E7,0.0,4.8136376E7,178788.0,217078,217106,28,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,110528,0,48136376,48025848,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1397184,0,1487624,2884808,55902208,55902208,55902208,55902208,55902208,55902208
303543,209715200,9407296,200307904,303542,1118502912,48175736,1070327176,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342187232E9,4.8175736E7,0.0,4.8175736E7,265217.0,303498,303535,37,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,39360,0,48175736,48136376,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,70704,0,1558328,1487624,55902208,55902208,55902208,55902208,55902208,55902208
398192,209715200,9408552,200306648,398191,1118502912,48178920,1070323992,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789601504E9,4.817892E7,0.0,4.817892E7,359872.0,398155,398190,35,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,3184,0,48178920,48175736,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-14024,0,1544304,1558328,55902208,55902208,55902208,55902208,55902208,55902208
498135,209715200,9410376,200304824,498134,1118502912,48200200,1070302712,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.237015776E9,4.82002E7,0.0,4.82002E7,459816.0,498074,498134,60,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,21280,0,48200200,48178920,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-142016,0,1402288,1544304,55902208,55902208,55902208,55902208,55902208,55902208
596547,209715200,9414072,200301128,596543,1118502912,48202160,1070300752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684404816E9,4.820216E7,0.0,4.820216E7,558224.0,596474,596542,68,-447389040,0,0,447389040,447414272,447414272,447414272,447414272,447414272,447414272,1960,0,48202160,48200200,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-431520,0,970768,1402288,55902208,55902208,55902208,55902208,55902208,55902208
687243,209715200,9415944,200299256,687241,1118502912,48205352,1070297560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131781896E9,4.8205352E7,0.0,4.8205352E7,648867.0,687162,687185,23,-447377080,0,0,447377080,447414272,447414272,447414272,447414272,447414272,447414272,3192,0,48205352,48202160,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,129608,0,1100376,970768,55902208,55902208,55902208,55902208,55902208,55902208
779747,209715200,9416128,200299072,779734,1118502912,48207256,1070295656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579196168E9,4.8207256E7,0.0,4.8207256E7,741416.0,779674,779734,60,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,1904,0,48207256,48205352,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-757696,0,546256,1303952,55902208,55902208,55902208,55902208,55902208,55902208
871697,209715200,9416312,200298888,871696,1118502912,48209280,1070293632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.02648204E9,4.820928E7,0.0,4.820928E7,833356.0,871638,871674,36,-447285872,0,0,447285872,447414272,447414272,447414272,447414272,447414272,447414272,2024,0,48209280,48207256,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,620600,0,1166856,546256,55902208,55902208,55902208,55902208,55902208,55902208
