perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6725,209715200,9205064,200510136,6711,279642112,13307576,266334536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,5939,5964,25,-111467616,0,0,111467616,111869952,111869952,111869952,111869952,111869952,111869952,730440,0,13307576,12577136,279642112,279642112,279642112,279642112,279642112,279642112,-725368,0,9497448,10222816,13959168,13959168,13959168,13959168,13959168,13959168
7515,209715200,9398344,200316856,7508,279642112,15498432,264143680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.11840008E8,1.5498432E7,0.0,1.5498432E7,1543.0,7484,7507,23,-111840008,0,0,111840008,111869952,111869952,111869952,111869952,111869952,111869952,2190856,0,15498432,13307576,279642112,279642112,279642112,279642112,279642112,279642112,387696,0,9885144,9497448,13959168,13959168,13959168,13959168,13959168,13959168
9041,209715200,9447232,200267968,9037,279642112,17379120,262262992,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.22988192E8,1.737912E7,0.0,1.737912E7,3072.0,9025,9036,11,-111148184,0,0,111148184,111869952,111869952,111869952,111869952,111869952,111869952,1880688,0,17379120,15498432,279642112,279642112,279642112,279642112,279642112,279642112,443272,0,10328416,9885144,13959168,13959168,13959168,13959168,13959168,13959168
9571,209715200,9456776,200258424,9568,279642112,18852528,260789584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.34195136E8,1.8852528E7,0.0,1.8852528E7,3534.0,9484,9498,14,-111206944,0,0,111206944,111869952,111869952,111869952,111869952,111869952,111869952,1473408,0,18852528,17379120,279642112,279642112,279642112,279642112,279642112,279642112,700984,0,11029400,10328416,13959168,13959168,13959168,13959168,13959168,13959168
9839,209715200,9458256,200256944,9836,279642112,18914840,260727272,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.4564904E8,1.891484E7,0.0,1.891484E7,3868.0,9792,9832,40,-111453904,0,0,111453904,111869952,111869952,111869952,111869952,111869952,111869952,62312,0,18914840,18852528,279642112,279642112,279642112,279642112,279642112,279642112,-1497696,0,9531704,11029400,13959168,13959168,13959168,13959168,13959168,13959168
10214,209715200,9463984,200251216,10212,279642112,19676840,259965272,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.57192632E8,1.967684E7,0.0,1.967684E7,4187.0,10146,10151,5,-111543592,0,0,111543592,111869952,111869952,111869952,111869952,111869952,111869952,762000,0,19676840,18914840,279642112,279642112,279642112,279642112,279642112,279642112,-35632,0,9496072,9531704,13959168,13959168,13959168,13959168,13959168,13959168
10470,209715200,9466136,200249064,10467,279642112,21137112,258505000,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6.68553696E8,2.1137112E7,0.0,2.1137112E7,4465.0,10421,10429,8,-111361064,0,0,111361064,111869952,111869952,111869952,111869952,111869952,111869952,1460272,0,21137112,19676840,279642112,279642112,279642112,279642112,279642112,279642112,28312,0,9524384,9496072,13959168,13959168,13959168,13959168,13959168,13959168
10945,209715200,9468256,200246944,10943,279642112,21898040,257744072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.80144848E8,2.189804E7,0.0,2.189804E7,4911.0,10871,10875,4,-111591152,0,0,111591152,111869952,111869952,111869952,111869952,111869952,111869952,760928,0,21898040,21137112,279642112,279642112,279642112,279642112,279642112,279642112,705352,0,10229736,9524384,13959168,13959168,13959168,13959168,13959168,13959168
12112,209715200,9470184,200245016,12103,279642112,22635400,257006712,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8.91770152E8,2.26354E7,0.0,2.26354E7,6137.0,12092,12101,9,-111625304,0,0,111625304,111869952,111869952,111869952,111869952,111869952,111869952,737360,0,22635400,21898040,279642112,279642112,279642112,279642112,279642112,279642112,-8968,0,10220768,10229736,13959168,13959168,13959168,13959168,13959168,13959168
14282,209715200,9475256,200239944,14279,279642112,23365120,256276992,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.003596472E9,2.336512E7,0.0,2.336512E7,8270.0,14207,14234,27,-111826320,0,0,111826320,111869952,111869952,111869952,111869952,111869952,111869952,729720,0,23365120,22635400,279642112,279642112,279642112,279642112,279642112,279642112,232,0,10221000,10220768,13959168,13959168,13959168,13959168,13959168,13959168
16166,209715200,9481480,200233720,16163,279642112,24824560,254817552,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.11512936E9,2.482456E7,0.0,2.482456E7,10191.0,16114,16155,41,-111532888,0,0,111532888,111869952,111869952,111869952,111869952,111869952,111869952,1459440,0,24824560,23365120,279642112,279642112,279642112,279642112,279642112,279642112,320,0,10221320,10221000,13959168,13959168,13959168,13959168,13959168,13959168
17354,209715200,9489640,200225560,17350,279642112,27017368,252624744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.226713968E9,2.7017368E7,0.0,2.7017368E7,11343.0,17264,17307,43,-111584608,0,0,111584608,111869952,111869952,111869952,111869952,111869952,111869952,2192808,0,27017368,24824560,279642112,279642112,279642112,279642112,279642112,279642112,-1428424,0,8792896,10221320,13959168,13959168,13959168,13959168,13959168,13959168
18622,209715200,9490736,200224464,18619,279642112,27047776,252594336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.338337368E9,2.7047776E7,0.0,2.7047776E7,12608.0,18567,18572,5,-111623400,0,0,111623400,111869952,111869952,111869952,111869952,111869952,111869952,30408,0,27047776,27017368,279642112,279642112,279642112,279642112,279642112,279642112,1457120,0,10250016,8792896,13959168,13959168,13959168,13959168,13959168,13959168
19824,209715200,9498360,200216840,19815,279642112,28538528,251103584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.449927376E9,2.8538528E7,0.0,2.8538528E7,13844.0,19775,19808,33,-111590008,0,0,111590008,111869952,111869952,111869952,111869952,111869952,111869952,1490752,0,28538528,27047776,279642112,279642112,279642112,279642112,279642112,279642112,-1485720,0,8764296,10250016,13959168,13959168,13959168,13959168,13959168,13959168
21045,209715200,9501408,200213792,21044,279642112,29269088,250373024,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.561665968E9,2.9269088E7,0.0,2.9269088E7,15079.0,21009,21043,34,-111738592,0,0,111738592,111869952,111869952,111869952,111869952,111869952,111869952,730560,0,29269088,28538528,279642112,279642112,279642112,279642112,279642112,279642112,753736,0,9518032,8764296,13959168,13959168,13959168,13959168,13959168,13959168
