perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6059,209715200,16713144,193002056,6025,69926912,25464688,44462224,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,5875,5880,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1869416,0,25464688,23595272,69926912,69926912,69926912,69926912,69926912,69926912,270384,0,3130840,2860456,3473408,3473408,3473408,3473408,3473408,3473408
6306,209715200,16863184,192852016,6302,69926912,27455936,42470976,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.7983872E7,2.7455936E7,0.0,2.7455936E7,317.0,6180,6197,17,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1991248,0,27455936,25464688,69926912,69926912,69926912,69926912,69926912,69926912,181504,0,3312344,3130840,3473408,3473408,3473408,3473408,3473408,3473408
6592,209715200,16871704,192843496,6588,69926912,29517872,40409040,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.5967744E7,2.9517872E7,0.0,2.9517872E7,626.0,6495,6506,11,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2061936,0,29517872,27455936,69926912,69926912,69926912,69926912,69926912,69926912,49592,0,3361936,3312344,3473408,3473408,3473408,3473408,3473408,3473408
6869,209715200,16891064,192824136,6864,69926912,31506504,38420408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8.3951616E7,3.1506504E7,0.0,3.1506504E7,911.0,6777,6791,14,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1988632,0,31506504,29517872,69926912,69926912,69926912,69926912,69926912,69926912,-311080,0,3050856,3361936,3473408,3473408,3473408,3473408,3473408,3473408
7030,209715200,16897760,192817440,7021,69926912,31506504,38420408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.11935488E8,3.3430744E7,0.0,3.3430744E7,1175.0,7035,7055,20,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1924240,0,33430744,31506504,69926912,69926912,69926912,69926912,69926912,69926912,-151368,0,2899488,3050856,3473408,3473408,3473408,3473408,3473408,3473408
7512,209715200,16926424,192788776,7504,69926912,35365952,34560960,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3991936E8,3.5365952E7,0.0,3.5365952E7,1539.0,7407,7419,12,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1935208,0,35365952,33430744,69926912,69926912,69926912,69926912,69926912,69926912,-224352,0,2675136,2899488,3473408,3473408,3473408,3473408,3473408,3473408
7937,209715200,16933664,192781536,7934,69926912,37076664,32850248,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.67903232E8,3.7076664E7,0.0,3.7076664E7,2044.0,7901,7924,23,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1710712,0,37076664,35365952,69926912,69926912,69926912,69926912,69926912,69926912,661248,0,3336384,2675136,3473408,3473408,3473408,3473408,3473408,3473408
8408,209715200,16936024,192779176,8405,69926912,37743456,32183456,1,7.0,7420,8289,869,20421544,0,20423632,2088,27983872,27983872,27983872,27983872,27983872,27983872,439488,0,35805440,35365952,69926912,69926912,69926912,69926912,69926912,69926912,661248,0,3336384,2675136,3473408,3473408,3473408,3473408,3473408,3473408,16,1.95887104E8,3.901468E7,0.0,3.901468E7,2517.0,8370,8397,27,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1938016,0,37743456,35805440,69926912,69926912,69926912,69926912,69926912,69926912,-364128,0,2972256,3336384,3473408,3473408,3473408,3473408,3473408,3473408
8730,209715200,16942632,192772568,8727,69926912,39662312,30264600,1,7.0,7420,8289,869,20421544,0,20423632,2088,27983872,27983872,27983872,27983872,27983872,27983872,439488,0,35805440,35365952,69926912,69926912,69926912,69926912,69926912,69926912,661248,0,3336384,2675136,3473408,3473408,3473408,3473408,3473408,3473408,17,2.23870976E8,4.0933536E7,0.0,4.0933536E7,2829.0,8682,8709,27,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1918856,0,39662312,37743456,69926912,69926912,69926912,69926912,69926912,69926912,-275904,0,2696352,2972256,3473408,3473408,3473408,3473408,3473408,3473408
9024,209715200,16944288,192770912,9017,69926912,41766520,28160392,1,7.0,7420,8289,869,20421544,0,20423632,2088,27983872,27983872,27983872,27983872,27983872,27983872,439488,0,35805440,35365952,69926912,69926912,69926912,69926912,69926912,69926912,661248,0,3336384,2675136,3473408,3473408,3473408,3473408,3473408,3473408,18,2.51854848E8,4.3037744E7,0.0,4.3037744E7,3131.0,8993,9011,18,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2104208,0,41766520,39662312,69926912,69926912,69926912,69926912,69926912,69926912,777056,0,3473408,2696352,3473408,3473408,3473408,3473408,3473408,3473408
