perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
6855,209715200,9184112,200531088,6835,139853824,3664688,136189136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,6945,6961,16,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,583736,0,4248424,3664688,139853824,139853824,139853824,139853824,139853824,139853824,-1322424,0,941328,2263752,6946816,6946816,6946816,6946816,6946816,6946816
8230,209715200,9373944,200341256,8224,139853824,4248424,135605400,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5967744E7,4631136.0,0.0,4631136.0,1289.0,8233,8250,17,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,382712,0,4631136,4248424,139853824,139853824,139853824,139853824,139853824,139853824,-200672,0,740656,941328,6946816,6946816,6946816,6946816,6946816,6946816
10080,209715200,9409776,200305424,10076,139853824,4637296,135216528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.11935488E8,4637296.0,0.0,4637296.0,3044.0,9997,10005,8,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,6160,0,4637296,4631136,139853824,139853824,139853824,139853824,139853824,139853824,181496,0,922152,740656,6946816,6946816,6946816,6946816,6946816,6946816
11953,209715200,9420056,200295144,11950,139853824,4637296,135216528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.67903232E8,5155240.0,0.0,5155240.0,5056.0,11979,12017,38,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,517944,0,5155240,4637296,139853824,139853824,139853824,139853824,139853824,139853824,-465864,0,456288,922152,6946816,6946816,6946816,6946816,6946816,6946816
14440,209715200,9424400,200290800,14437,139853824,5555136,134298688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.23870976E8,5555136.0,0.0,5555136.0,7468.0,14413,14429,16,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,399896,0,5555136,5155240,139853824,139853824,139853824,139853824,139853824,139853824,-378320,0,77968,456288,6946816,6946816,6946816,6946816,6946816,6946816
16434,209715200,9430376,200284824,16430,139853824,5555136,134298688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.7983872E8,5556176.0,0.0,5556176.0,9524.0,16460,16485,25,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,1040,0,5556176,5555136,139853824,139853824,139853824,139853824,139853824,139853824,324048,0,402016,77968,6946816,6946816,6946816,6946816,6946816,6946816
18328,209715200,9436224,200278976,18323,139853824,5556512,134297312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.35806464E8,5556512.0,0.0,5556512.0,11335.0,18289,18296,7,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,336,0,5556512,5556176,139853824,139853824,139853824,139853824,139853824,139853824,276792,0,678808,402016,6946816,6946816,6946816,6946816,6946816,6946816
20786,209715200,9447824,200267376,20783,139853824,6034496,133819328,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.91774208E8,6034496.0,0.0,6034496.0,13716.0,20649,20677,28,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,477984,0,6034496,5556512,139853824,139853824,139853824,139853824,139853824,139853824,-241496,0,437312,678808,6946816,6946816,6946816,6946816,6946816,6946816
24171,209715200,9452696,200262504,24168,139853824,6258688,133595136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.47741952E8,6258688.0,0.0,6258688.0,17196.0,24144,24157,13,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,224192,0,6258688,6034496,139853824,139853824,139853824,139853824,139853824,139853824,-222440,0,214872,437312,6946816,6946816,6946816,6946816,6946816,6946816
26234,209715200,9461784,200253416,26223,139853824,6453192,133400632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.03709696E8,6453192.0,0.0,6453192.0,19247.0,26205,26208,3,-55967744,0,0,55967744,55967744,55967744,55967744,55967744,55967744,55967744,194504,0,6453192,6258688,139853824,139853824,139853824,139853824,139853824,139853824,177360,0,392232,214872,6946816,6946816,6946816,6946816,6946816,6946816
