perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
39471,209715200,9083344,200631856,39459,1118502912,134224080,984278832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,38998,39450,452,-445164400,0,0,445164400,447414272,447414272,447414272,447414272,447414272,447414272,134224080,0,134224080,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,36805600,0,36805600,0,55902208,55902208,55902208,55902208,55902208,55902208
98527,209715200,9359864,200355336,98520,1118502912,134224080,984278832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,2.04754624E8,0.0,2.04754624E8,59502.0,98542,98952,410,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,70530544,0,204754624,134224080,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-669160,0,36136440,36805600,55902208,55902208,55902208,55902208,55902208,55902208
144340,209715200,9374496,200340704,144324,1118502912,406178504,712324408,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.84383768E8,4.06178504E8,0.0,4.06178504E8,104872.0,140366,144322,3956,-436969496,0,0,436969496,447414272,447414272,447414272,447414272,447414272,447414272,201423880,0,406178504,204754624,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1818600,0,34317840,36136440,55902208,55902208,55902208,55902208,55902208,55902208
205706,209715200,9379824,200335376,205704,1118502912,439742368,678760544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.298699448E9,4.39742368E8,0.0,4.39742368E8,166253.0,205546,205703,157,-414315680,0,0,414315680,447414272,447414272,447414272,447414272,447414272,447414272,33563864,0,439742368,406178504,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-440640,0,33877200,34317840,55902208,55902208,55902208,55902208,55902208,55902208
266758,209715200,9387424,200327776,266755,1118502912,439765216,678737696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.714846536E9,4.39765216E8,0.0,4.39765216E8,227304.0,266634,266754,120,-416147088,0,0,416147088,447414272,447414272,447414272,447414272,447414272,447414272,22848,0,439765216,439742368,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-152832,0,33724368,33877200,55902208,55902208,55902208,55902208,55902208,55902208
330849,209715200,9389768,200325432,330848,1118502912,439767096,678735816,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.13469E9,4.39767096E8,0.0,4.39767096E8,291376.0,330766,330826,60,-419843464,0,0,419843464,447414272,447414272,447414272,447414272,447414272,447414272,1880,0,439767096,439765216,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-31568,0,33692800,33724368,55902208,55902208,55902208,55902208,55902208,55902208
399391,209715200,9390128,200325072,399383,1118502912,473325216,645177696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.550367704E9,4.73325216E8,0.0,4.73325216E8,359920.0,396323,399370,3047,-415677704,0,0,415677704,447414272,447414272,447414272,447414272,447414272,447414272,33558120,0,473325216,439767096,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-2304,0,33690496,33692800,55902208,55902208,55902208,55902208,55902208,55902208
475616,209715200,9390944,200324256,475615,1118502912,473326048,645176864,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.981667288E9,4.73326048E8,0.0,4.73326048E8,436152.0,475494,475602,108,-431299584,0,0,431299584,447414272,447414272,447414272,447414272,447414272,447414272,832,0,473326048,473325216,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-8880,0,33681616,33690496,55902208,55902208,55902208,55902208,55902208,55902208
544660,209715200,9390944,200324256,544655,1118502912,506881376,611621536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.401306736E9,5.06881376E8,0.0,5.06881376E8,505204.0,541138,544654,3516,-419639448,0,0,419639448,447414272,447414272,447414272,447414272,447414272,447414272,33555328,0,506881376,473326048,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-2048,0,33679568,33681616,55902208,55902208,55902208,55902208,55902208,55902208
613201,209715200,9391496,200323704,613193,1118502912,506882024,611620888,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.827715272E9,5.06882024E8,0.0,5.06882024E8,573742.0,613170,613192,22,-426408536,0,0,426408536,447414272,447414272,447414272,447414272,447414272,447414272,648,0,506882024,506881376,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-33554448,0,125120,33679568,55902208,55902208,55902208,55902208,55902208,55902208
675085,209715200,9391696,200323504,675084,1118502912,540437664,578065248,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.243119128E9,5.40437664E8,0.0,5.40437664E8,635632.0,674790,675082,292,-415403856,0,0,415403856,447414272,447414272,447414272,447414272,447414272,447414272,33555640,0,540437664,506882024,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,33558544,0,33683664,125120,55902208,55902208,55902208,55902208,55902208,55902208
748476,209715200,9392384,200322816,748463,1118502912,573993320,544509592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.670945456E9,5.7399332E8,0.0,5.7399332E8,708962.0,748252,748412,160,-427826328,0,0,427826328,447414272,447414272,447414272,447414272,447414272,447414272,33555656,0,573993320,540437664,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-4096,0,33679568,33683664,55902208,55902208,55902208,55902208,55902208,55902208
753663,209715200,9392384,200322816,753661,1118502912,171337176,947165736,1,12.0,748454,753610,5156,7508000,0,41062448,33554448,447414272,447414272,447414272,447414272,447414272,447414272,-402656144,0,171337176,573993320,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,0,0,33679568,33679568,55902208,55902208,55902208,55902208,55902208,55902208,12,4.670945456E9,5.7399332E8,0.0,5.7399332E8,708962.0,748252,748412,160,-427826328,0,0,427826328,447414272,447414272,447414272,447414272,447414272,447414272,33555656,0,573993320,540437664,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-4096,0,33679568,33683664,55902208,55902208,55902208,55902208,55902208,55902208
