perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7471,209715200,8941248,200773952,7407,139853824,103560248,36293576,5,NA,7139,7220,81,373160,0,42396280,42023120,55967744,55967744,55967744,55967744,55967744,55967744,0,0,103560248,103560248,139853824,139853824,139853824,139853824,139853824,139853824,0,0,165296,165296,6946816,6946816,6946816,6946816,6946816,6946816,3,NA,NA,NA,NA,NA,2141,2302,161,-34673944,0,0,34673944,55967744,55967744,55967744,55967744,55967744,55967744,33554480,0,103566336,70011856,139853824,139853824,139853824,139853824,139853824,139853824,-165304,0,165296,330600,6946816,6946816,6946816,6946816,6946816,6946816
8012,209715200,9092792,200622408,8007,139853824,103560248,36293576,6,1.0,7506,7614,108,0,0,42769480,42769480,55967744,55967744,55967744,55967744,55967744,55967744,0,0,103560248,103560248,139853824,139853824,139853824,139853824,139853824,139853824,0,0,165296,165296,6946816,6946816,6946816,6946816,6946816,6946816,3,NA,NA,NA,NA,NA,2141,2302,161,-34673944,0,0,34673944,55967744,55967744,55967744,55967744,55967744,55967744,33554480,0,103566336,70011856,139853824,139853824,139853824,139853824,139853824,139853824,-165304,0,165296,330600,6946816,6946816,6946816,6946816,6946816,6946816
9098,209715200,9123040,200592160,9091,139853824,137465296,2388528,8,0.0,8856,9089,233,-43889752,0,0,43889752,55967744,55967744,55967744,55967744,55967744,55967744,33905048,0,137465296,103560248,139853824,139853824,139853824,139853824,139853824,139853824,-165296,0,0,165296,6946816,6946816,6946816,6946816,6946816,6946816,4,NA,NA,NA,NA,NA,8856,8856,0,0,0,43889752,43889752,55967744,55967744,55967744,55967744,55967744,55967744,0,0,103560248,103560248,139853824,139853824,139853824,139853824,139853824,139853824,0,0,165296,165296,6946816,6946816,6946816,6946816,6946816,6946816
9360,209715200,9131976,200583224,9355,139853824,137465296,2388528,9,1.0,9106,9188,82,0,0,33970504,33970504,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465296,137465296,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,4,NA,NA,NA,NA,NA,8856,8856,0,0,0,43889752,43889752,55967744,55967744,55967744,55967744,55967744,55967744,0,0,103560248,103560248,139853824,139853824,139853824,139853824,139853824,139853824,0,0,165296,165296,6946816,6946816,6946816,6946816,6946816,6946816
10156,209715200,9051000,200664200,9776,139853824,136057896,3795928,14,0.0,10040,10119,79,-103944,0,33608448,33712392,55967744,55967744,55967744,55967744,55967744,55967744,0,0,136053896,136053896,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
11130,209715200,9069368,200645832,11085,139853824,136047296,3806528,16,1.0,11003,11063,60,-150576,0,33634160,33784736,55967744,55967744,55967744,55967744,55967744,55967744,0,0,136047296,136047296,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
11354,209715200,9110664,200604536,11350,139853824,136047088,3806736,17,0.0,11082,11190,108,689576,0,34784600,34095024,55967744,55967744,55967744,55967744,55967744,55967744,-208,0,136047088,136047296,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
11733,209715200,9118472,200596728,11730,139853824,136046832,3806992,18,0.0,11586,11676,90,80528,0,35182736,35102208,55967744,55967744,55967744,55967744,55967744,55967744,-256,0,136046832,136047088,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
13902,209715200,9137920,200577280,13899,139853824,136046808,3807016,19,0.0,13725,13835,110,213480,0,37617120,37403640,55967744,55967744,55967744,55967744,55967744,55967744,-24,0,136046808,136046832,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
14976,209715200,9139512,200575688,14971,139853824,136046808,3807016,20,0.0,14878,14957,79,0,0,38805696,38805696,55967744,55967744,55967744,55967744,55967744,55967744,0,0,136046808,136046808,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816,5,NA,NA,NA,NA,NA,9658,9658,0,0,0,34195144,34195144,55967744,55967744,55967744,55967744,55967744,55967744,0,0,137465224,137465224,139853824,139853824,139853824,139853824,139853824,139853824,0,0,0,0,6946816,6946816,6946816,6946816,6946816,6946816
