perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
9293,209715200,9443568,200271632,9285,1118502912,95946848,1022556064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,8793,9275,482,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,95946848,0,95946848,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,35819776,0,35819776,0,55902208,55902208,55902208,55902208,55902208,55902208
13485,209715200,9619904,200095296,13472,1118502912,132016776,986486136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,1.32016776E8,0.0,1.32016776E8,4196.0,12697,13471,774,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,36069928,0,132016776,95946848,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-32684784,0,3134992,35819776,55902208,55902208,55902208,55902208,55902208,55902208
18313,209715200,9651248,200063952,18310,1118502912,132016776,986486136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,1.32078296E8,0.0,1.32078296E8,11803.0,18373,21078,2705,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,61520,0,132078296,132016776,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-2756920,0,378072,3134992,55902208,55902208,55902208,55902208,55902208,55902208
27983,209715200,9657872,200057328,27974,1118502912,132125352,986377560,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,1.32125352E8,0.0,1.32125352E8,18698.0,24940,27973,3033,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,47056,0,132125352,132078296,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-156696,0,221376,378072,55902208,55902208,55902208,55902208,55902208,55902208
34705,209715200,9661936,200053264,34703,1118502912,132127560,986375352,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,1.3212756E8,0.0,1.3212756E8,25426.0,31618,34701,3083,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,2208,0,132127560,132125352,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-144192,0,77184,221376,55902208,55902208,55902208,55902208,55902208,55902208
41705,209715200,9671472,200043728,41700,1118502912,132165288,986337624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,1.32165288E8,0.0,1.32165288E8,32410.0,38745,41685,2940,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,37728,0,132165288,132127560,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,73472,0,150656,77184,55902208,55902208,55902208,55902208,55902208,55902208
48300,209715200,9682824,200032376,48287,1118502912,132176328,986326584,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,1.32176328E8,0.0,1.32176328E8,39010.0,45181,48285,3104,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,11040,0,132176328,132165288,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,56712,0,207368,150656,55902208,55902208,55902208,55902208,55902208,55902208
54539,209715200,9689384,200025816,54536,1118502912,132293208,986209704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,1.32293208E8,0.0,1.32293208E8,45154.0,51505,54429,2924,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,116880,0,132293208,132176328,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,8048,0,215416,207368,55902208,55902208,55902208,55902208,55902208,55902208
59731,209715200,9690480,200024720,59715,1118502912,132357824,986145088,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,1.32357824E8,0.0,1.32357824E8,50439.0,56513,59714,3201,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,64616,0,132357824,132293208,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-24896,0,190520,215416,55902208,55902208,55902208,55902208,55902208,55902208
66708,209715200,9691352,200023848,66684,1118502912,132357824,986145088,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,1.32357824E8,0.0,1.32357824E8,57408.0,63513,66683,3170,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,132357824,132357824,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-5016,0,185504,190520,55902208,55902208,55902208,55902208,55902208,55902208
71981,209715200,9692408,200022792,71979,1118502912,132394272,986108640,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.47414272E9,1.32394272E8,0.0,1.32394272E8,62702.0,68470,71977,3507,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,36448,0,132394272,132357824,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-38720,0,146784,185504,55902208,55902208,55902208,55902208,55902208,55902208
75725,209715200,9693488,200021712,75723,1118502912,132394272,986108640,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.921556992E9,1.32412744E8,0.0,1.32412744E8,69574.0,75745,78849,3104,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,18472,0,132412744,132394272,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,10664,0,157448,146784,55902208,55902208,55902208,55902208,55902208,55902208
84151,209715200,9693992,200021208,84135,1118502912,132478344,986024568,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.368971264E9,1.32478344E8,0.0,1.32478344E8,74850.0,81051,84125,3074,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,65600,0,132478344,132412744,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,68344,0,225792,157448,55902208,55902208,55902208,55902208,55902208,55902208
