perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
9963,209715200,11539072,198176128,9958,279642112,0,279642112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,9852,9951,99,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,0,0,0,0,279642112,279642112,279642112,279642112,279642112,279642112,6925296,0,6925296,0,13959168,13959168,13959168,13959168,13959168,13959168
11756,209715200,11733416,197981784,11708,279642112,7307544,272334568,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.11869952E8,7307544.0,0.0,7307544.0,1755.0,11488,11706,218,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,7307544,0,7307544,0,279642112,279642112,279642112,279642112,279642112,279642112,639600,0,7564896,6925296,13959168,13959168,13959168,13959168,13959168,13959168
12773,209715200,11770504,197944696,12767,279642112,13396696,266245416,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23739904E8,1.3396696E7,0.0,1.3396696E7,2658.0,12523,12609,86,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,6089152,0,13396696,7307544,279642112,279642112,279642112,279642112,279642112,279642112,-2120128,0,5444768,7564896,13959168,13959168,13959168,13959168,13959168,13959168
13159,209715200,11777632,197937568,13154,279642112,13396696,266245416,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.35609856E8,1.3699784E7,0.0,1.3699784E7,3388.0,13311,13339,28,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,303088,0,13699784,13396696,279642112,279642112,279642112,279642112,279642112,279642112,-4059968,0,1384800,5444768,13959168,13959168,13959168,13959168,13959168,13959168
13964,209715200,11787664,197927536,13952,279642112,13699784,265942328,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.47479808E8,1.3931792E7,0.0,1.3931792E7,4124.0,14046,14075,29,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,232008,0,13931792,13699784,279642112,279642112,279642112,279642112,279642112,279642112,-770760,0,614040,1384800,13959168,13959168,13959168,13959168,13959168,13959168
14865,209715200,11806584,197908616,14860,279642112,14148512,265493600,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.5934976E8,1.4148512E7,0.0,1.4148512E7,4860.0,14795,14811,16,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,216720,0,14148512,13931792,279642112,279642112,279642112,279642112,279642112,279642112,-228184,0,385856,614040,13959168,13959168,13959168,13959168,13959168,13959168
15818,209715200,11810616,197904584,15814,279642112,14453040,265189072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.71219712E8,1.445304E7,0.0,1.445304E7,5732.0,15659,15683,24,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,304528,0,14453040,14148512,279642112,279642112,279642112,279642112,279642112,279642112,1319736,0,1705592,385856,13959168,13959168,13959168,13959168,13959168,13959168
16372,209715200,11811728,197903472,16240,279642112,14453040,265189072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.83089664E8,1.5997928E7,0.0,1.5997928E7,6377.0,16291,16328,37,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,1544888,0,15997928,14453040,279642112,279642112,279642112,279642112,279642112,279642112,811944,0,2517536,1705592,13959168,13959168,13959168,13959168,13959168,13959168
17069,209715200,11813536,197901664,16901,279642112,15997928,263644184,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.94959616E8,1.7792168E7,0.0,1.7792168E7,7087.0,17004,17038,34,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,1794240,0,17792168,15997928,279642112,279642112,279642112,279642112,279642112,279642112,-834624,0,1682912,2517536,13959168,13959168,13959168,13959168,13959168,13959168
17542,209715200,11815008,197900192,17538,279642112,17792168,261849944,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.006829568E9,1.803776E7,0.0,1.803776E7,7724.0,17639,17675,36,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,245592,0,18037760,17792168,279642112,279642112,279642112,279642112,279642112,279642112,575752,0,2258664,1682912,13959168,13959168,13959168,13959168,13959168,13959168
