perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
178311,209715200,16424392,193290808,178306,1118502912,0,1118502912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,178165,178300,135,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,0,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,9211264,0,9211264,0,55902208,55902208,55902208,55902208,55902208,55902208
289717,209715200,16759600,192955600,289712,1118502912,6658168,1111844744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.47414272E8,6658168.0,0.0,6658168.0,111366.0,286596,289666,3070,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,6658168,0,6658168,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1634888,0,7576376,9211264,55902208,55902208,55902208,55902208,55902208,55902208
300234,209715200,16890352,192824848,300232,1118502912,7360768,1111142144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.94828544E8,7360768.0,0.0,7360768.0,121928.0,300179,300228,49,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,702600,0,7360768,6658168,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-415992,0,7160384,7576376,55902208,55902208,55902208,55902208,55902208,55902208
307403,209715200,17015968,192699232,307400,1118502912,9172224,1109330688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.342242816E9,9172224.0,0.0,9172224.0,129093.0,307304,307393,89,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,1811456,0,9172224,7360768,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,228496,0,7388880,7160384,55902208,55902208,55902208,55902208,55902208,55902208
312888,209715200,17041696,192673504,312881,1118502912,9264680,1109238232,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.789657088E9,9264680.0,0.0,9264680.0,134579.0,312847,312879,32,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,92456,0,9264680,9172224,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1862448,0,5526432,7388880,55902208,55902208,55902208,55902208,55902208,55902208
317994,209715200,17067272,192647928,317993,1118502912,9318728,1109184184,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.23707136E9,9318728.0,0.0,9318728.0,139692.0,317956,317992,36,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,54048,0,9318728,9264680,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,3172728,0,8699160,5526432,55902208,55902208,55902208,55902208,55902208,55902208
322894,209715200,17083792,192631408,322893,1118502912,9359464,1109143448,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.684485632E9,9359464.0,0.0,9359464.0,144592.0,322839,322892,53,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,40736,0,9359464,9318728,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-1816032,0,6883128,8699160,55902208,55902208,55902208,55902208,55902208,55902208
327980,209715200,17098632,192616568,327978,1118502912,9447448,1109055464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.131899904E9,9447448.0,0.0,9447448.0,149677.0,327947,327977,30,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,87984,0,9447448,9359464,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-719288,0,6163840,6883128,55902208,55902208,55902208,55902208,55902208,55902208
332693,209715200,17105536,192609664,332692,1118502912,9447448,1109055464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.579314176E9,9447448.0,0.0,9447448.0,154288.0,332535,332588,53,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,0,0,9447448,9447448,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,782528,0,6946368,6163840,55902208,55902208,55902208,55902208,55902208,55902208
337247,209715200,17108096,192607104,337246,1118502912,9564296,1108938616,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.026728448E9,9564296.0,0.0,9564296.0,158944.0,337124,337244,120,-447414272,0,0,447414272,447414272,447414272,447414272,447414272,447414272,447414272,116848,0,9564296,9447448,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,1254944,0,8201312,6946368,55902208,55902208,55902208,55902208,55902208,55902208
