perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
7024,209715200,9894032,199821168,6953,69926912,3167144,66759768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,6001,6009,8,302184,0,3167144,2864960,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,43592,0,507896,464304,3473408,3473408,3473408,3473408,3473408,3473408
7677,209715200,11341024,198374176,7673,69926912,3167144,66759768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.7983872E7,3599912.0,0.0,3599912.0,1703.0,7702,7712,10,432768,0,3599912,3167144,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2965512,0,3473408,507896,3473408,3473408,3473408,3473408,3473408,3473408
9417,209715200,11611200,198104000,9413,69926912,13561216,56365696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.5967744E7,1.3561216E7,0.0,1.3561216E7,3403.0,9229,9412,183,9961304,0,13561216,3599912,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
11049,209715200,11745464,197969736,11046,69926912,23338432,46588480,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.3951616E7,2.3338432E7,0.0,2.3338432E7,5036.0,10964,11045,81,9777216,0,23338432,13561216,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
12530,209715200,11812944,197902256,12528,69926912,30599672,39327240,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.11935488E8,3.0599672E7,0.0,3.0599672E7,6505.0,12432,12514,82,7261240,0,30599672,23338432,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-8,0,3473400,3473408,3473408,3473408,3473408,3473408,3473408,3473408
14523,209715200,11974592,197740608,14521,69926912,30599672,39327240,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3991936E8,3.9174176E7,0.0,3.9174176E7,8819.0,14552,14828,276,8574504,0,39174176,30599672,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,8,0,3473408,3473400,3473408,3473408,3473408,3473408,3473408,3473408
17959,209715200,12282888,197432312,17956,69926912,39174176,30752736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.67903232E8,4.5007824E7,0.0,4.5007824E7,12177.0,17992,18186,194,5833648,0,45007824,39174176,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
25812,209715200,12516624,197198576,25804,69926912,48442344,21484568,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.95887104E8,4.8442344E7,0.0,4.8442344E7,19794.0,25706,25803,97,3434520,0,48442344,45007824,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-2117104,0,1356304,3473408,3473408,3473408,3473408,3473408,3473408,3473408
29750,209715200,12620456,197094744,29639,69926912,48442344,21484568,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.23870976E8,4.9761352E7,0.0,4.9761352E7,23710.0,29650,29719,69,1319008,0,49761352,48442344,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,374416,0,1730720,1356304,3473408,3473408,3473408,3473408,3473408,3473408
33362,209715200,12656432,197058768,33359,69926912,51777392,18149520,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.51854848E8,5.1777392E7,0.0,5.1777392E7,27340.0,33282,33349,67,2016040,0,51777392,49761352,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1742680,0,3473400,1730720,3473408,3473408,3473408,3473408,3473408,3473408
34489,209715200,12669864,197045336,34488,69926912,58960584,10966328,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.7983872E8,5.8960584E7,0.0,5.8960584E7,28478.0,34231,34487,256,7183192,0,58960584,51777392,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,8,0,3473408,3473400,3473408,3473408,3473408,3473408,3473408,3473408
35563,209715200,12680032,197035168,35552,69926912,53643040,16283872,1,11.0,34838,35531,693,-5317544,0,53643040,58960584,69926912,69926912,69926912,69926912,69926912,69926912,-27908496,0,0,27908496,27983872,27983872,27983872,27983872,27983872,27983872,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,14,3.07747216E8,5.8960584E7,0.0,5.8960584E7,28829.0,34838,34838,0,0,0,58960584,58960584,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27908496,27908496,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
36106,209715200,12686504,197028696,36098,69926912,60279816,9647096,1,11.0,34838,35531,693,-5317544,0,53643040,58960584,69926912,69926912,69926912,69926912,69926912,69926912,-27908496,0,0,27908496,27983872,27983872,27983872,27983872,27983872,27983872,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,15,3.07822592E8,6.559736E7,0.0,6.559736E7,30081.0,35938,36090,152,6636776,0,60279816,53643040,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3473408,0,3473408,0,3473408,3473408,3473408,3473408,3473408,3473408
37328,209715200,12690008,197025192,37326,69926912,69924872,2040,2,2.0,36486,37305,819,9645056,0,69924872,60279816,69926912,69926912,69926912,69926912,69926912,69926912,-25529952,0,2453920,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
39011,209715200,12690664,197024536,39002,69926912,69926896,16,3,1.0,37658,39001,1343,2024,0,69926896,69924872,69926912,69926912,69926912,69926912,69926912,69926912,-17784464,0,10199408,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-3471944,0,0,3471944,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
40519,209715200,12652160,197063040,40510,69926912,69926896,16,4,0.0,39266,40486,1220,0,0,69926896,69926896,69926912,69926912,69926912,69926912,69926912,69926912,-15032528,0,12951344,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-3458184,0,0,3458184,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
41491,209715200,12657976,197057224,41482,69926912,69926896,16,5,0.0,40770,41476,706,0,0,69926896,69926896,69926912,69926912,69926912,69926912,69926912,69926912,-8330712,0,19653160,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-3473384,0,0,3473384,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
42567,209715200,12661792,197053408,42560,69926912,69926896,16,6,0.0,41686,42560,874,0,0,69926896,69926896,69926912,69926912,69926912,69926912,69926912,69926912,-2511584,0,25472288,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
43180,209715200,12663936,197051264,43175,69926912,69926896,16,7,0.0,42741,43132,391,0,0,69926896,69926896,69926912,69926912,69926912,69926912,69926912,69926912,-16,0,27983856,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-2842760,0,630640,3473400,3473408,3473408,3473408,3473408,3473408,3473408,16,3.35806464E8,6.559736E7,0.0,6.559736E7,30477.0,36486,36486,0,0,0,60279816,60279816,69926912,69926912,69926912,69926912,69926912,69926912,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
