perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
6003,209715200,8955544,200759656,5990,279642112,34786344,244855768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,2713,2773,60,34786344,0,34786344,0,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,13683144,0,13959168,276024,13959168,13959168,13959168,13959168,13959168,13959168
7068,209715200,9146216,200568984,7064,279642112,34786344,244855768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.11869952E8,4.7745096E7,0.0,4.7745096E7,4338.0,7088,7111,23,12958752,0,47745096,34786344,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-11916528,0,2042640,13959168,13959168,13959168,13959168,13959168,13959168,13959168
13359,209715200,9201872,200513328,13355,279642112,48137080,231505032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23585376E8,4.813708E7,0.0,4.813708E7,10570.0,13337,13343,6,391984,0,48137080,47745096,279642112,279642112,279642112,279642112,279642112,279642112,-111715424,0,0,111715424,111869952,111869952,111869952,111869952,111869952,111869952,-664496,0,1378144,2042640,13959168,13959168,13959168,13959168,13959168,13959168
22028,209715200,9232128,200483072,22026,279642112,48156040,231486072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.35424568E8,4.815604E7,0.0,4.815604E7,19246.0,22017,22019,2,18960,0,48156040,48137080,279642112,279642112,279642112,279642112,279642112,279642112,-111839192,0,0,111839192,111869952,111869952,111869952,111869952,111869952,111869952,-16888,0,1361256,1378144,13959168,13959168,13959168,13959168,13959168,13959168
34336,209715200,9266224,200448976,34334,279642112,48156040,231486072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.4729452E8,4.8158112E7,0.0,4.8158112E7,31576.0,34347,34349,2,2072,0,48158112,48156040,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,426736,0,1787992,1361256,13959168,13959168,13959168,13959168,13959168,13959168
49695,209715200,9283352,200431848,49694,279642112,48164224,231477888,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.590896E8,4.8164224E7,0.0,4.8164224E7,46905.0,49677,49678,1,6112,0,48164224,48158112,279642112,279642112,279642112,279642112,279642112,279642112,-111795080,0,0,111795080,111869952,111869952,111869952,111869952,111869952,111869952,-826960,0,961032,1787992,13959168,13959168,13959168,13959168,13959168,13959168
69200,209715200,9356040,200359160,69198,279642112,48170936,231471176,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.70887264E8,4.8170936E7,0.0,4.8170936E7,66417.0,69189,69190,1,6712,0,48170936,48164224,279642112,279642112,279642112,279642112,279642112,279642112,-111797664,0,0,111797664,111869952,111869952,111869952,111869952,111869952,111869952,198624,0,1159656,961032,13959168,13959168,13959168,13959168,13959168,13959168
90946,209715200,9379992,200335208,90945,279642112,48173792,231468320,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.82639368E8,4.8173792E7,0.0,4.8173792E7,88168.0,90940,90941,1,2856,0,48173792,48170936,279642112,279642112,279642112,279642112,279642112,279642112,-111752104,0,0,111752104,111869952,111869952,111869952,111869952,111869952,111869952,206968,0,1366624,1159656,13959168,13959168,13959168,13959168,13959168,13959168
110214,209715200,9381328,200333872,110212,279642112,48181232,231460880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.94493024E8,4.8181232E7,0.0,4.8181232E7,107429.0,110201,110202,1,7440,0,48181232,48173792,279642112,279642112,279642112,279642112,279642112,279642112,-111853656,0,0,111853656,111869952,111869952,111869952,111869952,111869952,111869952,-5696,0,1360928,1366624,13959168,13959168,13959168,13959168,13959168,13959168
126678,209715200,9383704,200331496,126677,279642112,48182976,231459136,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.00634548E9,4.8182976E7,0.0,4.8182976E7,123889.0,126661,126662,1,1744,0,48182976,48181232,279642112,279642112,279642112,279642112,279642112,279642112,-111852456,0,0,111852456,111869952,111869952,111869952,111869952,111869952,111869952,-269352,0,1157128,1426480,13959168,13959168,13959168,13959168,13959168,13959168
