perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
6625,209715200,9221248,200493952,6577,279642112,11807376,267834736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,6137,6142,5,0,0,11807376,11807376,279642112,279642112,279642112,279642112,279642112,279642112,-111175640,0,0,111175640,111869952,111869952,111869952,111869952,111869952,111869952,1501720,0,10988512,9486792,13959168,13959168,13959168,13959168,13959168,13959168
7475,209715200,9397616,200317584,7464,279642112,12578096,267064016,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.11484344E8,1.2578096E7,0.0,1.2578096E7,1311.0,7447,7453,6,770720,0,12578096,11807376,279642112,279642112,279642112,279642112,279642112,279642112,-111484344,0,0,111484344,111869952,111869952,111869952,111869952,111869952,111869952,-1127440,0,9861072,10988512,13959168,13959168,13959168,13959168,13959168,13959168
8086,209715200,9433512,200281688,8083,279642112,14411288,265230824,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.22892888E8,1.4411288E7,0.0,1.4411288E7,1939.0,8077,8081,4,1833192,0,14411288,12578096,279642112,279642112,279642112,279642112,279642112,279642112,-111408544,0,0,111408544,111869952,111869952,111869952,111869952,111869952,111869952,-1822680,0,8038392,9861072,13959168,13959168,13959168,13959168,13959168,13959168
9177,209715200,9449344,200265856,9174,279642112,14421296,265220816,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.34249432E8,1.4421296E7,0.0,1.4421296E7,2982.0,9120,9124,4,10008,0,14421296,14411288,279642112,279642112,279642112,279642112,279642112,279642112,-111356544,0,0,111356544,111869952,111869952,111869952,111869952,111869952,111869952,2914464,0,10952856,8038392,13959168,13959168,13959168,13959168,13959168,13959168
10236,209715200,9458320,200256880,10233,279642112,16617136,263024976,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.45829928E8,1.6617136E7,0.0,1.6617136E7,4034.0,10169,10176,7,2195840,0,16617136,14421296,279642112,279642112,279642112,279642112,279642112,279642112,-111580496,0,0,111580496,111869952,111869952,111869952,111869952,111869952,111869952,-1432824,0,9520032,10952856,13959168,13959168,13959168,13959168,13959168,13959168
10754,209715200,9463928,200251272,10751,279642112,16650352,262991760,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.57512904E8,1.6650352E7,0.0,1.6650352E7,4591.0,10729,10733,4,33216,0,16650352,16617136,279642112,279642112,279642112,279642112,279642112,279642112,-111682976,0,0,111682976,111869952,111869952,111869952,111869952,111869952,111869952,2219344,0,11739376,9520032,13959168,13959168,13959168,13959168,13959168,13959168
11370,209715200,9466280,200248920,11366,279642112,18170248,261471864,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6.69238776E8,1.8170248E7,0.0,1.8170248E7,5134.0,11271,11276,5,1519896,0,18170248,16650352,279642112,279642112,279642112,279642112,279642112,279642112,-111725872,0,0,111725872,111869952,111869952,111869952,111869952,111869952,111869952,-2243608,0,9495768,11739376,13959168,13959168,13959168,13959168,13959168,13959168
11840,209715200,9467496,200247704,11829,279642112,19637264,260004848,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.80679976E8,1.9637264E7,0.0,1.9637264E7,5672.0,11808,11814,6,1467016,0,19637264,18170248,279642112,279642112,279642112,279642112,279642112,279642112,-111441200,0,0,111441200,111869952,111869952,111869952,111869952,111869952,111869952,-5776,0,9489992,9495768,13959168,13959168,13959168,13959168,13959168,13959168
13374,209715200,9469944,200245256,13372,279642112,20367840,259274272,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8.92549928E8,2.036784E7,0.0,2.036784E7,7134.0,13272,13276,4,730576,0,20367840,19637264,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,-1928,0,9488064,9489992,13959168,13959168,13959168,13959168,13959168,13959168
15528,209715200,9474544,200240656,15526,279642112,21828304,257813808,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.004358736E9,2.1828304E7,0.0,2.1828304E7,9382.0,15519,15524,5,1460464,0,21828304,20367840,279642112,279642112,279642112,279642112,279642112,279642112,-111808808,0,0,111808808,111869952,111869952,111869952,111869952,111869952,111869952,1459904,0,10947968,9488064,13959168,13959168,13959168,13959168,13959168,13959168
18260,209715200,9485816,200229384,18257,279642112,21828376,257813736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.115560128E9,2.1828376E7,0.0,2.1828376E7,12103.0,18240,18245,5,72,0,21828376,21828304,279642112,279642112,279642112,279642112,279642112,279642112,-111201392,0,0,111201392,111869952,111869952,111869952,111869952,111869952,111869952,-698144,0,10249824,10947968,13959168,13959168,13959168,13959168,13959168,13959168
19650,209715200,9491280,200223920,19648,279642112,24050480,255591632,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.226702232E9,2.405048E7,0.0,2.405048E7,13501.0,19633,19643,10,2222104,0,24050480,21828376,279642112,279642112,279642112,279642112,279642112,279642112,-111142104,0,0,111142104,111869952,111869952,111869952,111869952,111869952,111869952,-2221616,0,8028208,10249824,13959168,13959168,13959168,13959168,13959168,13959168
21482,209715200,9493824,200221376,21479,279642112,24050520,255591592,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.338382072E9,2.405052E7,0.0,2.405052E7,15298.0,21437,21440,3,40,0,24050520,24050480,279642112,279642112,279642112,279642112,279642112,279642112,-111679840,0,0,111679840,111869952,111869952,111869952,111869952,111869952,111869952,2920464,0,10948672,8028208,13959168,13959168,13959168,13959168,13959168,13959168
24150,209715200,9503440,200211760,24148,279642112,26241304,253400808,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.449562352E9,2.6241304E7,0.0,2.6241304E7,17948.0,24085,24090,5,2190784,0,26241304,24050520,279642112,279642112,279642112,279642112,279642112,279642112,-111180280,0,0,111180280,111869952,111869952,111869952,111869952,111869952,111869952,-2161248,0,8787424,10948672,13959168,13959168,13959168,13959168,13959168,13959168
24855,209715200,9509240,200205960,24853,279642112,27731008,251911104,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.56138792E9,2.7731008E7,0.0,2.7731008E7,18692.0,24829,24834,5,1489704,0,27731008,26241304,279642112,279642112,279642112,279642112,279642112,279642112,-111825568,0,0,111825568,111869952,111869952,111869952,111869952,111869952,111869952,1490176,0,10277600,8787424,13959168,13959168,13959168,13959168,13959168,13959168
25358,209715200,9510656,200204544,25356,279642112,27789408,251852704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.67291296E9,2.7789408E7,0.0,2.7789408E7,19187.0,25325,25329,4,58400,0,27789408,27731008,279642112,279642112,279642112,279642112,279642112,279642112,-111525040,0,0,111525040,111869952,111869952,111869952,111869952,111869952,111869952,-786368,0,9491232,10277600,13959168,13959168,13959168,13959168,13959168,13959168
25691,209715200,9511136,200204064,25689,279642112,27789408,251852704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.784327816E9,3.0709144E7,0.0,3.0709144E7,19600.0,25733,25742,9,2919736,0,30709144,27789408,279642112,279642112,279642112,279642112,279642112,279642112,-111414856,0,0,111414856,111869952,111869952,111869952,111869952,111869952,111869952,732528,0,10223760,9491232,13959168,13959168,13959168,13959168,13959168,13959168
27569,209715200,9520176,200195024,27567,279642112,30709144,248932968,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.895936704E9,3.0709144E7,0.0,3.0709144E7,21357.0,27496,27499,3,0,0,30709144,30709144,279642112,279642112,279642112,279642112,279642112,279642112,-111608888,0,0,111608888,111869952,111869952,111869952,111869952,111869952,111869952,-6128,0,10217632,10223760,13959168,13959168,13959168,13959168,13959168,13959168
31020,209715200,9524472,200190728,31019,279642112,32898320,246743792,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.00734536E9,3.289832E7,0.0,3.289832E7,24864.0,31001,31006,5,2189176,0,32898320,30709144,279642112,279642112,279642112,279642112,279642112,279642112,-111408656,0,0,111408656,111869952,111869952,111869952,111869952,111869952,111869952,733960,0,10951592,10217632,13959168,13959168,13959168,13959168,13959168,13959168
32542,209715200,9531136,200184064,32538,279642112,35093432,244548680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.118648784E9,3.5093432E7,0.0,3.5093432E7,26379.0,32517,32521,4,2195112,0,35093432,32898320,279642112,279642112,279642112,279642112,279642112,279642112,-111303424,0,0,111303424,111869952,111869952,111869952,111869952,111869952,111869952,-2164688,0,8786904,10951592,13959168,13959168,13959168,13959168,13959168,13959168
34570,209715200,9532408,200182792,34568,279642112,35093432,244548680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.230518736E9,3.5122976E7,0.0,3.5122976E7,28445.0,34583,34587,4,29544,0,35122976,35093432,279642112,279642112,279642112,279642112,279642112,279642112,-111869952,0,0,111869952,111869952,111869952,111869952,111869952,111869952,111869952,2164536,0,10951440,8786904,13959168,13959168,13959168,13959168,13959168,13959168
