perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
6049,209715200,9180400,200534800,6025,69926912,5630608,64296304,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,NA,NA,NA,NA,5951,5955,4,422160,0,5630608,5208448,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-201456,0,235224,436680,3473408,3473408,3473408,3473408,3473408,3473408
6433,209715200,9334888,200380312,6428,69926912,5858360,64068552,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.7981392E7,5858360.0,0.0,5858360.0,467.0,6419,6422,3,227752,0,5858360,5630608,69926912,69926912,69926912,69926912,69926912,69926912,-27981392,0,0,27981392,27983872,27983872,27983872,27983872,27983872,27983872,-117960,0,117264,235224,3473408,3473408,3473408,3473408,3473408,3473408
6910,209715200,9354128,200361072,6904,69926912,5975600,63951312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5.5964296E7,5975600.0,0.0,5975600.0,922.0,6876,6877,1,117240,0,5975600,5858360,69926912,69926912,69926912,69926912,69926912,69926912,-27982904,0,0,27982904,27983872,27983872,27983872,27983872,27983872,27983872,-111632,0,5632,117264,3473408,3473408,3473408,3473408,3473408,3473408
7221,209715200,9370848,200344352,7215,69926912,5975600,63951312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8.394536E7,5976608.0,0.0,5976608.0,1293.0,7247,7248,1,1008,0,5976608,5975600,69926912,69926912,69926912,69926912,69926912,69926912,-27981064,0,0,27981064,27983872,27983872,27983872,27983872,27983872,27983872,382048,0,387680,5632,3473408,3473408,3473408,3473408,3473408,3473408
7560,209715200,9390968,200324232,7553,69926912,5976608,63950304,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.11926616E8,5984592.0,0.0,5984592.0,1620.0,7573,7575,2,7984,0,5984592,5976608,69926912,69926912,69926912,69926912,69926912,69926912,-27981256,0,0,27981256,27983872,27983872,27983872,27983872,27983872,27983872,49408,0,437088,387680,3473408,3473408,3473408,3473408,3473408,3473408
8018,209715200,9397136,200318064,8014,69926912,6404768,63522144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.39910488E8,6404768.0,0.0,6404768.0,1985.0,7939,7940,1,420176,0,6404768,5984592,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-134176,0,302912,437088,3473408,3473408,3473408,3473408,3473408,3473408
8461,209715200,9399184,200316016,8454,69926912,6659288,63267624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.67890464E8,6659288.0,0.0,6659288.0,2485.0,8439,8440,1,254520,0,6659288,6404768,69926912,69926912,69926912,69926912,69926912,69926912,-27979976,0,0,27979976,27983872,27983872,27983872,27983872,27983872,27983872,310424,0,613336,302912,3473408,3473408,3473408,3473408,3473408,3473408
9038,209715200,9406312,200308888,9033,69926912,7077992,62848920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.95874136E8,7077992.0,0.0,7077992.0,3060.0,9013,9015,2,418704,0,7077992,6659288,69926912,69926912,69926912,69926912,69926912,69926912,-27983672,0,0,27983672,27983872,27983872,27983872,27983872,27983872,27983872,-220488,0,392848,613336,3473408,3473408,3473408,3473408,3473408,3473408
9527,209715200,9410216,200304984,9524,69926912,7470584,62456328,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.23854048E8,7470584.0,0.0,7470584.0,3526.0,9480,9481,1,392592,0,7470584,7077992,69926912,69926912,69926912,69926912,69926912,69926912,-27979912,0,0,27979912,27983872,27983872,27983872,27983872,27983872,27983872,-389592,0,3256,392848,3473408,3473408,3473408,3473408,3473408,3473408
9925,209715200,9412824,200302376,9918,69926912,7473840,62453072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.51833304E8,7473840.0,0.0,7473840.0,3946.0,9900,9901,1,3256,0,7473840,7470584,69926912,69926912,69926912,69926912,69926912,69926912,-27979256,0,0,27979256,27983872,27983872,27983872,27983872,27983872,27983872,-3256,0,0,3256,3473408,3473408,3473408,3473408,3473408,3473408
