perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
26725,209715200,9059704,200655496,26721,1118502912,134217792,984285120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,26308,26719,411,134217792,0,134217792,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-445164424,0,0,445164424,447414272,447414272,447414272,447414272,447414272,447414272,36764288,0,36764288,0,55902208,55902208,55902208,55902208,55902208,55902208
63896,209715200,9341720,200373480,63894,1118502912,237954048,880548864,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.31663696E8,2.37954048E8,0.0,2.37954048E8,37166.0,62707,63885,1178,103736256,0,237954048,134217792,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-431663696,0,0,431663696,447414272,447414272,447414272,447414272,447414272,447414272,-2994376,0,33769912,36764288,55902208,55902208,55902208,55902208,55902208,55902208
105588,209715200,9364328,200350872,105586,1118502912,439379144,679123768,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.61424744E8,4.39379144E8,0.0,4.39379144E8,78860.0,96362,105579,9217,201425096,0,439379144,237954048,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-429761048,0,0,429761048,447414272,447414272,447414272,447414272,447414272,447414272,-90104,0,33679808,33769912,55902208,55902208,55902208,55902208,55902208,55902208
155431,209715200,9369672,200345528,155430,1118502912,506496376,612006536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.293126088E9,5.06496376E8,0.0,5.06496376E8,128702.0,154081,155421,1340,67117232,0,506496376,439379144,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-431701344,0,0,431701344,447414272,447414272,447414272,447414272,447414272,447414272,-4048,0,33675760,33679808,55902208,55902208,55902208,55902208,55902208,55902208
204262,209715200,9372080,200343120,204260,1118502912,506500664,612002248,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.729689E9,5.06500664E8,0.0,5.06500664E8,177522.0,204214,204241,27,4288,0,506500664,506496376,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-436562912,0,0,436562912,447414272,447414272,447414272,447414272,447414272,447414272,9960,0,33685720,33675760,55902208,55902208,55902208,55902208,55902208,55902208
251891,209715200,9379272,200335928,251890,1118502912,506514912,611988000,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.165028456E9,5.06514912E8,0.0,5.06514912E8,225150.0,251803,251869,66,14248,0,506514912,506500664,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-435339456,0,0,435339456,447414272,447414272,447414272,447414272,447414272,447414272,-11624,0,33674096,33685720,55902208,55902208,55902208,55902208,55902208,55902208
298689,209715200,9383008,200332192,298688,1118502912,540071984,578430928,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.595775008E9,5.40071984E8,0.0,5.40071984E8,271968.0,298615,298687,72,33557072,0,540071984,506514912,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-430746552,0,0,430746552,447414272,447414272,447414272,447414272,447414272,447414272,-1904,0,33672192,33674096,55902208,55902208,55902208,55902208,55902208,55902208
347519,209715200,9383040,200332160,347508,1118502912,540072704,578430208,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.032523776E9,5.40072704E8,0.0,5.40072704E8,320788.0,347455,347507,52,720,0,540072704,540071984,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-436748768,0,0,436748768,447414272,447414272,447414272,447414272,447414272,447414272,3272,0,33675464,33672192,55902208,55902208,55902208,55902208,55902208,55902208
390903,209715200,9383936,200331264,390894,1118502912,540076696,578426216,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.458518504E9,5.40076696E8,0.0,5.40076696E8,364175.0,390838,390894,56,3992,0,540076696,540072704,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-425994728,0,0,425994728,447414272,447414272,447414272,447414272,447414272,447414272,-2904,0,33672560,33675464,55902208,55902208,55902208,55902208,55902208,55902208
429403,209715200,9385296,200329904,429394,1118502912,607186680,511316232,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.877278664E9,6.0718668E8,0.0,6.0718668E8,402675.0,429145,429394,249,67109984,0,607186680,540076696,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-418760160,0,0,418760160,447414272,447414272,447414272,447414272,447414272,447414272,-440,0,33672120,33672560,55902208,55902208,55902208,55902208,55902208,55902208
