perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
7483,209715200,9420096,200295104,7450,559284224,163293600,395990624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,5709,6348,639,99330416,0,163293600,63963184,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,-19246304,0,132088,19378392,27918336,27918336,27918336,27918336,27918336,27918336
9310,209715200,9595352,200119848,9307,559284224,163293600,395990624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23739904E8,1.63342224E8,0.0,1.63342224E8,2996.0,9337,9344,7,48624,0,163342224,163293600,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,370104,0,502192,132088,27918336,27918336,27918336,27918336,27918336,27918336
10757,209715200,9618272,200096928,10751,559284224,163659696,395624528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.47479808E8,1.63659696E8,0.0,1.63659696E8,4347.0,10693,10695,2,317472,0,163659696,163342224,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,-389384,0,112808,502192,27918336,27918336,27918336,27918336,27918336,27918336
11829,209715200,9645136,200070064,11818,559284224,163663112,395621112,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.71219712E8,1.63663112E8,0.0,1.63663112E8,5479.0,11825,11827,2,3416,0,163663112,163659696,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,59552,0,172360,112808,27918336,27918336,27918336,27918336,27918336,27918336
13757,209715200,9650920,200064280,13755,559284224,163674464,395609760,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.94959616E8,1.63674464E8,0.0,1.63674464E8,7351.0,13698,13699,1,11352,0,163674464,163663112,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,44768,0,217128,172360,27918336,27918336,27918336,27918336,27918336,27918336
14588,209715200,9652176,200063024,14586,559284224,163743488,395540736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.11869952E9,1.63743488E8,0.0,1.63743488E8,8208.0,14554,14556,2,69024,0,163743488,163674464,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,-98160,0,118968,217128,27918336,27918336,27918336,27918336,27918336,27918336
15492,209715200,9652648,200062552,15489,559284224,163745160,395539064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.342439424E9,1.6374516E8,0.0,1.6374516E8,9093.0,15440,15441,1,1672,0,163745160,163743488,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,11896,0,130864,118968,27918336,27918336,27918336,27918336,27918336,27918336
16567,209715200,9655240,200059960,16565,559284224,163745160,395539064,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.566179328E9,1.6374516E8,0.0,1.6374516E8,10211.0,16557,16559,2,0,0,163745160,163745160,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,5392,0,136256,130864,27918336,27918336,27918336,27918336,27918336,27918336
18307,209715200,9656376,200058824,18305,559284224,163754504,395529720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.789919232E9,1.63754504E8,0.0,1.63754504E8,11951.0,18297,18299,2,9344,0,163754504,163745160,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,3224,0,139480,136256,27918336,27918336,27918336,27918336,27918336,27918336
19152,209715200,9657736,200057464,19150,559284224,163808784,395475440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.013659136E9,1.63808784E8,0.0,1.63808784E8,12795.0,19142,19143,1,54280,0,163808784,163754504,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,-66744,0,72736,139480,27918336,27918336,27918336,27918336,27918336,27918336
19920,209715200,9657904,200057296,19919,559284224,163817448,395466776,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.23739904E9,1.63817448E8,0.0,1.63817448E8,13526.0,19873,19874,1,8664,0,163817448,163808784,559284224,559284224,559284224,559284224,559284224,559284224,-223739904,0,0,223739904,223739904,223739904,223739904,223739904,223739904,223739904,105016,0,177752,72736,27918336,27918336,27918336,27918336,27918336,27918336
